@relation anneal.ORIG-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute family {GB,GK,GS,TN,ZA,ZF,ZH,ZM,ZS}
@attribute product-type {C,H,G}
@attribute steel {R,A,U,K,M,S,W,V}
@attribute carbon numeric
@attribute hardness numeric
@attribute temper_rolling {T}
@attribute condition {S,A,X}
@attribute formability {1,2,3,4,5}
@attribute strength numeric
@attribute non-ageing {N}
@attribute surface-finish {P,M}
@attribute surface-quality {D,E,F,G}
@attribute enamelability {1,2,3,4,5}
@attribute bc {Y}
@attribute bf {Y}
@attribute bt {Y}
@attribute bw/me {B,M}
@attribute bl {Y}
@attribute m {Y}
@attribute chrom {C}
@attribute phos {P}
@attribute cbond {Y}
@attribute marvi {Y}
@attribute exptl {Y}
@attribute ferro {Y}
@attribute corr {Y}
@attribute blue/bright/varn/clean {B,R,V,C}
@attribute lustre {Y}
@attribute jurofm {Y}
@attribute s {Y}
@attribute p {Y}
@attribute shape {COIL,SHEET}
@attribute thick numeric
@attribute width numeric
@attribute len numeric
@attribute oil {Y,N}
@attribute bore {0,500,600,760}
@attribute packing {1,2,3}
@attribute class {1,2,3,4,5,U}

@data
?,C,A,0,0,?,S,2,0,?,?,G,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Y,?,?,?,COIL,0.015957,0.4,0,?,0,?,3
ZS,C,A,0,0.588235,T,?,?,0,?,?,E,?,?,Y,?,B,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SHEET,0.095745,0.819672,1,?,0,?,3
?,C,R,0,0,?,S,2,0,?,?,E,?,?,?,?,B,?,?,?,?,Y,?,?,?,?,?,?,?,?,?,COIL,0.12234,0.8,0,?,0,?,3
?,C,A,0,0.529412,?,S,?,0,?,?,D,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,COIL,0.042553,0.4,0,N,0,?,3
?,C,R,0,0,?,S,3,0,?,?,E,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SHEET,0.122074,0.399934,0.156148,?,0,?,3
?,C,R,0,0,?,S,3,0,?,?,?,?,?,?,?,B,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SHEET,0.148936,0.865574,1,?,0,?,2
?,C,R,0,0,?,S,2,0,?,?,E,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Y,?,?,?,COIL,0.12234,0.865574,0,?,0,?,3
?,C,A,0,0,?,S,2,0,?,?,E,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,COIL,0.015957,0.865574,0,?,0,?,3
?,C,?,0,0,?,S,1,0,?,?,G,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,COIL,0.12234,0.4,0,?,0,?,3
?,C,A,0,0,?,S,2,0,?,?,F,?,?,Y,?,B,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,SHEET,0.122074,0.4,0.155943,?,0,?,3
?,C,?,0,0,?,S,1,0,?,?,G,?,?,?,?,B,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,SHEET,0.122074,0.852459,0.156148,?,0,?,3
?,C,A,0,0.529412,?,S,?,0,?,?,D,?,?,?,?,B,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SHEET,0.015957,0.865574,0.156148,?,0,?,3
?,C,?,0,0,?,S,1,0,?,?,G,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SHEET,0.015957,0.4,0.155943,?,0,?,3
?,C,R,0,0,?,S,2,0,?,?,E,?,?,?,?,B,?,?,?,?,?,?,?,?,?,?,?,?,?,?,COIL,0.787234,0.399934,0,?,0,?,3
?,C,?,0,0,?,S,1,0,?,?,G,?,?,?,?,?,?,?,?,?,Y,?,?,?,?,?,?,?,?,?,SHEET,0.042553,0.8,0.854508,?,0,?,3
?,C,A,0,0,?,S,2,0,?,?,F,?,?,Y,?,B,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,SHEET,0.095745,0.399934,1,?,0,?,3
TN,C,A,0,0,?,?,3,0,N,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Y,?,?,?,?,?,?,SHEET,0.361702,0.219672,0.12541,?,0,?,5
?,C,A,0,0.529412,?,S,?,0,?,?,D,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SHEET,0.361702,0.4,0.156148,?,0,?,3
?,C,?,0,0,?,S,1,0,?,?,G,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SHEET,0.015957,0.865574,0.155943,?,0,?,3
?,C,R,0,0,?,S,2,0,?,?,E,?,?,?,?,?,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,SHEET,0.787234,0.098361,0.156148,?,0,?,3
?,C,A,0,0,?,S,2,0,?,?,E,?,?,Y,?,B,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,SHEET,0.361436,0.852459,1,?,0,?,3
?,C,A,0,0,?,S,2,0,?,?,E,?,?,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SHEET,0.12234,0.4,1,?,0,?,3
?,C,K,0.928571,0,?,?,?,0,?,?,?,?,?,?,Y,M,?,?,?,?,?,?,?,?,?,?,?,?,?,?,COIL,0.787234,0.590164,0,?,500,?,3
TN,C,?,0,0,?,A,1,0,?,?,?,?,?,?,?,?,?,?,C,?,?,?,?,?,?,?,?,?,?,?,COIL,0.361702,0.4,0,?,0,?,5
?,C,R,0,0,?,S,2,0,?,?,E,?,?,?,Y,M,?,?,?,?,?,?,?,?,?,?,?,?,?,?,COIL,0.867021,0.4,0,?,600,?,3
?,C,A,0,0,?,S,2,0,?,?,F,?,?,Y,?,B,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,SHEET,0.122074,0.865574,0.155943,?,0,?,3
ZS,C,A,0,0,?,S,3,0,N,?,E,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,COIL,0.122074,0.4,0,?,0,?,3
