@relation ar4-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute total_loc numeric
@attribute blank_loc numeric
@attribute comment_loc numeric
@attribute code_and_comment_loc numeric
@attribute executable_loc numeric
@attribute unique_operands numeric
@attribute unique_operators numeric
@attribute total_operands numeric
@attribute total_operators numeric
@attribute halstead_vocabulary numeric
@attribute halstead_length numeric
@attribute halstead_volume numeric
@attribute halstead_level numeric
@attribute halstead_difficulty numeric
@attribute halstead_effort numeric
@attribute halstead_error numeric
@attribute halstead_time numeric
@attribute branch_count numeric
@attribute decision_count numeric
@attribute call_pairs numeric
@attribute condition_count numeric
@attribute multiple_condition_count numeric
@attribute cyclomatic_complexity numeric
@attribute cyclomatic_density numeric
@attribute decision_density numeric
@attribute design_complexity numeric
@attribute design_density numeric
@attribute normalized_cyclomatic_complexity numeric
@attribute formal_parameters numeric
@attribute defects {false,true}

@data
0.007769,0.01519,0,0,0.013333,0.046296,0,0.010791,0.007299,0.040323,0.008708,0.005325,0.895833,0.004629,0.00025,0.005325,0.00025,0,0,0.018519,0,0,0,0.321829,0,0.018519,0.166667,0.280273,0,false
0.069922,0.053165,0.08134,0,0.093333,0.111111,0.208333,0.043165,0.049878,0.137097,0.04717,0.03284,0.222875,0.122396,0.005537,0.03284,0.005537,0.12381,0.12381,0,0.125,0.176471,0.094595,0.625653,0.428578,0,0,0.433434,0,false
0.048835,0.063291,0.004785,0,0.07,0.092593,0.416667,0.039568,0.053528,0.16129,0.047896,0.034615,0.11859,0.229167,0.009686,0.034615,0.009686,0.057143,0.057143,0.018519,0.048077,0.029412,0.067568,0.604396,0.514293,0.018519,0.027778,0.449371,0,true
0.172031,0.15443,0.090909,0,0.26,0.324074,0.291667,0.190647,0.201946,0.33871,0.197388,0.160503,0.092631,0.281517,0.050519,0.160501,0.050519,0.266667,0.266667,0.018519,0.269231,0.294118,0.243243,0.563701,0.428578,0.018519,0.008772,0.441559,0,true
0.352941,0.359494,0.181818,0.0625,0.47,0.833333,0.708333,0.46223,0.479319,0.862903,0.472424,0.461391,0.029792,0.565715,0.269954,0.461384,0.269954,0.390476,0.390476,0.111111,0.394231,0.147059,0.486486,0.622699,0.428578,0.111111,0.027027,0.426603,0.25,true
0.016648,0.012658,0,0,0.043333,0.037037,0.166667,0.034173,0.029197,0.064516,0.031205,0.018787,0.139494,0.197917,0.004924,0.018787,0.004924,0.038095,0.038095,0.018519,0.038462,0.029412,0.040541,0.604396,0.428578,0.018519,0.041667,0.72604,0,false
0.084351,0.091139,0.028708,0,0.123333,0.240741,0.333333,0.086331,0.086375,0.274194,0.086357,0.068491,0.158654,0.175,0.014747,0.068492,0.014747,0.142857,0.142857,0.074074,0.144231,0.176471,0.121622,0.604396,0.428578,0.074074,0.066667,0.457026,0,false
0.074362,0.03038,0.009569,0,0.186667,0.259259,0.375,0.152878,0.136253,0.298387,0.142961,0.113757,0.073573,0.33496,0.042046,0.113757,0.042046,0.2,0.2,0,0.201923,0.088235,0.243243,0.794365,0.428578,0,0,1,0,false
0.127636,0.141772,0.057416,0,0.166667,0.287037,0.625,0.136691,0.128954,0.370968,0.132075,0.110503,0.054277,0.410715,0.04912,0.1105,0.04912,0.12381,0.12381,0.111111,0.125,0.088235,0.121622,0.442673,0.428578,0.111111,0.1,0.302734,0.75,false
0.057714,0.063291,0.047847,0,0.066667,0.138889,0.291667,0.055755,0.059611,0.177419,0.058055,0.042456,0.16396,0.169408,0.009104,0.042455,0.009104,0.038095,0.038095,0.12963,0.038462,0.029412,0.040541,0.403719,0.428578,0.12963,0.291667,0.249038,0,false
0.125416,0.149367,0.062201,0,0.146667,0.148148,0.791667,0.115108,0.121655,0.282258,0.119013,0.094083,0.011615,0.772917,0.075751,0.09408,0.075751,0.104762,0.104762,0.037037,0.096154,0.058824,0.121622,0.506207,0.471435,0.037037,0.033333,0.308187,0,false
0.051054,0.068354,0.033493,0,0.05,0.074074,0.375,0.044964,0.060827,0.137097,0.054427,0.037574,0.090958,0.28559,0.012657,0.037573,0.012657,0.038095,0.038095,0,0.028846,0,0.054054,0.677662,0.571422,0,0,0.355764,0.75,false
0.045505,0.055696,0.028708,0,0.053333,0.12037,0.541667,0.057554,0.065693,0.209677,0.062409,0.047337,0.074075,0.333333,0.018027,0.047337,0.018027,0.047619,0.047619,0.018519,0.038462,0.029412,0.054054,0.639104,0.535722,0.018519,0.033333,0.395906,0,true
0.021088,0.025316,0.004785,0,0.036667,0.074074,0.416667,0.068345,0.062044,0.145161,0.064586,0.044822,0.043367,0.46875,0.023355,0.04482,0.023355,0.009524,0.009524,0,0.009615,0,0.013514,0.321829,0.428578,0,0,0.292351,0.5,false
0.072142,0.068354,0.043062,0,0.106667,0.138889,0.5,0.088129,0.088808,0.217742,0.088534,0.066568,0.05169,0.423246,0.030936,0.066566,0.030936,0.057143,0.057143,0,0.048077,0.029412,0.067568,0.397179,0.514293,0,0,0.310044,0,false
0.048835,0.058228,0.019139,0,0.066667,0.12963,0.083333,0.034173,0.048662,0.129032,0.042816,0.029586,0.501812,0.038194,0.00238,0.029585,0.00238,0.066667,0.066667,0.148148,0.067308,0.029412,0.081081,0.747736,0.428578,0.148148,0.190483,0.527881,0,false
0.011099,0.025316,0,0,0.01,0.046296,0.166667,0.010791,0.009732,0.072581,0.01016,0.007101,0.427083,0.050925,0.000788,0.0071,0.000788,0.009524,0.009524,0.018519,0.009615,0,0.013514,0.824167,0.428578,0.018519,0.083333,0.468999,0,false
0,0.007595,0,0,0,0.009259,0.083333,0.001799,0.00365,0.024194,0.002903,0.001923,0.652771,0.020833,0.00018,0.001923,0.00018,0,0,0.018519,0,0,0,0.824167,0,0.018519,0.166667,0.632574,0,false
0.27081,0.118987,0.105263,0,0.593333,0.564815,1,0.399281,0.425791,0.685484,0.415094,0.387574,0.001133,0.972435,0.379172,0.38757,0.379172,0.371429,0.371429,0.111111,0.336538,0.235294,0.405405,0.396757,0.477564,0.111111,0.032258,0.465073,0,true
0.051054,0.058228,0.052632,0,0.05,0.092593,0.541667,0.059353,0.06691,0.185484,0.063861,0.046893,0.051073,0.42634,0.022331,0.046893,0.022331,0.038095,0.038095,0,0.028846,0,0.054054,0.677662,0.571422,0,0,0.355764,0.75,true
0.09212,0.096203,0.028708,0,0.14,0.231481,0.666667,0.127698,0.13017,0.330645,0.129173,0.105473,0.03889,0.497127,0.055934,0.105472,0.055934,0.066667,0.066667,0.092593,0.028846,0.029412,0.081081,0.355324,1,0.092593,0.119048,0.28706,0,true
0.00444,0.01519,0,0,0.003333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.018519,0,0,0,0.604396,0,0.018519,0.166667,0.370861,0,false
0.107658,0.139241,0.019139,0,0.136667,0.240741,0.541667,0.097122,0.096107,0.314516,0.096517,0.078698,0.085108,0.300694,0.026721,0.078699,0.026721,0.066667,0.066667,0.092593,0.057692,0.058824,0.067568,0.304686,0.500021,0.092593,0.138888,0.20698,0,true
0.072142,0.098734,0.004785,0,0.093333,0.222222,0.416667,0.149281,0.144769,0.274194,0.146589,0.114497,0.054119,0.411458,0.050933,0.114494,0.050933,0.095238,0.095238,0,0.096154,0.029412,0.121622,0.795816,0.428578,0,0,0.531218,0,false
0.194229,0.189873,0.277512,0.0625,0.15,0.768519,0.083333,0.19964,0.13382,0.685484,0.160377,0.152219,0.483688,0.040948,0.012162,0.152215,0.012162,0,0,0,0,0,0,0,0,0,0,0,0,true
0.029967,0.043038,0,0,0.043333,0.194444,0.041667,0.046763,0.030414,0.177419,0.03701,0.027811,0.652771,0.020833,0.001728,0.02781,0.001728,0,0,0,0,0,0,0.109891,0,0,0,0.097266,0,false
0.315205,0.356962,0.052632,0,0.45,0.342593,0.666667,0.255396,0.287105,0.427419,0.274311,0.233284,0.016837,0.700204,0.167807,0.233281,0.167807,0.409524,0.409524,0.185185,0.413462,0.411765,0.378378,0.499271,0.428578,0.185185,0.057472,0.370861,0,false
0.013319,0.002532,0,0,0.046667,0.064815,0.208333,0.021583,0.021898,0.096774,0.021771,0.014793,0.276625,0.094698,0.002225,0.014793,0.002225,0.038095,0.038095,0,0.038462,0.058824,0.027027,0.410471,0.428578,0,0,0.632574,0,false
0.00222,0.007595,0,0,0.006667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.018519,0,0,0,0.472528,0,0.018519,0.166667,0.468999,0,false
0.291898,0.283544,0.143541,0,0.413333,0.425926,0.916667,0.294964,0.316302,0.548387,0.307692,0.275296,0.006029,0.868333,0.242454,0.275293,0.242454,0.304762,0.304762,0.148148,0.307692,0.294118,0.283784,0.401926,0.428578,0.148148,0.060607,0.299355,0,true
0.008879,0.020253,0,0,0.01,0.027778,0,0.008993,0.004866,0.024194,0.006531,0.003698,0.768521,0.011904,0.000227,0.003698,0.000227,0,0,0,0,0,0,0.384625,0,0,0,0.258706,0,false
0.08879,0.121519,0.004785,0,0.113333,0.259259,0.375,0.097122,0.105839,0.298387,0.102322,0.082249,0.135169,0.203775,0.019954,0.082249,0.019954,0.095238,0.095238,0.203704,0.086538,0.058824,0.108108,0.586567,0.476193,0.203704,0.2037,0.389115,0,false
0.021088,0.012658,0,0,0.056667,0.037037,0.25,0.066547,0.06691,0.080645,0.066763,0.04068,0.039633,0.492188,0.022317,0.04068,0.022317,0.07619,0.07619,0,0.076923,0.117647,0.054054,0.604396,0.428578,0,0,0.763411,0.25,false
0.039956,0.04557,0.009569,0,0.063333,0.12963,0.166667,0.059353,0.045012,0.145161,0.050798,0.035651,0.211708,0.129629,0.006248,0.035651,0.006248,0.028571,0.028571,0.055556,0.028846,0.029412,0.027027,0.304686,0.428578,0.055556,0.166667,0.258706,0,false
0.205327,0.253165,0.062201,0,0.25,0.37037,0.75,0.230216,0.227494,0.467742,0.228592,0.198669,0.021465,0.645833,0.132724,0.198666,0.132724,0.228571,0.228571,0.037037,0.221154,0.176471,0.243243,0.58749,0.447221,0.037037,0.017543,0.368804,0,true
0.021088,0.043038,0,0,0.016667,0.055556,0.083333,0.01259,0.010949,0.064516,0.011611,0.007692,0.589646,0.027083,0.00059,0.007692,0.00059,0.009524,0.009524,0,0.009615,0,0.013514,0.604396,0.428578,0,0,0.292351,0,false
0.008879,0.020253,0,0,0.01,0.037037,0.166667,0.014388,0.017032,0.064516,0.015965,0.010207,0.305563,0.083333,0.001481,0.010207,0.001481,0.009524,0.009524,0.018519,0.009615,0,0.013514,0.824167,0.428578,0.018519,0.083333,0.539108,0,false
0.069922,0.065823,0.047847,0,0.1,0.12037,0.333333,0.06295,0.069343,0.169355,0.066763,0.047929,0.109688,0.245098,0.013917,0.047927,0.013917,0.114286,0.114286,0,0.115385,0.117647,0.108108,0.664343,0.428578,0,0,0.490314,0,false
0.135405,0.18481,0.014354,0,0.163333,0.203704,0.5,0.122302,0.122871,0.274194,0.122642,0.096154,0.052373,0.419871,0.043779,0.096152,0.043779,0.133333,0.133333,0.018519,0.125,0.088235,0.148649,0.55368,0.461535,0.018519,0.013889,0.346327,0,false
0.068812,0.063291,0.076555,1,0.08,0.314815,0.041667,0.178058,0.119221,0.282258,0.142961,0.112426,0.265771,0.099506,0.015499,0.112426,0.015499,0,0,0,0,0,0,0.042736,0,0,0,0.03604,0,false
0.081021,0.101266,0.023923,0,0.103333,0.175926,0.25,0.086331,0.087591,0.201613,0.087083,0.064497,0.142629,0.19384,0.01514,0.064498,0.01514,0.085714,0.085714,0.037037,0.086538,0.058824,0.094595,0.5656,0.428578,0.037037,0.041667,0.375847,0,false
0.053274,0.063291,0.019139,0,0.073333,0.175926,0.083333,0.044964,0.047445,0.169355,0.046444,0.034024,0.509104,0.037137,0.002682,0.034023,0.002682,0.028571,0.028571,0.203704,0.028846,0.029412,0.027027,0.261539,0.428578,0.203704,0.611117,0.196397,0,false
0.00333,0.005063,0,0,0.013333,0.009259,0.083333,0.003597,0.004866,0.024194,0.004354,0.002663,0.537042,0.033333,0.000295,0.002663,0.000295,0.009524,0.009524,0.018519,0.009615,0,0.013514,0.698576,0.428578,0.018519,0.083333,0.850635,0,false
0.019978,0.022785,0.004785,0,0.036667,0.111111,0.5,0.03777,0.045012,0.193548,0.04209,0.032101,0.125,0.21875,0.008681,0.0321,0.008681,0.019048,0.019048,0.037037,0.009615,0,0.027027,0.510216,0.857155,0.037037,0.111112,0.468999,0.25,false
0.017758,0.007595,0,0,0.053333,0.175926,0,0.055755,0.036496,0.153226,0.044267,0.031805,0.642854,0.02174,0.001998,0.031804,0.001998,0,0,0,0,0,0,0.083865,0,0,0,0.156745,0,false
0.067703,0.043038,0.014354,0,0.146667,0.222222,0.375,0.118705,0.103406,0.266129,0.109579,0.085651,0.086538,0.296875,0.028674,0.085648,0.028674,0.095238,0.095238,0,0.096154,0.029412,0.121622,0.506207,0.428578,0,0,0.564192,0,false
0.107658,0.15443,0.014354,0,0.12,0.203704,0.625,0.138489,0.126521,0.298387,0.13135,0.104734,0.028725,0.574921,0.063592,0.104731,0.063592,0.07619,0.07619,0.037037,0.067308,0.029412,0.094595,0.486058,0.489821,0.037037,0.041667,0.283205,0,false
0.016648,0.025316,0.009569,0.0625,0.02,0.111111,0.041667,0.028777,0.017032,0.104839,0.021771,0.015089,0.625,0.023438,0.001013,0.015088,0.001013,0,0,0,0,0,0,0.238093,0,0,0,0.16524,0.75,false
0.039956,0.040506,0.019139,0,0.063333,0.12963,0.208333,0.03777,0.043796,0.153226,0.041364,0.029882,0.291667,0.088542,0.003999,0.029881,0.003999,0.057143,0.057143,0.111111,0.048077,0.058824,0.054054,0.544449,0.514293,0.111111,0.2,0.445642,0,false
0.581576,0.594937,0.373206,0,0.713333,0.518519,0.333333,0.584532,0.572993,0.516129,0.577649,0.507249,0.021656,0.64375,0.334735,0.507226,0.334735,0.838095,0.838095,0.574074,0.846154,1,0.72973,0.613521,0.428578,0.574074,0.09394,0.38566,0,false
0.045505,0.055696,0.023923,0,0.056667,0.083333,0.291667,0.061151,0.062044,0.129032,0.061684,0.041864,0.087919,0.293269,0.014332,0.041865,0.014332,0.009524,0.009524,0.092593,0,0,0.013514,0.208792,0,0.092593,0.416667,0.145354,0.75,false
0.08879,0.075949,0.095694,0,0.11,0.25,0.291667,0.07554,0.083942,0.274194,0.080552,0.064053,0.213604,0.12836,0.010822,0.064054,0.010822,0.07619,0.07619,0.259259,0.076923,0.058824,0.081081,0.457864,0.428578,0.259259,0.333333,0.297828,0,true
0.119867,0.060759,0.129187,0,0.2,0.231481,0.333333,0.102518,0.110706,0.266129,0.107402,0.084024,0.123406,0.221265,0.021832,0.084024,0.021832,0.209524,0.209524,0,0.211538,0.294118,0.162162,0.489275,0.428578,0,0,0.425975,0,true
0.007769,0.020253,0,0,0.006667,0.009259,0,0.003597,0.002433,0.008065,0.002903,0.001479,0.826396,0.008333,0.000097,0.001479,0.000097,0,0,0.018519,0,0,0,0.472528,0,0.018519,0.166667,0.280273,0,false
0.27303,0.301266,0.08134,0,0.376667,0.583333,0.666667,0.278777,0.285888,0.637097,0.283019,0.261538,0.046121,0.452735,0.125157,0.261536,0.125157,0.333333,0.333333,0.185185,0.336538,0.264706,0.337838,0.536194,0.428578,0.185185,0.064103,0.383305,0,true
0.264151,0.212658,0.220096,0.0625,0.37,0.37963,0.541667,0.410072,0.453771,0.435484,0.436139,0.370266,0.005873,0.871296,0.326221,0.370262,0.326221,0.361905,0.361905,0,0.365385,0.5,0.283784,0.454014,0.428578,0,0,0.33225,0,true
0.117647,0,0.45933,0,0.043333,0.25,0.083333,0.068345,0.051095,0.233871,0.058055,0.045266,0.470896,0.04301,0.003802,0.045264,0.003802,0,0,0,0,0,0,0.109891,0,0,0,0.013361,0,false
0.075472,0.078481,0.038278,0,0.106667,0.185185,0.291667,0.068345,0.06691,0.217742,0.067489,0.051331,0.174792,0.158854,0.010345,0.051331,0.010345,0.114286,0.114286,0.055556,0.115385,0.176471,0.081081,0.472528,0.428578,0.055556,0.071428,0.349644,0,false
