@relation bridges-version1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute IDENTIF {E1,E10,E100,E101,E102,E103,E105,E107,E107N,E108,E109,E11,E12,E13,E14,E15,E16,E17,E18,E19,E2,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E3,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E4,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E5,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E6,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E7,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E8,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E9,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99}
@attribute RIVER {A,M,O,Y}
@attribute LOCATION {1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,38.5,39,39.5,39.7,4,40,41,42,43,44,45,46,47,48,49,5,51,52,6,7,8,9}
@attribute ERECTED numeric
@attribute PURPOSE {WALK,AQUEDUCT,RR,HIGHWAY}
@attribute LENGTH numeric
@attribute LANES numeric
@attribute CLEAR-G {N,G}
@attribute T-OR-D {THROUGH,DECK}
@attribute MATERIAL {WOOD,IRON,STEEL}
@attribute SPAN {SHORT,MEDIUM,LONG}
@attribute REL-L {S,S-F,F}
@attribute TYPE {WOOD,SUSPEN,SIMPLE-T,ARCH,CANTILEV,CONT-T}

@data
E103,O,48,0.755952,HIGHWAY,0.361215,0.2,G,THROUGH,STEEL,LONG,F,CANTILEV
E75,A,30,0.654762,HIGHWAY,0.499201,0.6,G,DECK,STEEL,MEDIUM,F,ARCH
E32,A,30,0.410714,HIGHWAY,?,0.2,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
E94,M,13,0.494048,RR,?,0.2,G,THROUGH,STEEL,LONG,F,SIMPLE-T
E97,Y,52,0.755952,HIGHWAY,?,?,G,THROUGH,STEEL,MEDIUM,S,ARCH
E57,O,49,0.547619,RR,0.217368,0.2,G,THROUGH,STEEL,LONG,F,CANTILEV
E99,M,23,0.785714,HIGHWAY,0.137453,0.2,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
E52,M,2,0.511905,RR,0.186468,?,G,THROUGH,STEEL,LONG,F,CANTILEV
E90,M,7,0.952381,HIGHWAY,0.038892,1,G,THROUGH,STEEL,LONG,F,ARCH
E78,O,40,0.672619,HIGHWAY,0.149441,0.6,G,THROUGH,STEEL,LONG,F,ARCH
E98,M,22,0.791667,HIGHWAY,0.025573,0.6,G,THROUGH,STEEL,MEDIUM,F,CONT-T
E5,A,29,0.113095,HIGHWAY,0.052211,0.2,N,THROUGH,WOOD,SHORT,S,WOOD
E36,O,45,0.428571,HIGHWAY,?,0.2,G,THROUGH,IRON,SHORT,F,SIMPLE-T
E91,O,44,0.934524,HIGHWAY,0.786361,1,G,THROUGH,STEEL,LONG,F,ARCH
