@relation cmc-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute Wifes_age numeric
@attribute Wifes_education {1,2,3,4}
@attribute Husbands_education {1,2,3,4}
@attribute Number_of_children_ever_born numeric
@attribute Wifes_religion {0,1}
@attribute Wifes_now_working? {0,1}
@attribute Husbands_occupation {1,2,3,4}
@attribute Standard-of-living_index {1,2,3,4}
@attribute Media_exposure {0,1}
@attribute Contraceptive_method_used {1,2,3}

@data
0.69697,4,4,0.1875,0,1,2,4,0,2
0.515152,1,1,0.3125,1,1,3,1,1,1
0.242424,2,2,0.1875,1,1,2,4,0,1
0.30303,3,4,0.25,1,1,2,4,0,3
0.878788,1,1,0,0,0,2,1,0,1
0.545455,4,4,0.125,0,1,1,4,0,1
0.333333,3,4,0.25,1,1,3,3,0,3
0.575758,4,4,0.0625,0,1,1,4,0,3
0.909091,4,4,0.25,1,1,1,4,0,2
0.212121,4,4,0.0625,1,0,3,4,0,2
0.30303,4,4,0.0625,0,0,2,4,0,3
0.606061,4,4,0.25,1,1,1,3,0,3
0.878788,1,4,0.3125,1,1,1,2,1,1
0.636364,2,4,0.25,1,0,2,3,0,3
0.484848,4,4,0.25,1,1,1,3,0,3
0.424242,4,4,0,0,0,1,3,0,1
0.939394,2,2,0.4375,1,1,2,4,0,2
0.363636,4,4,0.0625,0,0,2,4,0,3
0.575758,4,4,0.3125,0,0,1,4,0,2
0.424242,3,4,0.125,1,1,1,2,0,3
0.878788,3,4,0.1875,0,1,3,4,0,1
0.606061,3,3,0.5,1,1,3,2,0,1
0.666667,2,4,0.1875,1,1,1,3,0,1
0.363636,3,4,0.125,0,1,2,3,0,2
0.181818,4,4,0.0625,1,1,1,3,0,2
0.818182,3,3,0.125,0,0,3,4,0,3
0.30303,3,4,0.125,1,1,3,3,0,1
0.727273,2,2,0.5,1,1,1,3,0,1
0.636364,3,3,0.375,1,1,3,3,0,3
0.484848,3,4,0.4375,0,1,1,3,0,2
0.090909,4,4,0.0625,1,1,1,3,0,3
0.545455,3,4,0.25,1,1,1,3,0,1
0.787879,1,3,0.5625,1,1,3,2,1,1
0.272727,3,4,0.1875,1,0,3,4,0,3
0.484848,2,2,0.375,1,1,2,3,0,3
0.878788,3,4,0.125,0,1,1,4,0,1
0.848485,4,4,0.25,0,1,2,3,0,3
0.393939,4,4,0.1875,1,0,3,3,0,2
0.393939,2,3,0.0625,1,1,1,2,0,1
0.151515,3,4,0,1,0,3,1,0,1
0.454545,3,4,0.1875,0,0,2,4,0,1
0.181818,4,4,0.0625,1,1,1,3,0,2
0.30303,2,4,0.125,1,1,1,4,0,2
0.30303,3,3,0.1875,1,1,3,3,0,3
0.090909,4,4,0.0625,1,1,3,2,0,3
0.757576,1,3,0.625,1,1,2,3,1,1
0.393939,4,4,0,1,0,2,4,0,1
0.151515,3,4,0.125,1,1,3,3,0,3
0.424242,2,4,0.25,1,0,1,4,0,1
0.333333,3,2,0.1875,1,1,3,2,0,1
0.484848,4,4,0.1875,0,1,1,4,0,3
0.151515,3,3,0.125,1,1,2,2,0,1
0.30303,2,3,0.125,1,1,2,3,0,3
0.181818,4,4,0.125,1,1,1,3,0,1
0.181818,3,3,0.125,1,1,3,1,0,3
0.515152,2,2,0.1875,0,0,2,4,0,1
0.575758,3,2,0.5625,1,0,3,4,0,3
0.787879,3,3,0.625,1,1,3,3,0,1
0.545455,4,3,0,0,0,3,3,0,1
0.878788,2,3,0.6875,1,1,2,3,0,1
0.212121,2,2,0.0625,1,1,2,4,0,3
0.636364,3,4,0.25,1,0,2,4,0,1
0.424242,4,4,0.125,1,1,4,3,0,3
0.181818,4,4,0.0625,1,0,2,4,0,3
0.454545,2,2,0.25,1,1,4,3,1,2
0.787879,2,2,0.1875,1,1,3,4,0,1
0.242424,3,3,0.125,1,1,3,3,0,1
0.666667,3,4,0.1875,1,1,3,2,0,3
0.848485,3,4,0.25,1,0,1,3,0,1
0.454545,3,4,0.125,1,1,1,4,0,1
0.969697,1,2,0.5,1,1,3,1,0,1
0.363636,3,4,0,1,1,3,2,0,1
0.666667,3,4,0.125,0,1,2,4,0,1
0.060606,3,4,0.0625,1,1,3,1,0,1
0.848485,4,4,0.6875,1,1,1,4,0,3
0.818182,3,4,0.3125,1,1,3,2,1,2
0.818182,4,4,0.3125,1,1,1,3,0,1
0.878788,3,4,0,1,1,1,3,0,1
0.69697,4,4,0.25,1,0,1,4,0,2
0.242424,4,4,0.0625,1,1,1,3,0,3
0.757576,4,4,0.25,0,0,2,4,0,2
0.30303,4,4,0.0625,1,1,1,3,0,1
0.575758,2,3,0.5,1,1,3,2,0,1
0.515152,4,4,0.1875,0,0,1,3,0,1
0.727273,3,4,0.1875,1,0,1,4,0,3
0.69697,2,2,0.375,1,1,2,4,0,1
0.424242,3,4,0.25,1,1,3,3,0,3
0.575758,4,4,0.125,0,1,3,3,0,1
0.363636,2,4,0.25,1,1,3,4,0,3
0.272727,4,4,0.125,1,1,3,3,0,3
0.121212,3,3,0.125,1,1,2,4,0,3
0.242424,4,4,0,1,0,2,2,0,1
0.878788,4,4,0.0625,1,0,3,3,0,1
0.090909,3,3,0.0625,1,1,2,1,0,3
0.060606,2,3,0.0625,1,1,2,3,0,1
0.484848,4,4,0.25,1,0,1,4,0,3
0.545455,2,4,0.4375,1,1,2,3,0,3
0.181818,4,4,0.125,1,1,3,4,0,3
0.939394,4,4,0.5,1,1,1,4,0,2
0.151515,4,4,0.0625,1,1,1,4,0,2
