@relation horse-colic-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute surgery {yes,no}
@attribute Age {adult,young}
@attribute rectal_temperature numeric
@attribute pulse numeric
@attribute respiratory_rate numeric
@attribute temp_extremities {normal,warm,cool,cold}
@attribute peripheral_pulse {normal,increased,reduced,absent}
@attribute mucous_membranes {'normal pink','bright pink','pale pink','pale cyanotic','bright red','dark cyanotic'}
@attribute capillary_refill_time {<3,>=3,'meaning unknown'}
@attribute pain {'alert no pain',depressed,'intermittent mild pain','intermittent severe pain','continuous severe pain'}
@attribute peristalsis {hypermotile,normal,hypomotile,absent}
@attribute abdominal_distension {none,slight,moderate,severe}
@attribute nasogastric_tube {none,slight,significant}
@attribute nasogastric_reflux {none,>1l,<1l}
@attribute nasogastric_reflux_PH numeric
@attribute rectal_examination {normal,increased,decreased,absent}
@attribute abdomen {normal,other,'firm feces in large intestine','distended small intestine','distended large intestine'}
@attribute packed_cell_volume numeric
@attribute total_protein numeric
@attribute abdominocentesis_appearance {clear,cloudy,serosanguinous}
@attribute abdomcentesis_total_protein numeric
@attribute outcome {lived,died,euthanized}
@attribute surgical_lesion {yes,no}

@data
yes,adult,?,0.311688,0.181818,cool,reduced,'pale pink',<3,?,hypomotile,?,slight,none,?,?,'distended small intestine',0.549296,0.684947,?,0.19,euthanized,no
no,adult,0.555556,0.116883,0.090909,normal,?,'normal pink',<3,'alert no pain',hypomotile,none,slight,<1l,0.6,absent,'firm feces in large intestine',0.633803,0.04084,?,?,lived,no
yes,adult,?,0.194805,0.25,cool,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,severe,none,none,?,absent,?,0.577465,0.778296,serosanguinous,0.19,lived,yes
yes,adult,?,0.227273,0.181818,?,?,?,>=3,'continuous severe pain',?,severe,significant,none,?,?,'distended large intestine',?,?,?,?,euthanized,yes
yes,adult,0.611111,0.298701,?,normal,normal,'bright red',>=3,'intermittent mild pain',hypomotile,slight,slight,>1l,?,absent,'distended small intestine',0.647887,0.054842,?,?,lived,yes
yes,adult,0.407407,0.097403,0.045455,cool,normal,'pale pink',<3,?,normal,slight,slight,none,?,normal,'distended small intestine',0.492958,0.043174,cloudy,0.14,lived,yes
yes,adult,0.351852,0.116883,0.045455,normal,?,'pale pink',<3,'intermittent mild pain',hypermotile,moderate,slight,none,?,decreased,'firm feces in large intestine',0.507042,0.038506,cloudy,?,lived,yes
no,adult,0.666667,0.363636,0.090909,cool,reduced,'bright red',?,'intermittent mild pain',hypomotile,moderate,?,>1l,?,?,?,0.901408,0.029172,serosanguinous,0.59,died,yes
no,adult,0.555556,0.142857,0.136364,warm,normal,'pale pink',<3,'alert no pain',hypomotile,slight,slight,none,?,decreased,'distended large intestine',0.521127,0.696616,clear,0.09,lived,no
no,adult,0.388889,0.064935,0.272727,cool,normal,'pale pink',<3,'intermittent mild pain',normal,moderate,slight,none,?,?,'distended large intestine',0.394366,0.036173,clear,0.1,lived,yes
