@relation credit-rating-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute A1 {b,a}
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 {u,y,l,t}
@attribute A5 {g,p,gg}
@attribute A6 {c,d,cc,i,j,k,m,r,q,w,x,e,aa,ff}
@attribute A7 {v,h,bb,j,n,z,dd,ff,o}
@attribute A8 numeric
@attribute A9 {t,f}
@attribute A10 {t,f}
@attribute A11 numeric
@attribute A12 {t,f}
@attribute A13 {g,p,s}
@attribute A14 numeric
@attribute A15 numeric
@attribute class {+,-}

@data
a,0.503759,0.026786,u,g,q,h,0.096491,t,t,0.014925,f,g,0.1665,0.00892,+
b,0.171729,0.214286,u,g,c,v,0.035088,t,t,0.044776,f,g,0,0,+
a,0.322105,0.133929,u,g,ff,ff,0,f,t,0.089552,f,g,0,0.002,-
a,0.373383,0.178571,u,g,cc,v,0.473684,t,f,0,t,g,0.49,0,-
a,0.159098,0.089286,y,p,i,bb,0.157895,f,f,0,f,g,0.1,0.00456,-
a,0.495038,0.016429,u,g,cc,h,0.014561,t,t,0.164179,t,g,0.22,0.00006,+
a,0.134135,0.25,u,g,c,v,0.005789,f,f,0,f,g,0.08,0,-
b,0.308271,0.0625,u,g,w,bb,0.008772,t,f,0,t,g,0.0815,0,-
b,0.132782,0.358571,u,g,x,v,0.001404,t,t,0.134328,f,g,0.03,0.00396,+
b,0.254436,0.089286,u,g,cc,h,0.078947,f,f,0,t,s,0.17,0,-
b,0.135338,0.392857,u,g,q,v,0.087719,t,t,0.104478,t,g,0.05,0.00809,+
a,0.253083,0.380893,u,g,q,h,0.002982,f,t,0.179104,t,g,0.0645,0.00003,-
b,0.233083,0.464286,u,g,d,h,0.017544,f,f,0,f,g,0.114,0,-
b,0.095188,0.008929,u,g,q,v,0.004386,f,f,0,f,g,0.1,0,-
?,0.236842,0.071429,y,p,e,h,0.070175,f,f,0,f,g,0.128,0.00017,-
b,0.382256,0.058036,u,g,c,v,0.052632,t,t,0.149254,f,g,0.093,0.047,+
