@relation german_credit-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute purpose {'new car','used car',furniture/equipment,radio/tv,'domestic appliance',repairs,education,vacation,retraining,business,other}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute employment {unemployed,<1,1<=X<4,4<=X<7,>=7}
@attribute installment_commitment numeric
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute other_parties {none,'co applicant',guarantor}
@attribute residence_since numeric
@attribute property_magnitude {'real estate','life insurance',car,'no known property'}
@attribute age numeric
@attribute other_payment_plans {bank,stores,none}
@attribute housing {rent,own,'for free'}
@attribute existing_credits numeric
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute num_dependents numeric
@attribute own_telephone {none,yes}
@attribute foreign_worker {yes,no}
@attribute class {good,bad}

@data
0<=X<200,0.205882,'delayed previously',furniture/equipment,0.222681,<100,>=7,1,'male div/sep',none,0.666667,'no known property',0.375,none,own,0,'high qualif/self emp/mgmt',0,yes,yes,bad
'no checking',0.205882,'critical/other existing credit','used car',0.198085,<100,4<=X<7,0.666667,'male single',none,0,car,0.142857,none,own,0.333333,skilled,0,none,yes,good
'no checking',0.117647,'critical/other existing credit',furniture/equipment,0.063387,500<=X<1000,4<=X<7,0.666667,'female div/dep/mar',none,1,car,0.321429,none,rent,0,skilled,0,yes,yes,good
'no checking',0.382353,'existing paid','used car',0.250963,'no known savings',4<=X<7,0.333333,'female div/dep/mar',none,1,'life insurance',0.089286,stores,rent,0,'unskilled resident',0,none,yes,good
0<=X<200,0.073529,'existing paid',furniture/equipment,0.097942,'no known savings',4<=X<7,0.333333,'male single',none,0,car,0.089286,none,own,0,skilled,0,yes,yes,good
'no checking',0.205882,'critical/other existing credit','new car',0.138935,<100,4<=X<7,0.333333,'male single',none,0.333333,'life insurance',0.214286,bank,own,0.333333,skilled,0,none,yes,bad
'no checking',0.117647,'critical/other existing credit','new car',0.068504,<100,>=7,1,'male single',none,0,'real estate',0.339286,none,own,0.333333,'unskilled resident',1,none,yes,good
'no checking',0.117647,'existing paid','new car',0.117751,'no known savings',>=7,1,'male single',none,0.666667,car,0.553571,none,own,0,skilled,0,yes,yes,good
0<=X<200,0.25,'existing paid',furniture/equipment,0.205018,'no known savings',4<=X<7,0.333333,'male single',none,0.666667,car,0.285714,none,own,0,skilled,0,yes,yes,good
0<=X<200,0.294118,'existing paid',radio/tv,0.098437,<100,<1,0,'male mar/wid',none,0,'life insurance',0.053571,none,own,0,skilled,0,yes,yes,bad
'no checking',0.073529,'existing paid',radio/tv,0.067569,<100,4<=X<7,1,'male single',none,0.333333,car,0.053571,none,own,0,skilled,0,none,yes,bad
'no checking',0.029412,'critical/other existing credit',radio/tv,0.062287,<100,1<=X<4,0,'female div/dep/mar',none,0,car,0.160714,none,own,0.333333,skilled,0,yes,yes,good
0<=X<200,0.117647,'existing paid',radio/tv,0.147463,<100,4<=X<7,0.333333,'female div/dep/mar',none,0,'real estate',0.142857,none,own,0,skilled,0,none,yes,good
