@relation ecoli-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute mcg numeric
@attribute gvh numeric
@attribute lip numeric
@attribute chg numeric
@attribute aac numeric
@attribute alm1 numeric
@attribute alm2 numeric
@attribute class {cp,im,pp,imU,om,omL,imL,imS}

@data
0.280899,0.25,0,0,0.488636,0.237113,0.363636,cp
0.865169,0.488095,1,0,0.420455,0.525773,0.010101,omL
0.808989,0.833333,0,0,0.193182,0.536082,0.212121,pp
0.460674,0.416667,0,0,0.602273,0.742268,0.787879,im
0.41573,0.333333,0,0,0.477273,0.371134,0.474747,cp
0.764045,0.785714,0,0,0.431818,0.639175,0.565657,pp
0.662921,0.392857,0,0,0.590909,0.43299,0.363636,cp
0.707865,0.797619,0,0,0.454545,0.371134,0.191919,pp
0.831461,0.880952,0,0,0.647727,0.515464,0.292929,om
0.460674,0.321429,0,0,0.511364,0.28866,0.414141,cp
0.449438,0.357143,0,0,0.590909,0.474227,0.565657,cp
0.853933,0.297619,0,0,0.568182,0.57732,0.626263,imU
0.404494,0.47619,0,0,0.488636,0.43299,0.535354,cp
0.58427,0.77381,0,0,0.818182,0.360825,0.383838,om
1,0.464286,0,0,0.579545,0.71134,0.767677,im
0.719101,0.345238,0,0,0.761364,0.597938,0.666667,imU
0.651685,0.464286,0,0,0.647727,0.690722,0.747475,im
0.460674,0.416667,0,0,0.659091,0.175258,0.313131,cp
0.786517,0.440476,0,0,0.795455,0.85567,0.878788,imU
0.370787,0.345238,0,0,0.511364,0.876289,0.89899,im
0.775281,0.583333,0,0,0.715909,0.463918,0.414141,pp
0.831461,0.785714,0,0,0.556818,0.474227,0.414141,pp
0.539326,0.297619,0,0,0.579545,0.896907,0.888889,im
0.382022,0.142857,0,0,0.465909,0.329897,0.444444,cp
0.52809,0.357143,0,0,0.704545,0.731959,0.777778,imU
0.764045,0.392857,1,0,0.704545,0.536082,0.282828,omL
0.752809,0.464286,1,0,0.75,0.56701,0.161616,omL
0.067416,0.535714,0,0,0.556818,0.917526,0.373737,im
0.303371,0.166667,0,0,0.806818,0.257732,0.393939,cp
0.719101,0.738095,0,0,0.568182,0.340206,0.383838,pp
0.764045,0.559524,0,0,0.829545,0.381443,0.30303,om
0.640449,0.511905,0,0,0.443182,0.453608,0.333333,pp
0.247191,0.238095,0,0,0.397727,0.371134,0.474747,cp
0.393258,0.214286,0,0,0.522727,0.278351,0.272727,cp
0.932584,0.25,0,0,0.693182,0.701031,0.747475,im
0.247191,0.321429,0,0,0.545455,0.134021,0.282828,cp
0.707865,0.833333,0,0,0.443182,0.453608,0.343434,pp
0.382022,0.416667,0,0,0.761364,0.896907,0.909091,im
0.707865,0.583333,0,0,0.75,0.659794,0.717172,im
0.134831,0.607143,0,0,0.840909,0.56701,0.636364,im
0.719101,0.714286,0,0,0.511364,0.329897,0.383838,cp
0.269663,0.214286,0,0,0.431818,0.278351,0.40404,cp
0.820225,0.738095,0,0,0.659091,0.494845,0.313131,pp
0.707865,0.452381,0,0,0.738636,0.783505,0.818182,im
0.550562,0.321429,0,0,0.556818,0.278351,0.40404,cp
0.258427,0.202381,0,0,0.488636,0.309278,0.434343,cp
0.078652,0.285714,0,0,0.613636,0.329897,0.444444,cp
0.370787,0.345238,0,0,0.590909,0.298969,0.414141,cp
0.910112,0.428571,0,0,0.647727,0.773196,0.808081,imU
0.707865,0.488095,0,0,0.556818,0.690722,0.20202,pp
0.966292,0.464286,0,0,0.715909,0.804124,0.838384,imU
0.58427,0.488095,0,0,0.477273,0.453608,0.545455,cp
0.235955,0.214286,0,0,0.579545,0.257732,0.393939,cp
0.685393,0.345238,0,0,0.545455,0.329897,0.414141,cp
0.842697,0.714286,0,0,0.943182,0.556701,0.30303,om
0.404494,0.27381,0,0,0.545455,0.195876,0.232323,cp
0.123596,0.404762,0,0,0.659091,0.71134,0.686869,im
0.730337,0.369048,0,0,0.670455,0.278351,0.40404,cp
0.573034,0.357143,0,0,0.659091,0.28866,0.414141,cp
0.988764,0.309524,0,0,0.590909,0.721649,0.757576,imU
0.853933,0.678571,0,0,0.5,0.371134,0.393939,pp
0.382022,0.392857,0,0,0.659091,0.845361,0.808081,im
0.752809,0.27381,0,0,0.409091,0.360825,0.464646,cp
0.573034,0.404762,0,0,0.522727,0.298969,0.353535,cp
0.550562,0.154762,0,0,0.636364,0.216495,0.353535,cp
0.404494,0.297619,0,0,0.545455,0.453608,0.545455,cp
0.191011,0.27381,0,0,0.602273,0.278351,0.393939,cp
0.685393,0.369048,0,0,0,0.793814,0.323232,im
0.404494,0.309524,0,0,0.602273,0.298969,0.414141,cp
0.044944,0.178571,0,0,0.465909,0.268041,0.393939,cp
0.337079,0.333333,0,0,0.556818,0.195876,0.333333,cp
0.764045,0.714286,0,0,0.954545,0.43299,0.272727,om
0.303371,0.309524,0,0,0.420455,0.360825,0.434343,cp
0.202247,0.166667,0,0,0.522727,0.216495,0.353535,cp
0.573034,0.392857,0,0,0.602273,0.113402,0.262626,cp
0.505618,0.285714,0,0,0.693182,0.731959,0.777778,im
0.966292,0.27381,0,0,0.670455,0.886598,0.909091,imU
0.179775,0.416667,0,0,0.375,0.371134,0.484848,im
0.460674,0.488095,0,0,0.443182,0.185567,0.323232,cp
0.707865,0.630952,0,0,0.738636,0.391753,0.282828,om
0.325843,0.142857,0,0,0.568182,0.402062,0.505051,cp
0.797753,0.833333,0,0,0.454545,0.525773,0.323232,pp
0.977528,0.392857,0,0,0.693182,0.752577,0.79798,imU
0.775281,0.321429,0,0,0.670455,0.731959,0.777778,imU
0.449438,0.404762,0,0,0.738636,0.814433,0.848485,im
0.617978,0.369048,0,0,0.647727,0.773196,0.808081,im
0.775281,0.595238,0,0,0.465909,0.484536,0.252525,pp
0.359551,0.27381,0,0,0.602273,0.257732,0.383838,pp
0.685393,0.702381,0,0,0.579545,0.309278,0.333333,om
0.752809,0.25,0,0,0.613636,0.628866,0.686869,imU
0,0.416667,0,0,0.397727,0.659794,0.444444,im
0.955056,0.440476,0,0,0.602273,0.505155,0.353535,imS
0.449438,0.154762,0,0,0.477273,0.329897,0.444444,cp
0.449438,0.357143,0,0,0.477273,0.329897,0.444444,cp
0.370787,0.369048,0,0,0.602273,0.154639,0.292929,cp
0.94382,0.452381,0,0,0.852273,0.917526,0.707071,imU
0.820225,0.119048,0,0,0.647727,0.742268,0.787879,imU
0.910112,0.333333,0,0,0.477273,0.659794,0.686869,imU
0.842697,0.25,0,0,0.727273,0.690722,0.747475,imU
0.404494,0.452381,0,0,0.465909,0.360825,0.464646,cp
