@relation jEdit:Metrics/4-0-final/:BugCount/4-0-final_4-2-final/-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute WMC numeric
@attribute DIT numeric
@attribute NOC numeric
@attribute CBO numeric
@attribute RFC numeric
@attribute LCOM numeric
@attribute NPM numeric
@attribute LOC numeric
@attribute Bug-count {true,false}

@data
0.004914,0.285714,0,0.009524,0.039146,0.5,0.005181,0.000485,false
0.041769,0.142857,0,0.07619,0.034401,0.82,0.082902,0.02925,true
0.019656,1,0,0.314286,0.784104,0.76,0.036269,0.042663,true
0.009828,0.142857,0,0.009524,0.01898,0,0.020725,0.001293,true
0.014742,0,0.028571,0.028571,0.007117,0,0.031088,0.000808,false
0.004914,0.142857,0,0.009524,0.016607,0.93,0.010363,0.002424,false
0.014742,0.142857,0,0.009524,0.021352,0.41,0.031088,0.005171,false
0.113022,0.285714,0.028571,0.32381,0.078292,0.95,0.134715,0.107143,false
0.027027,1,0,0.52381,0.787663,0.8,0.041451,0.065449,true
0.095823,0.142857,0,0.571429,0.060498,0.97,0.181347,0.100356,true
0.009828,0.428571,0,0.028571,0.02847,0.81,0.020725,0.003717,false
0.027027,0.142857,0,0.047619,0.027284,0.54,0.056995,0.007272,false
0.009828,0.142857,0,0,0.01898,0,0.015544,0.002424,false
0.012285,0.285714,0,0.047619,0.029656,0.72,0,0.014221,false
0.004914,0.285714,0,0.066667,0.039146,1,0.005181,0.003394,false
0.009828,0.428571,0,0.057143,0.043891,0.75,0.020725,0.006141,false
0.02457,0.142857,0,0.028571,0.026097,0.25,0.041451,0.018423,true
0.004914,0.285714,0,0.038095,0.039146,0,0.005181,0.001939,false
0.012285,0.142857,0,0.085714,0.020166,0.4,0.015544,0.015676,false
0.012285,0.428571,0,0.142857,0.386714,0.68,0.025907,0.011151,true
1,0.142857,0,0.6,0.497034,0.87,0.430052,1,false
0.009828,0.285714,0,0.085714,0.030842,0.75,0.010363,0.010827,false
0.04914,0.142857,0,0.085714,0.03796,0.88,0.103627,0.019392,true
0.014742,0.285714,0,0.019048,0.02847,0.33,0.025907,0.00501,false
0.007371,0,0.171429,0,0.003559,1,0,0.000485,false
0.019656,0.857143,0,0.047619,0.753262,0.75,0.041451,0.007757,true
0.009828,0.857143,0,0.104762,0.768683,0.35,0.005181,0.013898,true
0.014742,0.142857,0.057143,0.028571,0.021352,0.33,0.025907,0.009535,true
0.022113,0.142857,0,0.161905,0.024911,0.66,0.041451,0.02117,true
0.009828,0.142857,0,0.095238,0.01898,0.75,0.020725,0.013413,false
0.002457,1,0.171429,0.057143,1,0,0.005181,0.005818,true
0.04914,0.142857,0,0.342857,0.03796,0.84,0.082902,0.059955,true
0.002457,0.571429,0,0.009524,0.049822,0,0.005181,0.000646,false
0.046683,0.142857,1,0.104762,0.036773,0.87,0.098446,0.015191,false
0.017199,0.285714,0,0.085714,0.045077,0.71,0.031088,0.004848,false
0.004914,0.285714,0,0.07619,0.039146,0.5,0.005181,0.00307,false
0.004914,0.142857,0.028571,0.009524,0.002372,0,0,0.000323,false
0.019656,0.714286,0,0.114286,0.761566,0.5,0.041451,0.02618,false
0.022113,0.857143,0,0.504762,0.754448,0.77,0.031088,0.07967,false
0.004914,0.285714,0,0.057143,0.039146,0.66,0.005181,0.002101,false
0.007371,0.285714,0,0.028571,0.027284,0.33,0,0.003555,false
0.105651,0.142857,0,0.152381,0.065243,0.87,0.145078,0.086134,true
0.014742,0.428571,0,0.028571,0.051008,0.96,0.020725,0.010989,false
0.056511,0.142857,0,0.285714,0.041518,0.88,0.108808,0.082902,true
0.009828,0.142857,0,0.009524,0.01898,0.08,0.015544,0.004363,false
0.004914,0.285714,0,0.057143,0.039146,0.5,0.005181,0.00307,false
0.012285,0.142857,0,0.161905,0.020166,0.4,0,0.047996,true
0.009828,0.285714,0,0.009524,0.040332,0,0.015544,0.004363,false
0.031941,0.142857,0.2,0.028571,0.029656,0,0.067358,0.008565,false
0.012285,0.428571,0,0.038095,0.029656,0.9,0.025907,0.006141,true
0.029484,0.142857,0,0.038095,0.02847,0.48,0,0.012443,false
0.004914,0.142857,0,0.019048,0.016607,0.88,0.010363,0.00501,false
0.004914,0.285714,0,0.038095,0.039146,0.5,0.005181,0.001454,false
0.012285,0.285714,0,0.085714,0.052195,0.66,0.025907,0.00905,true
0.009828,0.285714,0,0.095238,0.041518,0,0.010363,0.010343,false
0.007371,0.857143,0,0.047619,0.767497,0.33,0.015544,0.015514,false
0.004914,0.285714,0,0.057143,0.039146,0,0.010363,0.00808,false
0.004914,0.857143,0,0.247619,0.773428,0.18,0.005181,0.053006,true
0.002457,0.285714,0,0.009524,0.01898,0,0.005181,0.001293,false
0.029484,0.142857,0.114286,0.047619,0.02847,0.66,0.062176,0.00905,true
0.014742,0.142857,0.085714,0.028571,0.021352,0.58,0.031088,0.005979,true
0.007371,0.857143,0,0.066667,0.767497,0.33,0.015544,0.00808,false
0.132678,0.857143,0,0.52381,0.807829,0.95,0.217617,0.121526,true
0.009828,0.142857,0,0.047619,0.01898,0,0.020725,0.008727,false
0.031941,0,0.028571,0.019048,0.015421,0,0.067358,0.00404,false
0.007371,0.857143,0,0.085714,0.767497,0.33,0.015544,0.014383,true
0.287469,0.142857,0,0.152381,0.153025,0.96,0.139896,0.382999,true
0.012285,0.428571,0,0.047619,0.045077,0.7,0.025907,0.008242,false
0.012285,0.285714,0,0.161905,0.042705,0.7,0.005181,0.010827,false
0.058968,0.142857,0,0.152381,0.042705,0.92,0.11399,0.01713,true
0.004914,0.285714,0,0.12381,0.039146,0,0.005181,0.004686,false
0.007371,0.857143,0,0.047619,0.767497,0.33,0.015544,0.016807,true
0.009828,0.428571,0,0.028571,0.02847,0.75,0.020725,0.003555,false
0.009828,0.285714,0,0.085714,0.087782,0.41,0.020725,0.014059,true
0.012285,1,0,0.133333,0.944247,0.66,0.020725,0.02117,false
0.039312,0.142857,0,0.266667,0.033215,0.72,0.046632,0.06044,true
0.02457,0.428571,0,0.171429,0.051008,0.35,0.051813,0.044602,true
0.009828,0.142857,0,0.009524,0.01898,0,0.015544,0.002424,false
0.012285,0.857143,0,0.180952,0.76987,0.7,0.015544,0.013736,false
0.009828,0.857143,0,0.180952,0.768683,0.5,0.005181,0.026988,true
0.009828,0.428571,0,0.047619,0.048636,0.91,0.015544,0.005495,false
0.027027,0.142857,0.057143,0.047619,0.027284,0.72,0.041451,0.019554,true
0.002457,0.428571,0,0.009524,0.024911,0,0.005181,0.000646,false
0.004914,0.857143,0,0.038095,0.882562,0,0.005181,0.007111,true
0.007371,0.285714,0,0.057143,0.040332,0,0.010363,0.005171,false
0.004914,0.142857,0.028571,0.019048,0.002372,0,0,0.000323,false
0.022113,0.857143,0,0.2,0.781732,0.84,0.041451,0.029897,true
0.029484,0.142857,0,0.247619,0.02847,0.75,0.041451,0.102295,true
0.002457,0.428571,0,0.009524,0.024911,0,0.005181,0.000646,false
0.02457,0.142857,0,0.133333,0.026097,0.78,0.031088,0.03426,true
0.127764,0.142857,0.028571,0.304762,0.075919,0.93,0.196891,0.099224,true
0.002457,0.142857,0,0.114286,0.015421,0,0.005181,0.011312,true
0.004914,0.285714,0,0.07619,0.039146,0.56,0.005181,0.010343,false
0.002457,0.714286,0,0.142857,0.753262,0,0.005181,0.008242,true
0.007371,0.857143,0,0.247619,0.747331,0.46,0.005181,0.074661,true
0.002457,0.571429,0,0.009524,0.062871,0,0.005181,0,false
0.002457,0.428571,0,0.009524,0.024911,0,0.005181,0.000646,false
0.007371,0.285714,0,0.019048,0.024911,0,0.015544,0.002586,false
0.009828,0.857143,0,0.190476,0.768683,0.56,0.005181,0.014544,false
0.027027,0.142857,0,0.038095,0.027284,0.72,0.056995,0.007595,false
