@relation jEdit:Metrics/4-2-final/:BugCount/4-2-final_4-3-pre12/-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute WMC numeric
@attribute DIT numeric
@attribute NOC numeric
@attribute CBO numeric
@attribute RFC numeric
@attribute LCOM numeric
@attribute NPM numeric
@attribute LOC numeric
@attribute Bug-count {true,false}

@data
0.022792,0.125,0,0.176,0.023202,0.12,0.03271,0.03105,true
0.017094,0.75,0,0.152,0.761021,0.66,0.018692,0.019759,false
0.002849,0.25,0,0.008,0.023202,0,0.004673,0.000753,false
0.034188,0.375,0.052632,0.032,0.056845,0.63,0.042056,0.015807,true
0.088319,0.125,0,0.064,0.049884,0.8,0.116822,0.083365,true
0.011396,0.125,0.026316,0.04,0.018561,0.92,0.018692,0.013925,false
0.051282,0.125,1,0.088,0.034803,0.88,0.084112,0.019195,true
0.005698,0,0.052632,0,0.00232,0,0.009346,0.000376,true
0.054131,0.125,0.026316,0.136,0.035963,0.77,0.079439,0.037825,true
0.017094,0.75,0,0.128,0.759861,0.4,0.004673,0.061912,false
0.062678,0.125,0,0.344,0.039443,0.89,0.028037,0.129846,true
0.031339,0.5,0,0.04,0.069606,0.72,0.046729,0.027286,true
0.08547,0.25,0,0.032,0.059165,0.89,0.009346,0.146218,true
0.025641,0.75,0,0.2,0.737819,0.81,0.03271,0.042341,true
0.008547,0.625,0,0.224,0.738979,0.53,0.004673,0.101242,true
0.005698,0.125,0,0.144,0.016241,0,0.009346,0.015619,true
0.008547,0.75,0,0.056,0.756381,0.33,0.004673,0.011103,false
0.034188,0.25,0,0.104,0.042923,0.8,0.037383,0.038389,false
0.019943,0.125,0,0.032,0.022042,0.78,0.014019,0.011667,true
0.017094,0,0.026316,0.016,0.006961,0,0.028037,0.000941,true
0.002849,0.25,0,0.008,0.023202,0,0.004673,0.000753,false
0.008547,0.625,0,0.2,0.738979,0.5,0.009346,0.094467,true
0.02849,0.125,0,0.024,0.025522,0.19,0.03271,0.021453,false
0.031339,0.25,0,0.136,0.034803,0.76,0.051402,0.037072,true
0.091168,0.125,0.026316,0.248,0.051044,0.91,0.088785,0.05589,true
0.005698,0.25,0,0.016,0.029002,0,0.009346,0.008656,false
0.008547,0.25,0,0.04,0.026682,0.16,0,0.007527,false
0.039886,0.25,0,0.144,0.052204,0.64,0.060748,0.053632,true
0.05698,0.625,0,0.288,0.758701,0.77,0.070093,0.0828,true
0.008547,0.75,0,0.04,0.756381,0.33,0.014019,0.01863,false
0.042735,0.625,0.605263,0.088,0.7529,0.75,0.060748,0.025405,false
