@relation JM1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute loc numeric
@attribute v(g) numeric
@attribute ev(g) numeric
@attribute iv(g) numeric
@attribute n numeric
@attribute v numeric
@attribute l numeric
@attribute d numeric
@attribute i numeric
@attribute e numeric
@attribute b numeric
@attribute t numeric
@attribute lOCode numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute locCodeAndComment numeric
@attribute uniq_Op numeric
@attribute uniq_Opnd numeric
@attribute total_Op numeric
@attribute total_Opnd numeric
@attribute branchCount numeric
@attribute defects {false,true}

@data
0.002325,0,0,0,0.002725,0.001112,0.176923,0.010473,0.036049,0.000013,0.001113,0.000013,0.001771,0.002907,0.002237,0,0.017032,0.007797,0.002399,0.00331,0,false
0.002616,0.002132,0,0,0.004265,0.001956,0.115385,0.016308,0.0407,0.000035,0.001855,0.000035,0.002125,0,0.002237,0,0.024331,0.010721,0.003875,0.004965,0.002424,false
0.022377,0,0,0,0.027603,0.01592,0.030769,0.054209,0.099652,0.000939,0.015955,0.000939,0.016289,0.034884,0.022371,0,0.038929,0.02924,0.027306,0.028136,0,false
0.000872,0,0,0,0.001185,0.000392,0.307692,0.005978,0.022254,0.000003,0.000371,0.000003,0.000708,0,0,0,0.012165,0.003899,0.001107,0.001324,0,false
0.01424,0.021322,0.054878,0.002494,0.028196,0.0151,0.015385,0.122095,0.041964,0.002006,0.015213,0.002006,0.014164,0.011628,0.006711,0,0.046229,0.015595,0.028044,0.028467,0.024242,true
0.002616,0.002132,0,0.002494,0.003199,0.001393,0.115385,0.016428,0.02873,0.000025,0.001484,0.000025,0.002125,0.002907,0,0.009259,0.024331,0.007797,0.002952,0.003641,0.002424,true
0.012206,0.014925,0.02439,0.007481,0.015756,0.008505,0.030769,0.054567,0.052898,0.000505,0.008534,0.000505,0.010269,0.023256,0.008949,0,0.041363,0.018519,0.015129,0.016882,0.01697,false
0.001162,0.002132,0,0,0.001777,0.000687,0.223077,0.008369,0.027835,0.000006,0.000742,0.000006,0.001062,0,0,0,0.017032,0.005848,0.001661,0.001986,0.002424,false
0.008137,0.010661,0,0,0.008767,0.004021,0.023077,0.069345,0.019674,0.000303,0.004082,0.000303,0.008499,0,0.004474,0.009259,0.034063,0.006823,0.008303,0.009599,0.012121,false
0.023249,0.017058,0.02439,0.007481,0.023457,0.014286,0.023077,0.073792,0.065692,0.001147,0.0141,0.001147,0.016997,0.040698,0.035794,0.009259,0.060827,0.031189,0.021956,0.02615,0.019394,true
