@relation kc1-class-level-defectiveornot-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute PERCENT_PUB_DATA numeric
@attribute ACCESS_TO_PUB_DATA numeric
@attribute COUPLING_BETWEEN_OBJECTS numeric
@attribute DEPTH numeric
@attribute LACK_OF_COHESION_OF_METHODS numeric
@attribute NUM_OF_CHILDREN numeric
@attribute DEP_ON_CHILD numeric
@attribute FAN_IN numeric
@attribute RESPONSE_FOR_CLASS numeric
@attribute WEIGHTED_METHODS_PER_CLASS numeric
@attribute minLOC_BLANK numeric
@attribute minBRANCH_COUNT numeric
@attribute minLOC_CODE_AND_COMMENT numeric
@attribute minLOC_COMMENTS numeric
@attribute minCYCLOMATIC_COMPLEXITY numeric
@attribute minDESIGN_COMPLEXITY numeric
@attribute minESSENTIAL_COMPLEXITY numeric
@attribute minLOC_EXECUTABLE numeric
@attribute minHALSTEAD_CONTENT numeric
@attribute minHALSTEAD_DIFFICULTY numeric
@attribute minHALSTEAD_EFFORT numeric
@attribute minHALSTEAD_ERROR_EST numeric
@attribute minHALSTEAD_LENGTH numeric
@attribute minHALSTEAD_LEVEL numeric
@attribute minHALSTEAD_PROG_TIME numeric
@attribute minHALSTEAD_VOLUME numeric
@attribute minNUM_OPERANDS numeric
@attribute minNUM_OPERATORS numeric
@attribute minNUM_UNIQUE_OPERANDS numeric
@attribute minNUM_UNIQUE_OPERATORS numeric
@attribute minLOC_TOTAL numeric
@attribute maxLOC_BLANK numeric
@attribute maxBRANCH_COUNT numeric
@attribute maxLOC_CODE_AND_COMMENT numeric
@attribute maxLOC_COMMENTS numeric
@attribute maxCYCLOMATIC_COMPLEXITY numeric
@attribute maxDESIGN_COMPLEXITY numeric
@attribute maxESSENTIAL_COMPLEXITY numeric
@attribute maxLOC_EXECUTABLE numeric
@attribute maxHALSTEAD_CONTENT numeric
@attribute maxHALSTEAD_DIFFICULTY numeric
@attribute maxHALSTEAD_EFFORT numeric
@attribute maxHALSTEAD_ERROR_EST numeric
@attribute maxHALSTEAD_LENGTH numeric
@attribute maxHALSTEAD_LEVEL numeric
@attribute maxHALSTEAD_PROG_TIME numeric
@attribute maxHALSTEAD_VOLUME numeric
@attribute maxNUM_OPERANDS numeric
@attribute maxNUM_OPERATORS numeric
@attribute maxNUM_UNIQUE_OPERANDS numeric
@attribute maxNUM_UNIQUE_OPERATORS numeric
@attribute maxLOC_TOTAL numeric
@attribute avgLOC_BLANK numeric
@attribute avgBRANCH_COUNT numeric
@attribute avgLOC_CODE_AND_COMMENT numeric
@attribute avgLOC_COMMENTS numeric
@attribute avgCYCLOMATIC_COMPLEXITY numeric
@attribute avgDESIGN_COMPLEXITY numeric
@attribute avgESSENTIAL_COMPLEXITY numeric
@attribute avgLOC_EXECUTABLE numeric
@attribute avgHALSTEAD_CONTENT numeric
@attribute avgHALSTEAD_DIFFICULTY numeric
@attribute avgHALSTEAD_EFFORT numeric
@attribute avgHALSTEAD_ERROR_EST numeric
@attribute avgHALSTEAD_LENGTH numeric
@attribute avgHALSTEAD_LEVEL numeric
@attribute avgHALSTEAD_PROG_TIME numeric
@attribute avgHALSTEAD_VOLUME numeric
@attribute avgNUM_OPERANDS numeric
@attribute avgNUM_OPERATORS numeric
@attribute avgNUM_UNIQUE_OPERANDS numeric
@attribute avgNUM_UNIQUE_OPERATORS numeric
@attribute avgLOC_TOTAL numeric
@attribute sumLOC_BLANK numeric
@attribute sumBRANCH_COUNT numeric
@attribute sumLOC_CODE_AND_COMMENT numeric
@attribute sumLOC_COMMENTS numeric
@attribute sumCYCLOMATIC_COMPLEXITY numeric
@attribute sumDESIGN_COMPLEXITY numeric
@attribute sumESSENTIAL_COMPLEXITY numeric
@attribute sumLOC_EXECUTABLE numeric
@attribute sumHALSTEAD_CONTENT numeric
@attribute sumHALSTEAD_DIFFICULTY numeric
@attribute sumHALSTEAD_EFFORT numeric
@attribute sumHALSTEAD_ERROR_EST numeric
@attribute sumHALSTEAD_LENGTH numeric
@attribute sumHALSTEAD_LEVEL numeric
@attribute sumHALSTEAD_PROG_TIME numeric
@attribute sumHALSTEAD_VOLUME numeric
@attribute sumNUM_OPERANDS numeric
@attribute sumNUM_OPERATORS numeric
@attribute sumNUM_UNIQUE_OPERANDS numeric
@attribute sumNUM_UNIQUE_OPERATORS numeric
@attribute sumLOC_TOTAL numeric
@attribute DL {_TRUE,FALSE}

@data
0.19,0,0.416667,0.166667,0.96,0,0,0.333333,0.378378,0.5,0,0,0,0,0,0,0,0,0.318698,0.6,0.157729,0,0.4,0.074627,0.158392,0.252366,0.166667,0.5,0.2,0.6,0.111111,0.086207,0.113636,0,0.068182,0.113636,0.090909,0.08,0.122137,0.288563,0.397581,0.041483,0.079545,0.11302,0.335,0.041483,0.079627,0.135514,0.110619,0.216667,0.540541,0.118467,0.034684,0.056799,0,0.011024,0.057701,0.031169,0.022094,0.07392,0.236424,0.219518,0.026551,0.069838,0.105509,0.403423,0.026551,0.074038,0.10558,0.105465,0.15534,0.391145,0.080046,0.04902,0.111962,0,0.027559,0.150613,0.164216,0.180233,0.10722,0.25656,0.145628,0.024298,0.068982,0.097565,0.640418,0.024298,0.072637,0.094841,0.099361,0.153846,0.250181,0.139139,_TRUE
0,0,0,0,1,0,0,0,0.045045,0.1,0,0,0,0,0,0,0,0,0.359576,0.4,0.062434,0,0.3,1,0.061466,0.149842,0.166667,0.333333,0.2,0.4,0,0,0,0,0,0,0,0,0,0.087227,0.027907,0.000117,0.003788,0.008137,0.5,0.000117,0.003191,0.009346,0.007375,0.033333,0.081081,0.010453,0,0,0,0,0,0,0,0,0.130907,0.067773,0.000435,0.005298,0.02449,0.854707,0.000435,0.009001,0.022069,0.026012,0.048821,0.161658,0.017762,0,0.003828,0,0,0.007005,0.009804,0.011628,0,0.012914,0.004087,0.000036,0.000476,0.002059,0.123347,0.000036,0.000803,0.001802,0.002228,0.004396,0.0094,0.003817,FALSE
0,0,0.5,0.333333,0.67,0,0,0.333333,0.148649,0.14,0,0,0,0,0,0,0,0,0.359576,0.4,0.062434,0,0.3,0.074627,0.061466,0.149842,0.166667,0.333333,0.2,0.4,0,0.137931,0.193182,0.083333,0.136364,0.204545,0.204545,0.28,0.232824,0.280327,0.408372,0.068686,0.128788,0.164557,0.5,0.068686,0.12836,0.156542,0.169617,0.241667,0.513514,0.243902,0.163511,0.226682,0.037267,0.111361,0.233766,0.291994,0.249548,0.307963,0.364746,0.438328,0.137947,0.240302,0.292052,0.30373,0.137947,0.242518,0.274877,0.302849,0.292055,0.53738,0.296342,0.058824,0.073684,0.017544,0.070866,0.08056,0.107843,0.104651,0.113705,0.100752,0.074018,0.032134,0.060419,0.068743,0.122731,0.032134,0.060564,0.062852,0.072627,0.073626,0.087491,0.117974,FALSE
1,0,0.125,0,1,0.2,0,0,0.144144,0.32,0,0,0,0,0,0,0,0,0.359576,0.4,0.062434,0,0.3,0.746269,0.061466,0.149842,0.166667,0.333333,0.2,0.4,0.111111,0,0,0,0,0,0,0,0,0.058168,0.037209,0.000138,0.003788,0.007233,0.5,0.000139,0.002836,0.007009,0.007375,0.025,0.108108,0.010453,0,0,0,0,0,0,0,0,0.104146,0.0782,0.000434,0.001473,0.022774,0.732979,0.000435,0.008017,0.016858,0.026493,0.037294,0.186529,0.018326,0,0.016268,0,0,0.029772,0.041667,0.049419,0,0.036987,0.016978,0.00013,0.000476,0.006892,0.380806,0.00013,0.002574,0.004956,0.008169,0.012088,0.039046,0.01492,FALSE
0,0,0.291667,0,0.75,0,0,0,0.027027,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12069,0.113636,0,0,0.113636,0.113636,0,0.171756,0.239925,0.294512,0.035729,0.090909,0.119349,0.335,0.035729,0.092591,0.119159,0.119469,0.241667,0.486486,0.184669,0.15261,0.132231,0,0,0.132231,0.175824,0,0.196721,0.30374,0.308454,0.06791,0.154525,0.183673,0.222025,0.067911,0.152154,0.188506,0.180636,0.264448,0.466321,0.188197,0.023529,0.020096,0,0,0.022767,0.031863,0.014535,0.031128,0.035957,0.022323,0.00678,0.016651,0.018528,0.03845,0.00678,0.016285,0.018473,0.018565,0.028571,0.032538,0.032616,FALSE
0,0,0.208333,0,0.25,0,0,0,0.040541,0.09,0,0,0,0,0,0,0,0.25,0,0,0,0,0.1,0,0,0,0,0.166667,0,0.2,0.222222,0.051724,0.045455,0,0,0.045455,0.045455,0,0.076336,0.401689,0.174884,0.017947,0.079545,0.103978,1,0.017947,0.07831,0.109813,0.100295,0.25,0.324324,0.108014,0.025435,0.022039,0,0,0.022039,0.029304,0,0.196721,0.85412,0.268312,0.064435,0.27373,0.334221,0.367081,0.064435,0.274175,0.35249,0.322736,0.522114,0.435233,0.211457,0.005882,0.011483,0,0,0.017513,0.02451,0.023256,0.046693,0.151669,0.029127,0.009649,0.044244,0.050573,0.095355,0.009649,0.044016,0.051813,0.049755,0.084615,0.045553,0.054823,_TRUE
0,0,0,0,1,0.2,0,0,0.441441,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.166667,0,0.2,0.111111,0,0.022727,0,0,0.022727,0,0,0.007634,0.115664,0.065116,0.000842,0.011364,0.018083,0.335,0.000842,0.009868,0.018692,0.017699,0.066667,0.189189,0.013937,0,0.004959,0,0,0.004959,0,0,0.003279,0.238154,0.130333,0.003475,0.030464,0.059627,0.418295,0.003476,0.033902,0.06069,0.05896,0.134258,0.31399,0.015859,0,0.020096,0,0,0.035026,0.046569,0.055233,0.001729,0.093977,0.031441,0.001156,0.010942,0.02005,0.241464,0.001157,0.012095,0.019824,0.020199,0.048352,0.07303,0.015267,FALSE
1,0,0,0,1,0,0,0,0.018018,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.333333,0,0.2,0,0,0,0.022727,0,0,0.022727,0,0,0.01145,0.053558,0.069767,0.000259,0.003788,0.007233,0.335,0.000259,0.002836,0.007009,0.007375,0.025,0.135135,0.013937,0,0.033058,0,0,0.033058,0,0,0.032787,0.096293,0.091233,0.001091,0.017661,0.028394,0.333925,0.001091,0.01122,0.036782,0.023121,0.061026,0.165803,0.029604,0,0.003828,0,0,0.005254,0.004902,0.005814,0.002594,0.0057,0.003301,0.000054,0.000951,0.001432,0.028914,0.000054,0.0006,0.001802,0.001188,0.003297,0.005785,0.003123,FALSE
0.5,0,0.041667,0.166667,1,0,0,0.333333,0.135135,0.2,0,0,0,0,0,0,0,0,0.469341,0.6,0.228838,0,0.5,0.597015,0.229314,0.366246,0.166667,0.5,0.2,0.6,0.111111,0,0,0,0,0,0,0,0,0.040091,0.046512,0.000119,0.003788,0.005425,0.335,0.000119,0.001959,0.004673,0.007375,0.016667,0.135135,0.003484,0,0,0,0,0,0,0,0,0.127841,0.095577,0.000747,0.008829,0.028394,0.618117,0.000747,0.011444,0.022989,0.031792,0.050855,0.227979,0.012687,0,0.001914,0,0,0.003503,0.004902,0.005814,0,0.007567,0.003459,0.000037,0.000476,0.001432,0.053522,0.000037,0.000612,0.001126,0.001634,0.002747,0.007954,0.001735,FALSE
0,0,0.291667,0,0,0,0,0,0.067568,0.15,0,0,0,0,0,0,0,0.25,0,0,0,0,0.1,0,0,0,0,0.166667,0,0.2,0.222222,0.051724,0.068182,0,0.25,0.068182,0.045455,0.08,0.09542,0.317777,0.201302,0.017514,0.075758,0.100362,0.335,0.017514,0.074598,0.093458,0.10472,0.225,0.378378,0.146341,0.066131,0.066116,0,0.098163,0.066116,0.052747,0.040506,0.115847,0.315805,0.261882,0.028669,0.109491,0.147649,0.20817,0.028669,0.107034,0.133333,0.156647,0.205455,0.451814,0.14802,0.02549,0.032536,0,0.066929,0.042032,0.04902,0.052326,0.045828,0.093464,0.047382,0.007155,0.029496,0.037236,0.090126,0.007155,0.028639,0.032665,0.04025,0.055495,0.078814,0.065579,_TRUE
