@relation kc1-class-level-numericdefect-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute PERCENT_PUB_DATA numeric
@attribute ACCESS_TO_PUB_DATA numeric
@attribute COUPLING_BETWEEN_OBJECTS numeric
@attribute DEPTH numeric
@attribute LACK_OF_COHESION_OF_METHODS numeric
@attribute NUM_OF_CHILDREN numeric
@attribute DEP_ON_CHILD numeric
@attribute FAN_IN numeric
@attribute RESPONSE_FOR_CLASS numeric
@attribute WEIGHTED_METHODS_PER_CLASS numeric
@attribute minLOC_BLANK numeric
@attribute minBRANCH_COUNT numeric
@attribute minLOC_CODE_AND_COMMENT numeric
@attribute minLOC_COMMENTS numeric
@attribute minCYCLOMATIC_COMPLEXITY numeric
@attribute minDESIGN_COMPLEXITY numeric
@attribute minESSENTIAL_COMPLEXITY numeric
@attribute minLOC_EXECUTABLE numeric
@attribute minHALSTEAD_CONTENT numeric
@attribute minHALSTEAD_DIFFICULTY numeric
@attribute minHALSTEAD_EFFORT numeric
@attribute minHALSTEAD_ERROR_EST numeric
@attribute minHALSTEAD_LENGTH numeric
@attribute minHALSTEAD_LEVEL numeric
@attribute minHALSTEAD_PROG_TIME numeric
@attribute minHALSTEAD_VOLUME numeric
@attribute minNUM_OPERANDS numeric
@attribute minNUM_OPERATORS numeric
@attribute minNUM_UNIQUE_OPERANDS numeric
@attribute minNUM_UNIQUE_OPERATORS numeric
@attribute minLOC_TOTAL numeric
@attribute maxLOC_BLANK numeric
@attribute maxBRANCH_COUNT numeric
@attribute maxLOC_CODE_AND_COMMENT numeric
@attribute maxLOC_COMMENTS numeric
@attribute maxCYCLOMATIC_COMPLEXITY numeric
@attribute maxDESIGN_COMPLEXITY numeric
@attribute maxESSENTIAL_COMPLEXITY numeric
@attribute maxLOC_EXECUTABLE numeric
@attribute maxHALSTEAD_CONTENT numeric
@attribute maxHALSTEAD_DIFFICULTY numeric
@attribute maxHALSTEAD_EFFORT numeric
@attribute maxHALSTEAD_ERROR_EST numeric
@attribute maxHALSTEAD_LENGTH numeric
@attribute maxHALSTEAD_LEVEL numeric
@attribute maxHALSTEAD_PROG_TIME numeric
@attribute maxHALSTEAD_VOLUME numeric
@attribute maxNUM_OPERANDS numeric
@attribute maxNUM_OPERATORS numeric
@attribute maxNUM_UNIQUE_OPERANDS numeric
@attribute maxNUM_UNIQUE_OPERATORS numeric
@attribute maxLOC_TOTAL numeric
@attribute avgLOC_BLANK numeric
@attribute avgBRANCH_COUNT numeric
@attribute avgLOC_CODE_AND_COMMENT numeric
@attribute avgLOC_COMMENTS numeric
@attribute avgCYCLOMATIC_COMPLEXITY numeric
@attribute avgDESIGN_COMPLEXITY numeric
@attribute avgESSENTIAL_COMPLEXITY numeric
@attribute avgLOC_EXECUTABLE numeric
@attribute avgHALSTEAD_CONTENT numeric
@attribute avgHALSTEAD_DIFFICULTY numeric
@attribute avgHALSTEAD_EFFORT numeric
@attribute avgHALSTEAD_ERROR_EST numeric
@attribute avgHALSTEAD_LENGTH numeric
@attribute avgHALSTEAD_LEVEL numeric
@attribute avgHALSTEAD_PROG_TIME numeric
@attribute avgHALSTEAD_VOLUME numeric
@attribute avgNUM_OPERANDS numeric
@attribute avgNUM_OPERATORS numeric
@attribute avgNUM_UNIQUE_OPERANDS numeric
@attribute avgNUM_UNIQUE_OPERATORS numeric
@attribute avgLOC_TOTAL numeric
@attribute sumLOC_BLANK numeric
@attribute sumBRANCH_COUNT numeric
@attribute sumLOC_CODE_AND_COMMENT numeric
@attribute sumLOC_COMMENTS numeric
@attribute sumCYCLOMATIC_COMPLEXITY numeric
@attribute sumDESIGN_COMPLEXITY numeric
@attribute sumESSENTIAL_COMPLEXITY numeric
@attribute sumLOC_EXECUTABLE numeric
@attribute sumHALSTEAD_CONTENT numeric
@attribute sumHALSTEAD_DIFFICULTY numeric
@attribute sumHALSTEAD_EFFORT numeric
@attribute sumHALSTEAD_ERROR_EST numeric
@attribute sumHALSTEAD_LENGTH numeric
@attribute sumHALSTEAD_LEVEL numeric
@attribute sumHALSTEAD_PROG_TIME numeric
@attribute sumHALSTEAD_VOLUME numeric
@attribute sumNUM_OPERANDS numeric
@attribute sumNUM_OPERATORS numeric
@attribute sumNUM_UNIQUE_OPERANDS numeric
@attribute sumNUM_UNIQUE_OPERATORS numeric
@attribute sumLOC_TOTAL numeric
@attribute NUMDEFECTS numeric

@data
0,0,0.333333,0.166667,0.72,0,0,0.333333,0.162162,0.11,0,0,0,0,0,0,0,0,0.403482,0.4,0.105152,0,0.4,0.208955,0.104019,0.252366,0.166667,0.333333,0.2,0.4,0.111111,0.086207,0.045455,0,0.113636,0.045455,0.045455,0,0.049618,0.177613,0.133953,0.002625,0.018939,0.033454,0.5,0.002625,0.019484,0.042056,0.033923,0.1,0.216216,0.090592,0.110989,0.027047,0,0.070866,0.027047,0.035964,0,0.09687,0.296069,0.172181,0.0082,0.05298,0.091474,0.429194,0.0082,0.054697,0.082759,0.096952,0.144244,0.327838,0.129181,0.031373,0.015311,0,0.035433,0.022767,0.031863,0.02907,0.028102,0.064257,0.022845,0.001501,0.010466,0.016917,0.136266,0.001501,0.010732,0.014868,0.018268,0.028571,0.041938,0.042332,13
0.11,0,0.041667,0.333333,1,0.2,0,0.333333,0.171171,0.32,0,0,0,0,0,0,0,0,0.274035,0.4,0.105152,0,0.4,0.208955,0.104019,0.252366,0.166667,0.333333,0.2,0.4,0.111111,0,0.045455,0,0,0.045455,0.022727,0,0.003817,0.074588,0.130233,0.00106,0.007576,0.014467,0.5,0.00106,0.007244,0.009346,0.017699,0.033333,0.243243,0.017422,0,0.044077,0,0,0.044077,0.03663,0,0.005464,0.138386,0.159296,0.002753,0.017661,0.041112,0.505624,0.002753,0.020031,0.03295,0.046243,0.064417,0.29361,0.02467,0,0.031579,0,0,0.043783,0.053922,0.049419,0.002594,0.049147,0.034585,0.000825,0.005709,0.012442,0.262688,0.000825,0.006431,0.009687,0.014258,0.020879,0.061461,0.018043,0
0,0,0.583333,0.333333,0.81,0,0,0.333333,0.207207,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.166667,0,0.2,0.111111,0.103448,0.159091,0.083333,0.068182,0.159091,0.159091,0.08,0.171756,0.222211,0.503442,0.053815,0.083333,0.112116,0.5,0.053815,0.081574,0.107477,0.115044,0.158333,0.540541,0.195122,0.137349,0.173554,0.052174,0.043307,0.178512,0.224176,0.060759,0.240984,0.318547,0.40106,0.099901,0.180132,0.228926,0.32611,0.099901,0.182661,0.21931,0.234971,0.259362,0.52228,0.241061,0.035294,0.042105,0.017544,0.019685,0.047285,0.063725,0.037791,0.063554,0.06285,0.048375,0.016623,0.03235,0.038489,0.094125,0.016623,0.032583,0.035819,0.04025,0.046703,0.060738,0.069049,0
0,0,0.666667,0.166667,0.87,0,0,0.333333,0.18018,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.166667,0,0.2,0,0.155172,0.272727,0,0.181818,0.272727,0.25,0.2,0.328244,0.368124,0.434047,0.075589,0.159091,0.19349,0.335,0.075589,0.159629,0.193925,0.193215,0.35,0.594595,0.348432,0.133534,0.264463,0,0.093832,0.264463,0.318681,0.164557,0.311475,0.380235,0.415066,0.173453,0.280352,0.316327,0.354352,0.173454,0.283809,0.3,0.32659,0.343273,0.554404,0.285467,0.041176,0.07177,0,0.051181,0.075306,0.098039,0.069767,0.098573,0.090026,0.060077,0.034633,0.060419,0.06382,0.122731,0.034633,0.06075,0.058797,0.067132,0.074176,0.077368,0.097502,8
1,0,0.791667,0,0.9,0,0,0,0.157658,0.35,0,0,0,0,0,0,0,0,0.359576,0.4,0.062434,0,0.3,0.089552,0.061466,0.149842,0.166667,0.333333,0.2,0.4,0,0.206897,0.136364,0,0.227273,0.136364,0.136364,0.08,0.183206,0.379053,0.287814,0.053952,0.143939,0.176311,0.5,0.053952,0.143005,0.165888,0.182891,0.325,0.459459,0.247387,0.074125,0.073672,0,0.049494,0.076505,0.094192,0.01736,0.126464,0.325049,0.218095,0.042636,0.114286,0.152263,0.479574,0.042637,0.117542,0.148177,0.154831,0.21272,0.367728,0.137387,0.066667,0.082297,0,0.07874,0.10683,0.144608,0.110465,0.116732,0.224467,0.092072,0.02483,0.071836,0.089599,0.484466,0.02483,0.073384,0.084704,0.092826,0.134066,0.149675,0.143303,14
0,0,0.125,0.166667,0.9,0,0,0.333333,0.04955,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.413793,0.590909,0,0.136364,0.590909,0.386364,0.84,0.431298,0.310784,0.868279,0.402271,0.352273,0.396022,1,0.402271,0.353568,0.392523,0.39823,0.45,0.810811,0.519164,0.228916,0.322314,0,0.064961,0.322314,0.28022,0.398734,0.245902,0.230038,0.336715,0.497482,0.307947,0.308119,0.536856,0.497482,0.315694,0.312069,0.305636,0.251734,0.326425,0.260092,0.047059,0.056459,0,0.023622,0.057793,0.058824,0.081395,0.051881,0.03631,0.032491,0.066221,0.044244,0.041443,0.123962,0.066221,0.04505,0.040775,0.041883,0.036264,0.030369,0.059334,4
0,0,0.5,0.166667,0.83,0,0,0.333333,0.234234,0.39,0,0,0,0,0,0,0,0,0.403482,0.44,0.157729,0,0.4,0.059701,0.158392,0.252366,0.166667,0.5,0.2,0.4,0.111111,0.206897,0.159091,0.083333,0.477273,0.159091,0.159091,0.12,0.28626,0.404382,0.441674,0.076307,0.147727,0.191682,0.455,0.076307,0.149518,0.212617,0.178466,0.3,0.459459,0.317073,0.14389,0.215348,0.014907,0.111361,0.215348,0.252433,0.073779,0.409836,0.55867,0.45116,0.14292,0.306527,0.367955,0.264907,0.142921,0.308364,0.388177,0.355244,0.435903,0.575574,0.398748,0.129412,0.17799,0.017544,0.177165,0.192644,0.247549,0.148256,0.378297,0.385796,0.190463,0.083232,0.192674,0.216523,0.26761,0.083232,0.192518,0.221897,0.212981,0.274725,0.234273,0.393477,24
0.5,0,0.666667,0.166667,0.81,0,0,0.333333,0.126126,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.166667,0,0.2,0.111111,0.206897,0.431818,0.5,0.454545,0.431818,0.25,0.24,0.347328,0.486481,0.426977,0.152312,0.272727,0.307414,0.335,0.152312,0.272206,0.327103,0.294985,0.508333,0.540541,0.452962,0.213655,0.327273,0.391304,0.220866,0.342149,0.237363,0.098734,0.347541,0.519162,0.436067,0.226408,0.369536,0.399823,0.223801,0.226408,0.370614,0.429655,0.381069,0.460749,0.581347,0.359054,0.109804,0.144498,0.263158,0.200787,0.154116,0.134804,0.093023,0.183312,0.204865,0.105195,0.075344,0.132731,0.134443,0.129191,0.075344,0.132218,0.140347,0.130551,0.165934,0.135213,0.202984,4
0.05,0,0.708333,0.166667,0.9,0,0,0.333333,0.310811,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258621,0.386364,0.083333,0.090909,0.386364,0.386364,0.4,0.270992,0.42391,0.555535,0.137798,0.189394,0.232369,0.335,0.137798,0.189302,0.221963,0.238938,0.291667,0.594595,0.320557,0.084784,0.126722,0.014493,0.021654,0.132231,0.168498,0.084388,0.177596,0.364181,0.271425,0.087136,0.169242,0.208814,0.445826,0.087137,0.17312,0.195019,0.217486,0.245801,0.39551,0.164937,0.078431,0.121531,0.017544,0.035433,0.145359,0.198529,0.159884,0.168612,0.258675,0.11786,0.052195,0.10942,0.126387,0.463242,0.052196,0.111171,0.114665,0.134116,0.159341,0.165582,0.174532,6
0,0,0,0,0,0.4,0,0,0.040541,0.09,0,0,0,0,0,0,0,0,0.359576,0.4,0.062434,0,0.3,1,0.061466,0.149842,0.166667,0.333333,0.2,0.4,0.111111,0,0,0,0,0,0,0,0,0.027608,0.027907,0.000037,0,0.003617,0.5,0.000037,0.00101,0.002336,0.004425,0.008333,0.081081,0.003484,0,0,0,0,0,0,0,0,0.089158,0.065166,0.000255,0,0.018634,0.889876,0.000255,0.005651,0.013793,0.021676,0.030513,0.15544,0.012687,0,0.000957,0,0,0.001751,0.002451,0.002907,0,0.003518,0.001572,0.000008,0,0.000627,0.051369,0.000008,0.000202,0.000451,0.000743,0.001099,0.003615,0.001041,0
