@relation kc1-class-level-top5percentDF-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute PERCENT_PUB_DATA numeric
@attribute ACCESS_TO_PUB_DATA numeric
@attribute COUPLING_BETWEEN_OBJECTS numeric
@attribute DEPTH numeric
@attribute LACK_OF_COHESION_OF_METHODS numeric
@attribute NUM_OF_CHILDREN numeric
@attribute DEP_ON_CHILD numeric
@attribute FAN_IN numeric
@attribute RESPONSE_FOR_CLASS numeric
@attribute WEIGHTED_METHODS_PER_CLASS numeric
@attribute minLOC_BLANK numeric
@attribute minBRANCH_COUNT numeric
@attribute minLOC_CODE_AND_COMMENT numeric
@attribute minLOC_COMMENTS numeric
@attribute minCYCLOMATIC_COMPLEXITY numeric
@attribute minDESIGN_COMPLEXITY numeric
@attribute minESSENTIAL_COMPLEXITY numeric
@attribute minLOC_EXECUTABLE numeric
@attribute minHALSTEAD_CONTENT numeric
@attribute minHALSTEAD_DIFFICULTY numeric
@attribute minHALSTEAD_EFFORT numeric
@attribute minHALSTEAD_ERROR_EST numeric
@attribute minHALSTEAD_LENGTH numeric
@attribute minHALSTEAD_LEVEL numeric
@attribute minHALSTEAD_PROG_TIME numeric
@attribute minHALSTEAD_VOLUME numeric
@attribute minNUM_OPERANDS numeric
@attribute minNUM_OPERATORS numeric
@attribute minNUM_UNIQUE_OPERANDS numeric
@attribute minNUM_UNIQUE_OPERATORS numeric
@attribute minLOC_TOTAL numeric
@attribute maxLOC_BLANK numeric
@attribute maxBRANCH_COUNT numeric
@attribute maxLOC_CODE_AND_COMMENT numeric
@attribute maxLOC_COMMENTS numeric
@attribute maxCYCLOMATIC_COMPLEXITY numeric
@attribute maxDESIGN_COMPLEXITY numeric
@attribute maxESSENTIAL_COMPLEXITY numeric
@attribute maxLOC_EXECUTABLE numeric
@attribute maxHALSTEAD_CONTENT numeric
@attribute maxHALSTEAD_DIFFICULTY numeric
@attribute maxHALSTEAD_EFFORT numeric
@attribute maxHALSTEAD_ERROR_EST numeric
@attribute maxHALSTEAD_LENGTH numeric
@attribute maxHALSTEAD_LEVEL numeric
@attribute maxHALSTEAD_PROG_TIME numeric
@attribute maxHALSTEAD_VOLUME numeric
@attribute maxNUM_OPERANDS numeric
@attribute maxNUM_OPERATORS numeric
@attribute maxNUM_UNIQUE_OPERANDS numeric
@attribute maxNUM_UNIQUE_OPERATORS numeric
@attribute maxLOC_TOTAL numeric
@attribute avgLOC_BLANK numeric
@attribute avgBRANCH_COUNT numeric
@attribute avgLOC_CODE_AND_COMMENT numeric
@attribute avgLOC_COMMENTS numeric
@attribute avgCYCLOMATIC_COMPLEXITY numeric
@attribute avgDESIGN_COMPLEXITY numeric
@attribute avgESSENTIAL_COMPLEXITY numeric
@attribute avgLOC_EXECUTABLE numeric
@attribute avgHALSTEAD_CONTENT numeric
@attribute avgHALSTEAD_DIFFICULTY numeric
@attribute avgHALSTEAD_EFFORT numeric
@attribute avgHALSTEAD_ERROR_EST numeric
@attribute avgHALSTEAD_LENGTH numeric
@attribute avgHALSTEAD_LEVEL numeric
@attribute avgHALSTEAD_PROG_TIME numeric
@attribute avgHALSTEAD_VOLUME numeric
@attribute avgNUM_OPERANDS numeric
@attribute avgNUM_OPERATORS numeric
@attribute avgNUM_UNIQUE_OPERANDS numeric
@attribute avgNUM_UNIQUE_OPERATORS numeric
@attribute avgLOC_TOTAL numeric
@attribute sumLOC_BLANK numeric
@attribute sumBRANCH_COUNT numeric
@attribute sumLOC_CODE_AND_COMMENT numeric
@attribute sumLOC_COMMENTS numeric
@attribute sumCYCLOMATIC_COMPLEXITY numeric
@attribute sumDESIGN_COMPLEXITY numeric
@attribute sumESSENTIAL_COMPLEXITY numeric
@attribute sumLOC_EXECUTABLE numeric
@attribute sumHALSTEAD_CONTENT numeric
@attribute sumHALSTEAD_DIFFICULTY numeric
@attribute sumHALSTEAD_EFFORT numeric
@attribute sumHALSTEAD_ERROR_EST numeric
@attribute sumHALSTEAD_LENGTH numeric
@attribute sumHALSTEAD_LEVEL numeric
@attribute sumHALSTEAD_PROG_TIME numeric
@attribute sumHALSTEAD_VOLUME numeric
@attribute sumNUM_OPERANDS numeric
@attribute sumNUM_OPERATORS numeric
@attribute sumNUM_UNIQUE_OPERANDS numeric
@attribute sumNUM_UNIQUE_OPERATORS numeric
@attribute sumLOC_TOTAL numeric
@attribute DL {DEF,NODEF}

@data
0,0,0.041667,0.333333,1,0,0,0.333333,0.148649,0.14,0,0,0,0,0,0,0,0,0.359576,0.4,0.062434,0,0.3,1,0.061466,0.149842,0.166667,0.333333,0.2,0.4,0,0,0,0,0,0,0,0,0,0.027608,0.027907,0.000037,0,0.003617,0.5,0.000037,0.00101,0.002336,0.004425,0.008333,0.081081,0.003484,0,0,0,0,0,0,0,0,0.090868,0.069511,0.000292,0,0.019521,0.831261,0.000292,0.006131,0.013793,0.023121,0.030513,0.165803,0.008458,0,0.001914,0,0,0.003503,0.004902,0.005814,0,0.005379,0.002515,0.000015,0,0.000985,0.071978,0.000015,0.000328,0.000676,0.001188,0.001648,0.005785,0.001388,NODEF
0,0,0.083333,0,0,0.4,0,0,0.040541,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.166667,0,0.2,0.111111,0,0,0,0.090909,0,0,0,0.022901,0.078836,0.069767,0.000659,0.007576,0.016275,0.5,0.000659,0.007206,0.014019,0.017699,0.033333,0.135135,0.062718,0,0,0,0.163605,0,0,0,0.058288,0.169393,0.123092,0.003676,0.029433,0.058563,0.357609,0.003677,0.029357,0.049042,0.064547,0.074588,0.221071,0.095861,0,0.007656,0,0.066929,0.014011,0.019608,0.023256,0.013835,0.03008,0.013362,0.00055,0.004757,0.008861,0.092894,0.000551,0.004713,0.007209,0.009951,0.012088,0.023138,0.026371,NODEF
0.67,0,0.541667,0.333333,1,0.6,0,0.333333,0.112613,0.19,0,0,0,0,0,0,0,0,0.403482,0.6,0.157729,0,0.4,0.597015,0.158392,0.252366,0.166667,0.5,0.2,0.6,0.111111,0,0,0,0,0,0,0,0,0.065679,0.046512,0.000244,0.003788,0.009042,0.335,0.000244,0.004003,0.009346,0.00885,0.033333,0.135135,0.020906,0,0,0,0,0,0,0,0,0.137792,0.084716,0.000688,0.002207,0.028394,0.674955,0.000689,0.011509,0.027586,0.028902,0.061026,0.202073,0.029604,0,0.010526,0,0,0.019264,0.026961,0.031977,0,0.032624,0.012262,0.000137,0.000476,0.005729,0.233774,0.000138,0.002464,0.005407,0.005941,0.013187,0.0282,0.013532,NODEF
0.11,0,0.666667,0.333333,0.93,0,0,0.333333,0.171171,0.32,0,0,0,0,0,0,0,0,0.274035,0.4,0.105152,0,0.4,0.059701,0.104019,0.252366,0.166667,0.333333,0.2,0.4,0.111111,0.086207,0.181818,0.083333,0.090909,0.181818,0.113636,0.24,0.133588,0.204755,0.435349,0.025629,0.056818,0.081374,0.5,0.025629,0.056306,0.084112,0.079646,0.15,0.486486,0.163763,0.050075,0.096074,0.032609,0.02436,0.096074,0.103022,0.042722,0.103996,0.257519,0.280997,0.027716,0.081126,0.121284,0.359348,0.027716,0.082296,0.110345,0.128161,0.159241,0.425518,0.117755,0.041176,0.088995,0.035088,0.035433,0.108581,0.137255,0.116279,0.087765,0.16259,0.108459,0.014757,0.046622,0.065252,0.331898,0.014757,0.046975,0.057671,0.070251,0.091758,0.158351,0.11381,NODEF
0,0,0.625,0,0.77,0,0,0,0.054054,0.12,0,0,0,0,0,0,0,0.25,0,0,0,0,0.1,0,0,0,0,0.166667,0,0.2,0.222222,0.275862,0.568182,0.583333,0.363636,0.568182,0.409091,0.6,0.652672,0.333938,0.917581,0.482826,0.401515,0.443942,0.335,0.482826,0.401523,0.453271,0.438053,0.491667,0.810811,0.710801,0.158969,0.289256,0.304348,0.194882,0.289256,0.274725,0.227848,0.372951,0.365243,0.43983,0.453753,0.333332,0.34827,0.358793,0.453753,0.34041,0.345977,0.349711,0.353444,0.564767,0.37005,0.04902,0.077512,0.122807,0.106299,0.08056,0.088235,0.084302,0.118029,0.086476,0.063662,0.0906,0.071836,0.070265,0.124269,0.0906,0.072866,0.067808,0.071885,0.076374,0.078814,0.12526,NODEF
0,0,0.166667,0,0,0,0,0,0.027027,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.166667,0,0.2,0,0.12069,0.068182,0,0.068182,0.068182,0.045455,0.08,0.141221,0.298456,0.300279,0.04446,0.113636,0.137432,0.25,0.04446,0.112916,0.158879,0.123894,0.333333,0.513514,0.188153,0.241633,0.14876,0,0.086614,0.14876,0.131868,0.151899,0.303279,0.51897,0.402468,0.18718,0.370861,0.387755,0.124334,0.18718,0.369364,0.43908,0.355491,0.584836,0.611399,0.329873,0.037255,0.02201,0,0.023622,0.024518,0.026961,0.031977,0.04799,0.061437,0.029127,0.018687,0.039962,0.039116,0.021532,0.018687,0.039532,0.043028,0.036536,0.063187,0.042661,0.055864,NODEF
0,0,0.583333,0.166667,0.86,0,0,0.333333,0.166667,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.166667,0,0.2,0.111111,0.103448,0.090909,0,0.022727,0.090909,0.090909,0.08,0.122137,0.229721,0.301023,0.02535,0.064394,0.090416,0.5,0.02535,0.064246,0.095794,0.087021,0.158333,0.405405,0.163763,0.110219,0.110193,0,0.028871,0.110193,0.14652,0.06751,0.185792,0.309145,0.295015,0.055721,0.138336,0.183969,0.357609,0.055721,0.141838,0.176245,0.188825,0.230544,0.442142,0.191721,0.02549,0.026794,0,0.011811,0.031524,0.044118,0.034884,0.044099,0.054896,0.032026,0.008344,0.02236,0.027837,0.092894,0.008344,0.022771,0.025907,0.02911,0.037363,0.046276,0.049965,NODEF
0,0,0.875,0.5,1,0,0,0.666667,0.306306,0.3,0,0,0,0,0,0,0,0,0.58592,0.6,0.228838,0,0.5,0.044776,0.229314,0.366246,0.333333,0.5,0.4,0.6,0.111111,0.206897,0.386364,0,0.318182,0.386364,0.386364,0.32,0.419847,0.401274,0.53414,0.179356,0.257576,0.299277,0.335,0.179356,0.256199,0.313084,0.29056,0.408333,0.567568,0.456446,0.272519,0.469303,0,0.293869,0.471074,0.569859,0.189873,0.666276,0.711883,0.744237,0.44937,0.636707,0.712067,0.150342,0.449369,0.636823,0.686207,0.728324,0.600456,0.739452,0.625309,0.196078,0.279426,0,0.374016,0.28021,0.362745,0.180233,0.492002,0.39328,0.251352,0.209358,0.320171,0.335213,0.121501,0.209358,0.318065,0.313809,0.349324,0.302747,0.240781,0.488203,NODEF
1,0,0.166667,0,1,0,0,0,0.04955,0.11,0,0,0,0,0,0,0,0,0.403482,0.6,0.157729,0,0.4,0.059701,0.158392,0.252366,0.166667,0.5,0.2,0.6,0,0.172414,0.25,0.083333,0.227273,0.25,0.204545,0.28,0.20229,0.280845,0.435721,0.091584,0.159091,0.194394,0.335,0.091584,0.160375,0.203271,0.188791,0.325,0.567568,0.247387,0.216198,0.330579,0.173913,0.274278,0.264463,0.307692,0.177215,0.295082,0.391689,0.444435,0.170759,0.256072,0.301686,0.268206,0.170759,0.261806,0.317241,0.291908,0.355987,0.569948,0.3193,0.033333,0.043062,0.035088,0.074803,0.036778,0.046569,0.034884,0.046693,0.046369,0.032164,0.017048,0.027593,0.030433,0.046447,0.017048,0.02802,0.031088,0.030001,0.038462,0.039769,0.054129,DEF
0,0,0.416667,0,0.88,0.4,0,0,0.103604,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.166667,0,0.2,0,0.155172,0.136364,0.083333,0.227273,0.136364,0.113636,0.24,0.183206,0.228426,0.361674,0.051314,0.109848,0.142857,0.5,0.051314,0.108267,0.126168,0.153392,0.208333,0.486486,0.222997,0.122752,0.06899,0.022684,0.173228,0.06899,0.080268,0.079251,0.134711,0.263729,0.217372,0.050967,0.107113,0.141661,0.418874,0.050968,0.107497,0.130735,0.14853,0.171139,0.340617,0.161075,0.072549,0.051675,0.017544,0.181102,0.06655,0.088235,0.098837,0.081712,0.11968,0.060304,0.019505,0.044244,0.05478,0.278068,0.019505,0.044102,0.04911,0.058518,0.070879,0.091106,0.108952,NODEF
