@relation KC1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute loc numeric
@attribute v(g) numeric
@attribute ev(g) numeric
@attribute iv(g) numeric
@attribute n numeric
@attribute v numeric
@attribute l numeric
@attribute d numeric
@attribute i numeric
@attribute e numeric
@attribute b numeric
@attribute t numeric
@attribute lOCode numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute locCodeAndComment numeric
@attribute uniq_Op numeric
@attribute uniq_Opnd numeric
@attribute total_Op numeric
@attribute total_Opnd numeric
@attribute branchCount numeric
@attribute defects {false,true}

@data
0.052265,0,0,0,0.030741,0.017904,0.095,0.096744,0.1412,0.00227,0.018939,0.00227,0.038168,0,0.034483,0,0.216216,0.083333,0.030973,0.030374,0,false
0.059233,0.022727,0,0.022727,0.035262,0.020921,0.07,0.134326,0.118823,0.003684,0.022727,0.003684,0.061069,0,0,0,0.27027,0.075,0.038348,0.030374,0.022727,false
0,0,0,0,0.000904,0,0,0,0,0,0,0,0,0,0,0,0.027027,0,0.001475,0,0,false
0.066202,0.022727,0,0.022727,0.041591,0.024675,0.05,0.191814,0.098156,0.006204,0.026515,0.006204,0.061069,0,0.034483,0,0.297297,0.066667,0.045723,0.035047,0.022727,false
0.013937,0,0,0,0.007233,0.003031,0.165,0.055814,0.041438,0.000222,0.003788,0.000222,0.01145,0,0,0,0.162162,0.016667,0.00885,0.004673,0,true
0.003484,0,0,0,0.003617,0.00101,0.335,0.027907,0.027608,0.000037,0,0.000037,0,0,0,0,0.081081,0.008333,0.004425,0.002336,0,false
0.160279,0.090909,0.16,0.068182,0.101266,0.077216,0.03,0.325581,0.18098,0.032945,0.075758,0.032944,0.122137,0.113636,0.103448,0.166667,0.540541,0.2,0.103245,0.098131,0.090909,false
0,0,0,0,0.003617,0.00101,0.335,0.027907,0.027608,0.000037,0,0.000037,0,0,0,0,0.081081,0.008333,0.004425,0.002336,0,false
0.038328,0.022727,0,0.022727,0.028933,0.016518,0.08,0.115721,0.108878,0.002506,0.015152,0.002505,0.026718,0,0,0,0.216216,0.075,0.026549,0.03271,0.022727,false
0,0,0,0,0.003617,0.00101,0.335,0.027907,0.027608,0.000037,0,0.000037,0,0,0,0,0.081081,0.008333,0.004425,0.002336,0,false
