@relation KC2-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute loc numeric
@attribute v(g) numeric
@attribute ev(g) numeric
@attribute iv(g) numeric
@attribute n numeric
@attribute v numeric
@attribute l numeric
@attribute d numeric
@attribute i numeric
@attribute e numeric
@attribute b numeric
@attribute t numeric
@attribute lOCode numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute lOCodeAndComment numeric
@attribute uniq_Op numeric
@attribute uniq_Opnd numeric
@attribute total_Op numeric
@attribute total_Opnd numeric
@attribute branchCount numeric
@attribute problems {no,yes}

@data
0.010989,0.011173,0,0.007042,0.007787,0.00409,0.075,0.062784,0.05127,0.000419,0.004437,0.000326,0.01084,0,0.008264,0,0.195652,0.030769,0.007293,0.008592,0.011111,no
0.021193,0.005587,0,0.007042,0.014569,0.007781,0.05,0.09659,0.063388,0.001225,0.007986,0.000955,0.01626,0,0.049587,0,0.195652,0.036923,0.013776,0.015863,0.005556,no
0.005495,0,0,0,0.003014,0.001277,0.25,0.019318,0.052017,0.00004,0.000887,0.000031,0.001807,0,0,0,0.173913,0.027692,0.007699,0.008592,0,no
0.046311,0.022346,0,0.028169,0.028636,0.017582,0.04,0.128272,0.10784,0.003677,0.017746,0.002867,0.039747,0.068182,0.07438,0,0.26087,0.070769,0.027147,0.031064,0.022222,no
0.063579,0.050279,0.024194,0.028169,0.045215,0.029566,0.025,0.206703,0.112586,0.009961,0.029281,0.007765,0.053297,0.045455,0.157025,0,0.347826,0.089231,0.043355,0.048249,0.05,no
0.022763,0.011173,0,0.014085,0.014067,0.007625,0.045,0.110596,0.054233,0.001375,0.007986,0.001072,0.02168,0,0.024793,0.090909,0.23913,0.033846,0.014182,0.01388,0.011111,no
0.112245,0.072626,0.048387,0.070423,0.080633,0.057968,0.015,0.328504,0.138847,0.031045,0.057675,0.0242,0.095754,0.659091,0.057851,0,0.521739,0.132308,0.082658,0.07733,0.072222,no
0.002355,0,0,0,0.000754,0.000237,0.335,0.014489,0.012842,0.000006,0,0.000004,0.001807,0,0,0,0.043478,0.003077,0.00081,0.000661,0,no
0.000785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043478,0.006154,0.00081,0.001322,0,no
0.003925,0,0,0,0.001005,0.000343,0.335,0.014489,0.018648,0.000008,0,0.000006,0.00271,0,0.008264,0,0.043478,0.006154,0.00081,0.001322,0,no
0.002355,0,0,0,0.000754,0.000237,0.335,0.014489,0.012842,0.000006,0,0.000004,0.001807,0,0,0,0.043478,0.003077,0.00081,0.000661,0,no
0.002355,0,0,0,0.001256,0.000459,0.2,0.024148,0.014938,0.000018,0.000887,0.000014,0.001807,0,0,0,0.086957,0.003077,0.001621,0.000661,0,no
0.002355,0,0,0,0.001005,0.000343,0.335,0.014489,0.018648,0.000008,0,0.000006,0.001807,0,0,0,0.043478,0.006154,0.00081,0.001322,0,no
0.013344,0.022346,0,0.007042,0.013313,0.006902,0.035,0.129817,0.041825,0.001461,0.007098,0.001139,0.01084,0.022727,0.024793,0,0.217391,0.027692,0.012561,0.014541,0.022222,no
0.019623,0.022346,0,0.007042,0.012811,0.006754,0.045,0.111562,0.047632,0.001228,0.007098,0.000958,0.02168,0,0,0,0.217391,0.030769,0.012156,0.01388,0.022222,no
0.005495,0,0,0,0.002261,0.000887,0.15,0.032165,0.021684,0.000047,0.000887,0.000036,0.003613,0,0.008264,0,0.086957,0.009231,0.002026,0.002644,0,no
0.002355,0,0,0,0.000754,0.000237,0.335,0.014489,0.012842,0.000006,0,0.000004,0.001807,0,0,0,0.043478,0.003077,0.00081,0.000661,0,no
0.00157,0,0,0,0.002261,0.000764,0.25,0.019318,0.031128,0.000024,0.000887,0.000019,0.001807,0,0,0,0,0.006154,0,0.003966,0,no
0.080848,0.089385,0.032258,0.070423,0.089174,0.063864,0.02,0.215107,0.233581,0.022399,0.063886,0.017461,0.077687,0.113636,0.090909,0,0.326087,0.156923,0.086305,0.093853,0.088889,yes
0.002355,0,0,0,0.000754,0.000237,0.335,0.014489,0.012842,0.000006,0,0.000004,0.001807,0,0,0,0.043478,0.003077,0.00081,0.000661,0,no
0.008634,0.005587,0,0.007042,0.004773,0.002252,0.06,0.078238,0.022647,0.000287,0.002662,0.000224,0.006323,0,0.024793,0,0.173913,0.015385,0.004052,0.005948,0.005556,no
0.026688,0.022346,0,0.021127,0.019091,0.011487,0.05,0.097363,0.092878,0.001822,0.011535,0.001421,0.0271,0,0.024793,0,0.26087,0.061538,0.018233,0.020489,0.022222,yes
0.463108,0.480447,0.266129,0.422535,0.473499,0.416048,0.01,0.618661,0.529225,0.419579,0.416149,0.327074,0.400181,0.909091,0.760331,0.545455,0.543478,0.461538,0.464344,0.488434,0.477778,yes
0.021193,0.005587,0,0.007042,0.014569,0.007781,0.05,0.09659,0.063388,0.001225,0.007986,0.000955,0.01626,0,0.049587,0,0.195652,0.036923,0.013776,0.015863,0.005556,no
0.05573,0.061453,0.032258,0.035211,0.049987,0.033209,0.02,0.224379,0.116489,0.012145,0.032831,0.009467,0.056911,0,0.049587,0,0.369565,0.095385,0.048217,0.052875,0.061111,yes
0.003925,0,0,0,0.003517,0.001474,0.215,0.022506,0.051462,0.000054,0.001775,0.000042,0.003613,0,0,0,0.065217,0.018462,0.002836,0.004627,0,no
0.002355,0,0,0,0.001005,0.000343,0.335,0.014489,0.018648,0.000008,0,0.000006,0.001807,0,0,0,0.043478,0.006154,0.00081,0.001322,0,no
0,0,0,0,0.001256,0.000459,0.2,0.024148,0.014938,0.000018,0.000887,0.000014,0,0,0,0,0.086957,0.003077,0.001621,0.000661,0,no
0.017268,0.005587,0,0.007042,0.020849,0.012068,0.05,0.100357,0.094637,0.001974,0.012422,0.001539,0.01626,0,0.016529,0,0.217391,0.055385,0.019854,0.022472,0.005556,no
0.077708,0.044693,0,0.049296,0.059784,0.04175,0.025,0.212595,0.154484,0.014471,0.041704,0.01128,0.065944,0.113636,0.140496,0,0.391304,0.126154,0.057942,0.062789,0.044444,no
0.005495,0,0,0,0.002261,0.000887,0.15,0.032165,0.021684,0.000047,0.000887,0.000036,0.003613,0,0.008264,0,0.086957,0.009231,0.002026,0.002644,0,yes
0.017268,0.011173,0,0.007042,0.009797,0.005424,0.075,0.065392,0.065268,0.000578,0.005324,0.000451,0.009937,0.136364,0.033058,0,0.217391,0.04,0.009319,0.010575,0.011111,no
0.012559,0.011173,0,0.007042,0.015825,0.009195,0.045,0.103641,0.069797,0.001554,0.008873,0.001211,0.011743,0,0.016529,0,0.282609,0.046154,0.016207,0.015202,0.011111,no
0.002355,0,0,0,0.000754,0.000237,0.335,0.014489,0.012842,0.000006,0,0.000004,0.001807,0,0,0,0.043478,0.003077,0.00081,0.000661,0,no
0.06044,0.027933,0.032258,0.035211,0.075609,0.050406,0.02,0.252294,0.15723,0.020729,0.050577,0.016159,0.060524,0.113636,0.033058,0,0.326087,0.104615,0.076985,0.073364,0.027778,no
0.002355,0,0,0,0.001005,0.000343,0.335,0.014489,0.018648,0.000008,0,0.000006,0.001807,0,0,0,0.043478,0.006154,0.00081,0.001322,0,no
0.00471,0,0,0,0.002261,0.000887,0.15,0.032165,0.021684,0.000047,0.000887,0.000036,0.003613,0,0,0,0.086957,0.009231,0.002026,0.002644,0,no
0.084772,0.039106,0,0.049296,0.074102,0.047202,0.015,0.277697,0.133764,0.021369,0.047028,0.016657,0.080397,0.045455,0.132231,0,0.282609,0.086154,0.072934,0.076008,0.038889,no
0.024333,0.01676,0,0.007042,0.015574,0.009051,0.08,0.060852,0.117043,0.000898,0.008873,0.0007,0.01897,0.045455,0.049587,0.090909,0.173913,0.061538,0.013776,0.018506,0.016667,no
0.021978,0.01676,0,0.021127,0.011555,0.006105,0.07,0.070221,0.0684,0.000699,0.006211,0.000545,0.017164,0.136364,0.016529,0,0.195652,0.033846,0.012156,0.010575,0.011111,no
0.002355,0,0,0,0.000754,0.000237,0.335,0.014489,0.012842,0.000006,0,0.000004,0.001807,0,0,0,0.043478,0.003077,0.00081,0.000661,0,no
0.042386,0.067039,0,0.084507,0.024868,0.014918,0.045,0.103641,0.113309,0.002519,0.015084,0.001964,0.036134,0,0.107438,0,0.26087,0.061538,0.026742,0.021811,0.066667,no
0.025118,0.005587,0,0.007042,0.013062,0.007367,0.07,0.070801,0.081844,0.000851,0.007098,0.000663,0.020777,0,0.041322,0,0.217391,0.046154,0.012966,0.013219,0.005556,no
0.00314,0,0,0,0.001507,0.000581,0.2,0.024148,0.018937,0.000023,0.000887,0.000018,0.001807,0.022727,0,0,0.086957,0.006154,0.001621,0.001322,0,no
0.012559,0.01676,0,0.007042,0.017081,0.009476,0.055,0.090119,0.082711,0.001393,0.00976,0.001086,0.01626,0.022727,0,0,0.130435,0.036923,0.009724,0.013219,0.016667,no
0.000785,0,0,0,0.001005,0.000343,0.335,0.014489,0.018648,0.000008,0,0.000006,0,0,0,0,0.043478,0.006154,0.00081,0.001322,0,no
0.002355,0,0,0,0.000754,0.000237,0.335,0.014489,0.012842,0.000006,0,0.000004,0.001807,0,0,0,0.043478,0.003077,0.00081,0.000661,0,no
0.048666,0.022346,0,0.021127,0.03994,0.025832,0.03,0.16005,0.127042,0.006739,0.025732,0.005253,0.045167,0.022727,0.082645,0,0.282609,0.092308,0.035656,0.046927,0.022222,yes
