@relation kc3-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute GLOBAL_DATA_COMPLEXITY numeric
@attribute GLOBAL_DATA_DENSITY numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute c {FALSE,TRUE}

@data
0.428571,0.241379,0.434783,0,0.421053,0.210526,0.228571,0.105263,0.235294,0.5,0.242424,1,0.258621,0,0,0.253112,0,0.272727,1,0.380922,0.413091,0.078968,0.191011,0.230878,0.059701,0.078968,0.191201,0.043011,0.190476,0.210526,0.261307,0.072165,0.21223,0.242991,0.345912,0.666667,0.291262,0.302255,0.252066,FALSE
0.035714,0,0.152174,0,0,0,0,0.021053,0,0,0,1,0.081897,0,0,0.058091,1,0.030303,1,0.326067,0.150715,0.008994,0.058989,0.09136,0.179104,0.008994,0.059698,1,0,0,0.095477,0.030928,0.097122,0.087617,0.144654,0.2,0.05178,0,0.057851,FALSE
0,0.051724,0.086957,0,0,0,0.057143,0.189474,0,0,0.030303,0.507463,0.047414,0,0,0.053942,0,0.060606,0.67,0.090936,0.214521,0.005085,0.022472,0.038952,0.134328,0.005085,0.023707,0.27957,0,0,0.045226,0.185567,0.032374,0.043224,0.062893,0.4,0.042071,0,0.053719,FALSE
0,0.034483,0.086957,0,0,0.052632,0.028571,0.210526,0.058824,0.5,0.030303,1,0.034483,0,0,0.033195,0.666667,0.060606,1,0.087408,0.165017,0.002892,0.016854,0.029037,0.164179,0.002892,0.017529,0.462366,0.047619,0.052632,0.035176,0.195876,0.026978,0.030374,0.062893,0.366667,0.02589,0,0.033058,FALSE
0,0,0,0,0,0,0,0.294737,0,0,0,1,0,0,0,0.012448,0,0.030303,1,0.022387,0.027503,0.000021,0,0.002125,1,0.000021,0.000749,1,0,0,0,0.226804,0.001799,0.002336,0.006289,0.066667,0.009709,0,0.012397,FALSE
0.035714,0.086207,0.108696,0,0.026316,0.052632,0.085714,0.231579,0.058824,0.5,0.030303,0.253731,0.064655,0,0,0.062241,0,0.060606,0.5,0.159568,0.172167,0.005746,0.033708,0.050283,0.164179,0.005746,0.033382,0.193548,0.047619,0.052632,0.060302,0.185567,0.046763,0.05257,0.113208,0.4,0.058252,0.090909,0.061983,FALSE
0.035714,0.068966,0.108696,0,0.078947,0.105263,0.057143,0.231579,0.117647,0.5,0.060606,1,0.056034,0,0,0.045643,0,0.060606,0.67,0.119624,0.174184,0.004409,0.025281,0.041076,0.164179,0.004409,0.025316,0.27957,0.095238,0.105263,0.055276,0.154639,0.034173,0.045561,0.075472,0.366667,0.05178,0.311709,0.045455,TRUE
0.035714,0.327586,0.23913,0,0.052632,0.342105,0.285714,0.242105,0.294118,0.65,0.212121,0.597015,0.219828,0,0,0.161826,1,0.30303,0.91,0.255628,0.403374,0.05054,0.126404,0.157932,0.074627,0.05054,0.125302,0.021505,0.380952,0.342105,0.20603,0.226804,0.147482,0.16472,0.257862,0.7,0.139159,0.070982,0.161157,FALSE
0.25,0.103448,0.478261,0,0,0.052632,0.114286,0.042105,0.058824,0.5,0.121212,1,0.219828,0,0,0.236515,0,0.151515,1,0.585517,0.301797,0.06478,0.213483,0.252125,0.089552,0.06478,0.214701,0.139785,0.047619,0.052632,0.236181,0.051546,0.258993,0.247664,0.440252,0.5,0.20712,0,0.235537,TRUE
0.178571,0.344828,0.304348,0,0.078947,0.5,0.285714,0.231579,0.529412,0.5275,0.272727,0.865672,0.280172,0,0,0.170124,0.333333,0.333333,1,0.244204,0.438944,0.057171,0.129213,0.171388,0.059701,0.057171,0.130259,0.021505,0.47619,0.5,0.276382,0.195876,0.142086,0.190421,0.207547,0.633333,0.158576,0.0992,0.169421,FALSE
0,0,0.021739,0,0,0,0,1,0,0,0,1,0.00431,0,0,0,0.333333,0.030303,1,0.039945,0.055006,0.000147,0.002809,0.005666,0.492537,0.000147,0.00267,1,0,0,0.005025,1,0.005396,0.005841,0.018868,0.166667,0,0,0,FALSE
0.142857,0.034483,0.130435,0.111111,0,0.052632,0.028571,0.094737,0.058824,0.5,0.030303,1,0.047414,0,0,0.053942,0.666667,0.060606,1,0.149152,0.225156,0.009184,0.042135,0.061615,0.119403,0.009184,0.0408,0.462366,0.047619,0.052632,0.050251,0.082474,0.061151,0.061916,0.113208,0.4,0.058252,0.103855,0.057851,TRUE
0.035714,0.034483,0.065217,0,0,0.052632,0.028571,0.210526,0.058824,0.5,0.030303,1,0.030172,0,0,0.033195,0.333333,0.060606,1,0.06397,0.192519,0.002881,0.014045,0.025496,0.149254,0.002881,0.014965,0.462366,0.047619,0.052632,0.030151,0.175258,0.02518,0.025701,0.050314,0.366667,0.029126,0,0.033058,FALSE
0.107143,0.172414,0.130435,0,0,0.263158,0.142857,0.2,0.294118,0.5,0.151515,1,0.146552,0,0,0.103734,0.333333,0.181818,1,0.126848,0.458379,0.032385,0.070225,0.106232,0.059701,0.032385,0.070657,0.107527,0.238095,0.263158,0.145729,0.185567,0.089928,0.116822,0.100629,0.5,0.090615,0,0.103306,FALSE
0,0,0,0,0,0,0,0.294737,0,0,0,1,0,0,0,0.012448,0.333333,0.030303,1,0.015205,0.091676,0.000155,0.002809,0.004249,0.298507,0.000155,0.001693,1,0,0,0,0.226804,0.003597,0.004673,0.006289,0.133333,0.009709,0,0.012397,FALSE
0.071429,0.103448,0.108696,0,0.052632,0,0.114286,0.157895,0,0,0.090909,0.701493,0.094828,0,0,0.103734,0,0.121212,0.8,0.161878,0.278144,0.015213,0.053371,0.082861,0.104478,0.015213,0.05471,0.139785,0,0,0.090452,0.14433,0.07554,0.087617,0.113208,0.4,0.093851,0.107782,0.103306,FALSE
0,0,0.043478,0,0,0,0,0.210526,0,0,0,1,0.008621,0,0,0.016598,0,0.030303,1,0.069304,0.03667,0.000113,0.002809,0.007082,0.746269,0.000113,0.003088,1,0,0,0.01005,0.175258,0.007194,0.007009,0.025157,0.1,0.012945,0,0.016529,FALSE
0.071429,0.189655,0.108696,0,0.026316,0.184211,0.171429,0.294737,0.176471,0.5825,0.151515,0.791045,0.12069,0.105263,0.33,0.087137,0,0.212121,1,0.121178,0.317932,0.01489,0.047753,0.070822,0.089552,0.01489,0.046827,0.387097,0.190476,0.184211,0.110553,0.257732,0.066547,0.073598,0.100629,0.466667,0.07767,0.066182,0.086777,FALSE
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.022387,0.027503,0.000021,0,0.002125,1,0.000021,0.000749,1,0,0,0,1,0.001799,0.002336,0.006289,0.066667,0,0,0,FALSE
0.107143,0.172414,0.152174,0,0,0.236842,0.142857,0.252632,0.235294,0.5625,0.090909,0.507463,0.116379,0.157895,0.6,0.087137,0.666667,0.121212,0.67,0.158224,0.343784,0.022725,0.067416,0.092068,0.074627,0.022725,0.066108,0.645161,0.238095,0.236842,0.110553,0.216495,0.089928,0.093458,0.150943,0.566667,0.07767,0,0.086777,FALSE
0.25,0,0.130435,0,0.105263,0,0,0,0,0,0,1,0.056034,0,0,0.087137,0,0.030303,1,0.293179,0.183718,0.01203,0.064607,0.101275,0.149254,0.01203,0.065468,1,0,0,0.065327,0,0.113309,0.093458,0.138365,0.2,0.10356,0.232727,0.086777,FALSE
0,0.034483,0.173913,0,0,0.052632,0.028571,0.126316,0.058824,0.5,0.030303,1,0.064655,0,0,0.049793,0,0.060606,1,0.141381,0.242391,0.010095,0.042135,0.062323,0.119403,0.010095,0.041645,0.462366,0.047619,0.052632,0.070352,0.123711,0.061151,0.063084,0.113208,0.433333,0.038835,0,0.049587,FALSE
0.25,0.051724,0.065217,0,0.078947,0,0.057143,0.168421,0,0,0.030303,0.507463,0.064655,0,0,0.058091,0,0.060606,0.67,0.173219,0.202604,0.008643,0.042135,0.064448,0.134328,0.008643,0.042655,0.27957,0,0,0.065327,0.092784,0.06295,0.065421,0.119497,0.366667,0.080906,0.256727,0.057851,FALSE
0,0,0,0,0,0,0,0.294737,0,0,0,1,0,0,0,0.012448,0.333333,0.030303,1,0.015205,0.091676,0.000155,0.002809,0.004249,0.298507,0.000155,0.001693,1,0,0,0,0.226804,0.003597,0.004673,0.006289,0.133333,0.009709,0,0.012397,FALSE
0,0,0,0,0,0,0,0.210526,0,0,0,1,0,0,0,0.016598,0,0.030303,1,0.030662,0.091676,0.000313,0.002809,0.008499,0.298507,0.000313,0.003416,1,0,0,0,0.175258,0.007194,0.009346,0.012579,0.133333,0.012945,0,0.016529,FALSE
