@relation letter-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute x-box numeric
@attribute y-box numeric
@attribute width numeric
@attribute high numeric
@attribute onpix numeric
@attribute x-bar numeric
@attribute y-bar numeric
@attribute x2bar numeric
@attribute y2bar numeric
@attribute xybar numeric
@attribute x2ybr numeric
@attribute xy2br numeric
@attribute x-ege numeric
@attribute xegvy numeric
@attribute y-ege numeric
@attribute yegvx numeric
@attribute class {A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z}

@data
0.333333,0.733333,0.466667,0.533333,0.6,0.6,0.533333,0.333333,0.266667,0.466667,0.333333,0.333333,0.466667,0.733333,0.6,0.266667,N
0.2,0.466667,0.266667,0.333333,0.133333,0.6,0.4,0.066667,0.4,0.866667,0.266667,0.533333,0,0.466667,0,0.533333,J
0.133333,0.066667,0.2,0.133333,0.066667,0.4,0.533333,0.466667,0.466667,0.6,0.466667,0.8,0.066667,0.666667,0.2,0.6,C
0.4,0.666667,0.533333,0.533333,0.666667,0.466667,0.4,0.466667,0.266667,0.4,0.333333,0.533333,0.533333,0.533333,0.533333,0.6,M
0.4,0.6,0.333333,0.466667,0.2,0.2,0.733333,0.2,0.266667,0.666667,0.8,0.533333,0.133333,0.666667,0.066667,0.533333,V
0.333333,0.666667,0.466667,0.533333,0.533333,0.4,0.4,0.4,0.333333,0.466667,0.466667,0.733333,0.733333,0.333333,0.133333,0.6,M
0.2,0.533333,0.266667,0.4,0.133333,0.533333,0.466667,0.333333,0.6,0.333333,0.4,0.466667,0,0.533333,0.6,0.533333,S
0.266667,0.466667,0.4,0.333333,0.133333,0.4,0.733333,0.133333,0.4,0.866667,0.466667,0.266667,0.066667,0.666667,0.133333,0.466667,F
0.266667,0.133333,0.333333,0.266667,0.266667,0.466667,0.533333,0.266667,0.4,0.466667,0.333333,0.466667,0.2,0.466667,0.266667,0.533333,R
0.2,0.333333,0.266667,0.266667,0.133333,0.4,0.8,0.133333,0.466667,0.533333,0.733333,0.466667,0.066667,0.733333,0.066667,0.466667,T
0,0,0,0,0,0.466667,0.466667,0.266667,0.266667,0.466667,0.4,0.533333,0,0.533333,0,0.533333,I
0.466667,0.866667,0.4,0.466667,0.266667,0.533333,0.6,0.133333,0.333333,0.733333,0.333333,0.266667,0.2,0.666667,0.466667,0.466667,F
0.2,0.266667,0.333333,0.2,0.2,0.6,0.733333,0.2,0.133333,0.333333,0.6,0.533333,0.4,0.733333,0.066667,0.533333,W
0.066667,0.2,0.133333,0.133333,0.066667,0.466667,0.466667,0.333333,0.533333,0.4,0.4,0.533333,0.066667,0.533333,0.466667,0.533333,Z
0.133333,0.266667,0.266667,0.2,0.066667,0.8,0.2,0.2,0.133333,0.666667,0.066667,0.6,0.066667,0.4,0.133333,0.6,A
0.133333,0.266667,0.2,0.2,0.133333,0.4,0.4,0.4,0.333333,0.4,0.4,0.6,0.133333,0.533333,0.266667,0.533333,G
0.333333,0.666667,0.466667,0.533333,0.333333,0.466667,0.4,0.6,0.266667,0.466667,0.333333,0.6,0.2,0.6,0.266667,0.4,O
0.266667,0.466667,0.4,0.333333,0.2,0.266667,0.6,0.2,0.6,0.733333,0.6,0.666667,0.133333,0.533333,0.266667,0.333333,E
0.4,0.666667,0.466667,0.533333,0.466667,0.533333,0.466667,0.6,0.266667,0.466667,0.4,0.533333,0.2,0.533333,0.2,0.466667,O
0.333333,0.666667,0.333333,0.466667,0.2,0.266667,0.933333,0.333333,0.333333,0.8,0.6,0.2,0.066667,0.733333,0.066667,0.333333,T
