@relation mc1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute GLOBAL_DATA_COMPLEXITY numeric
@attribute GLOBAL_DATA_DENSITY numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute c {FALSE,TRUE}

@data
0,0,0,0.020408,0,0,0,0.33,0,0,1,0,0,0,0.00173,0,0,0,0.044335,0.002399,0.000001,0.000803,0.001531,0.25,0.000001,0.000601,1,0,0,0,0.1,0.001316,0.001696,0.015228,0.04,0.00551,0.69622,0.004695,FALSE
0.045977,0.017143,0.013889,0.010204,0.068376,0.019048,0.015707,0.17,0.019231,0,0,0.020474,0,0,0.039792,0,0,0,0.091828,0.02599,0.00035,0.013644,0.021619,0.025,0.00035,0.013484,0,0.018868,0.019048,0.02171,0.055,0.022817,0.020692,0.060914,0.1,0.050964,0.293755,0.037559,FALSE
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.005208,1,0.030596,0.002399,0.000001,0.000803,0.001148,0.25,0.000001,0.000415,1,0,0,0,0.5,0.000878,0.001357,0.010152,0.04,0,0,0,FALSE
0.057471,0.011429,0.041667,0.061224,0,0,0.010471,0.21,0,0.010811,1,0.012931,0,0,0.013841,0,0,0,0.120766,0.004498,0.000014,0.00321,0.005931,0.135,0.000014,0.003069,0,0,0,0.013569,0.07,0.005265,0.006445,0.040609,0.05,0.027548,0.447577,0.021909,FALSE
0.137931,0.068571,0.222222,0.05102,0.102564,0.069841,0.062827,0.14,0.064103,0.048649,0,0.081897,0.380952,0,0.150519,0,0.026042,0,0.273194,0.042409,0.002776,0.065811,0.074039,0.015,0.002776,0.065466,0,0.075472,0.069841,0.086839,0.055,0.0724,0.075305,0.284264,0.24,0.161157,0.170739,0.143975,FALSE
0.011494,0.028571,0.041667,0,0,0,0,0.03,0,0,1,0.024784,0,0,0.062284,0,0,0,0.184801,0.018986,0.000377,0.020064,0.025253,0.03,0.000377,0.019832,1,0,0,0.018996,0.015,0.021939,0.027815,0.152284,0.19,0.052342,0,0.056338,FALSE
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.030596,0.002399,0.000001,0.000803,0.001148,0.25,0.000001,0.000415,1,0,0,0,0.5,0.000878,0.001357,0.010152,0.04,0,0,0,FALSE
0,0.005714,0.013889,0,0,0.006349,0.005236,1,0.00641,0.005405,1,0.00431,0,0,0,0,0.010417,1,0.031267,0.004797,0.000004,0.000803,0.001913,0.125,0.000004,0.000848,0,0.006289,0.006349,0.004071,0.5,0.001755,0.002035,0.015228,0.06,0.001377,0,0,FALSE
0,0,0.013889,0,0,0,0,1,0,0,1,0.001078,0,0,0,0,0.005208,1,0.048085,0.003598,0.000004,0.000803,0.002104,0.165,0.000004,0.000978,1,0,0,0.001357,0.25,0.001755,0.002374,0.020305,0.06,0.001377,0,0,FALSE
0.011494,0,0.013889,0,0,0,0,0.5,0,0,1,0.001078,0,0,0.00346,0,0,0,0.030557,0.001799,0.000001,0,0.000957,0.335,0.000001,0.000311,1,0,0,0.001357,0.1,0.000878,0.001018,0.010152,0.03,0.00551,0,0.00313,FALSE
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.005208,1,0.022898,0.002399,0.000001,0,0.000957,0.25,0.000001,0.000311,1,0,0,0,0.5,0.000439,0.001357,0.005076,0.04,0,0,0,FALSE
0,0,0.013889,0,0,0,0,1,0,0,1,0.001078,0,0,0,0.3,0.005208,1,0.050059,0.002998,0.000003,0.000803,0.001913,0.2,0.000003,0.000848,1,0,0,0.001357,0.25,0.001755,0.002035,0.020305,0.05,0.001377,0,0,FALSE
0.034483,0,0.041667,0.020408,0,0,0,0.09,0,0,1,0.005388,0,0,0.015571,0,0,0,0.141374,0.012593,0.000127,0.010433,0.015688,0.05,0.000127,0.01006,1,0,0,0.006784,0.03,0.015358,0.015943,0.076142,0.09,0.020661,0.18985,0.017214,FALSE
0,0,0.013889,0,0,0,0,0.11,0,0,1,0.008621,0,0,0.015571,0,0,0,0.43715,0.004174,0.000043,0.010433,0.015496,0.145,0.000043,0.010306,1,0,0,0.010855,0.045,0.017552,0.013908,0.116751,0.04,0.013774,0,0.014085,FALSE
0.011494,0.011429,0.041667,0,0,0.012698,0.010471,0.23,0.012821,0.010811,1,0.015086,0,0,0.022491,0,0.010417,0,0.064745,0.008479,0.000026,0.00321,0.005548,0.07,0.000026,0.003104,0,0.012579,0.012698,0.016282,0.095,0.004827,0.006106,0.035533,0.09,0.020661,0,0.020344,FALSE
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.005208,1,0.030557,0.001799,0.000001,0,0.000957,0.335,0.000001,0.000311,1,0,0,0,0.5,0.000878,0.001018,0.010152,0.03,0,0,0,FALSE
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.005208,1,0.033952,0.008995,0.000016,0.001605,0.003444,0.065,0.000016,0.001727,1,0,0,0,0.25,0.002194,0.00441,0.015228,0.09,0.001377,0,0,FALSE
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.005208,1,0.032767,0.008,0.000012,0.001605,0.003061,0.075,0.000012,0.001481,1,0,0,0,0.25,0.002194,0.003731,0.015228,0.08,0.001377,0,0,FALSE
0,0,0.027778,0,0,0,0,0.17,0,0,1,0.002155,0,0,0.010381,0,0.005208,1,0.069128,0.005997,0.000014,0.002408,0.0044,0.1,0.000014,0.002343,1,0,0,0.002714,0.065,0.004388,0.00441,0.035533,0.07,0.009642,0,0.00939,FALSE
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.024477,0.002998,0.000001,0.000803,0.001148,0.2,0.000001,0.000415,1,0,0,0,0.5,0.000439,0.001696,0.005076,0.05,0,0,0,FALSE
0.011494,0,0,0,0.017094,0,0,0.25,0,0,1,0.002155,0,0,0.00692,0,0.005208,1,0.049862,0.003994,0.000005,0.000803,0.00287,0.15,0.000005,0.001127,1,0,0,0.002714,0.055,0.002194,0.003392,0.015228,0.04,0.011019,0.348058,0.00626,FALSE
0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0.00346,0,0.005208,1,0.030557,0.001799,0.000001,0,0.000957,0.335,0.000001,0.000311,1,0,0,0,0.165,0.000878,0.001018,0.010152,0.03,0.002755,0,0.00313,FALSE
0.022989,0.005714,0.041667,0,0.068376,0.006349,0,0.06,0.00641,0,1,0.024784,0,0,0.029412,0,0.005208,1,0.185432,0.038379,0.001544,0.040128,0.052994,0.015,0.001544,0.04022,1,0.006289,0.006349,0.029851,0.015,0.047389,0.057327,0.137056,0.16,0.038567,0.334169,0.026604,FALSE
0,0,0.013889,0,0,0,0,0.5,0,0,1,0.001078,0,0,0.00346,0,0.005208,1,0.024477,0.002998,0.000001,0.000803,0.001148,0.2,0.000001,0.000415,1,0,0,0.001357,0.125,0.000439,0.001696,0.005076,0.05,0.004132,0,0.00313,FALSE
0,0,0.027778,0,0,0,0,1,0,0,1,0.002155,0,0,0,0,0.005208,1,0.035531,0.003598,0.000003,0.000803,0.001722,0.165,0.000003,0.000722,1,0,0,0.002714,0.5,0.000878,0.002374,0.010152,0.06,0,0,0,FALSE
0.137931,0,0.027778,0.132653,0.076923,0,0,0.05,0,0,1,0.009698,0,0,0.010381,0.1,0.005208,1,0.300711,0.008887,0.000134,0.015249,0.021045,0.07,0.000134,0.015098,1,0,0,0.012212,0.01,0.021939,0.020353,0.137056,0.08,0.056474,0.820489,0.029734,FALSE
0.022989,0.005714,0,0.040816,0,0.006349,0.005236,0.25,0.00641,0,0,0.00431,0,0,0.00692,0.1,0,0,0.034583,0.011994,0.000028,0.002408,0.0044,0.05,0.000028,0.002343,0,0.006289,0.006349,0.004071,0.085,0.00351,0.005088,0.020305,0.1,0.015152,0.522139,0.01252,FALSE
0,0,0.013889,0,0,0,0,0.5,0,0,1,0.001078,0,0,0.00346,0,0,0,0.053296,0.002399,0.000002,0.000803,0.001722,0.25,0.000002,0.000722,1,0,0,0.001357,0.165,0.001755,0.001696,0.020305,0.04,0.002755,0,0.00313,FALSE
0,0,0,0.010204,0,0,0,0.5,0,0,1,0,0,0,0.00173,0,0,0,0.030557,0.001799,0.000001,0,0.000957,0.335,0.000001,0.000311,1,0,0,0,0.125,0.000878,0.001018,0.010152,0.03,0.004132,0.522139,0.00313,FALSE
0,0,0.013889,0,0,0,0,0.5,0,0,1,0.001078,0,0,0.00346,0,0,0,0.030557,0.001799,0.000001,0,0.000957,0.335,0.000001,0.000311,1,0,0,0.001357,0.125,0.000878,0.001018,0.010152,0.03,0.004132,0,0.00313,FALSE
0,0,0.013889,0,0,0,0,1,0,0,1,0.001078,0,0,0,0,0.005208,1,0.03103,0.002998,0.000002,0.000803,0.001339,0.2,0.000002,0.000526,1,0,0,0.001357,0.25,0.000878,0.001696,0.010152,0.05,0.001377,0,0,FALSE
0.045977,0,0.013889,0.010204,0.025641,0,0,0.07,0,0,1,0.003233,0,0,0.022491,0,0.005208,1,0.205132,0.007412,0.000064,0.008828,0.013392,0.08,0.000064,0.008588,1,0,0,0.004071,0.02,0.013164,0.013569,0.086294,0.07,0.030303,0.245718,0.021909,FALSE
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.000191,0,0,0,1,0,0,0,0.5,0,0.000339,0,0.01,0,0,0,FALSE
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.005208,1,0.030596,0.002399,0.000001,0.000803,0.001148,0.25,0.000001,0.000415,1,0,0,0,0.25,0.000878,0.001357,0.010152,0.04,0.001377,0,0,FALSE
0,0,0,0,0,0,0,0.33,0,0,1,0.002155,0,0,0.00519,0,0.005208,1,0.040821,0.002399,0.000001,0.000803,0.001531,0.25,0.000001,0.000553,1,0,0,0.002714,0.1,0.000878,0.002035,0.010152,0.04,0.00551,0,0.004695,FALSE
0,0,0.041667,0,0,0,0,1,0,0,1,0.003233,0,0,0,0,0.005208,1,0.032767,0.007196,0.00001,0.001605,0.00287,0.085,0.00001,0.001333,1,0,0,0.004071,0.25,0.001316,0.004071,0.010152,0.08,0.001377,0,0,FALSE
0,0,0.041667,0,0,0,0,1,0,0,1,0.003233,0,0,0,0,0.005208,1,0.032767,0.007196,0.00001,0.001605,0.00287,0.085,0.00001,0.001333,1,0,0,0.004071,0.25,0.001316,0.004071,0.010152,0.08,0.001377,0,0,FALSE
0,0,0,0,0.008547,0,0,1,0,0,1,0,0,0,0.00173,0,0,0,0,0,0,0,0.000191,0,0,0,1,0,0,0,0.125,0,0.000339,0,0.01,0.004132,0.522139,0.001565,FALSE
0,0,0,0.010204,0,0,0,0.5,0,0,1,0,0,0,0.00173,0,0,0,0.021042,0.001799,0,0,0.000765,0.335,0,0.000214,1,0,0,0,0.125,0.000439,0.001018,0.005076,0.03,0.004132,0.522139,0.00313,FALSE
0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0.00346,0,0,0,0.021042,0.001799,0,0,0.000765,0.335,0,0.000214,1,0,0,0,0.125,0.000439,0.001018,0.005076,0.03,0.004132,0,0.00313,FALSE
0,0.005714,0.027778,0,0,0.009524,0.005236,0.5,0.00641,0.005405,1,0.005388,0,0,0.00692,0,0.010417,1,0.08488,0.008575,0.000035,0.004013,0.006696,0.07,0.000035,0.004114,0,0.012579,0.009524,0.005427,0.165,0.005704,0.007463,0.050761,0.11,0.006887,0,0.00626,FALSE
0.045977,0.017143,0.013889,0.010204,0.068376,0.019048,0.015707,0.17,0.019231,0,0,0.020474,0,0,0.039792,0,0,0,0.091828,0.02599,0.00035,0.013644,0.021619,0.025,0.00035,0.013484,0,0.018868,0.019048,0.02171,0.055,0.022817,0.020692,0.060914,0.1,0.050964,0.293755,0.037559,FALSE
0.022989,0.034286,0.055556,0.010204,0.068376,0.038095,0.031414,0.13,0.038462,0.027027,0,0.03125,0.238095,0,0.093426,0,0.026042,0,0.099131,0.047974,0.00129,0.026485,0.035202,0.015,0.00129,0.02688,0,0.037736,0.038095,0.031208,0.05,0.035103,0.035278,0.111675,0.22,0.092287,0.149227,0.086072,FALSE
0,0.011429,0.027778,0.010204,0.008547,0.012698,0.010471,0.21,0.012821,0.010811,1,0.011853,0,0,0.022491,0,0,0,0.108685,0.008995,0.00005,0.005618,0.008992,0.065,0.00005,0.005524,0,0.012579,0.012698,0.012212,0.09,0.008776,0.009159,0.060914,0.09,0.022039,0.139202,0.021909,FALSE
0.011494,0.005714,0,0,0,0.006349,0.005236,0.29,0.00641,0,0,0.006466,0,0,0.012111,0,0,0,0.063166,0.007796,0.000022,0.002408,0.004974,0.075,0.000022,0.002783,0,0.006289,0.006349,0.006784,0.1,0.005704,0.00441,0.040609,0.08,0.012397,0,0.010955,FALSE
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.000574,0,0,0.000127,1,0,0,0,0.5,0,0.001018,0,0.03,0,0,0,FALSE
