@relation mfeat-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 numeric
@attribute att40 numeric
@attribute att41 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att44 numeric
@attribute att45 numeric
@attribute att46 numeric
@attribute att47 numeric
@attribute att48 numeric
@attribute att49 numeric
@attribute att50 numeric
@attribute att51 numeric
@attribute att52 numeric
@attribute att53 numeric
@attribute att54 numeric
@attribute att55 numeric
@attribute att56 numeric
@attribute att57 numeric
@attribute att58 numeric
@attribute att59 numeric
@attribute att60 numeric
@attribute att61 numeric
@attribute att62 numeric
@attribute att63 numeric
@attribute att64 numeric
@attribute att65 numeric
@attribute att66 numeric
@attribute att67 numeric
@attribute att68 numeric
@attribute att69 numeric
@attribute att70 numeric
@attribute att71 numeric
@attribute att72 numeric
@attribute att73 numeric
@attribute att74 numeric
@attribute att75 numeric
@attribute att76 numeric
@attribute att77 numeric
@attribute att78 numeric
@attribute att79 numeric
@attribute att80 numeric
@attribute att81 numeric
@attribute att82 numeric
@attribute att83 numeric
@attribute att84 numeric
@attribute att85 numeric
@attribute att86 numeric
@attribute att87 numeric
@attribute att88 numeric
@attribute att89 numeric
@attribute att90 numeric
@attribute att91 numeric
@attribute att92 numeric
@attribute att93 numeric
@attribute att94 numeric
@attribute att95 numeric
@attribute att96 numeric
@attribute att97 numeric
@attribute att98 numeric
@attribute att99 numeric
@attribute att100 numeric
@attribute att101 numeric
@attribute att102 numeric
@attribute att103 numeric
@attribute att104 numeric
@attribute att105 numeric
@attribute att106 numeric
@attribute att107 numeric
@attribute att108 numeric
@attribute att109 numeric
@attribute att110 numeric
@attribute att111 numeric
@attribute att112 numeric
@attribute att113 numeric
@attribute att114 numeric
@attribute att115 numeric
@attribute att116 numeric
@attribute att117 numeric
@attribute att118 numeric
@attribute att119 numeric
@attribute att120 numeric
@attribute att121 numeric
@attribute att122 numeric
@attribute att123 numeric
@attribute att124 numeric
@attribute att125 numeric
@attribute att126 numeric
@attribute att127 numeric
@attribute att128 numeric
@attribute att129 numeric
@attribute att130 numeric
@attribute att131 numeric
@attribute att132 numeric
@attribute att133 numeric
@attribute att134 numeric
@attribute att135 numeric
@attribute att136 numeric
@attribute att137 numeric
@attribute att138 numeric
@attribute att139 numeric
@attribute att140 numeric
@attribute att141 numeric
@attribute att142 numeric
@attribute att143 numeric
@attribute att144 numeric
@attribute att145 numeric
@attribute att146 numeric
@attribute att147 numeric
@attribute att148 numeric
@attribute att149 numeric
@attribute att150 numeric
@attribute att151 numeric
@attribute att152 numeric
@attribute att153 numeric
@attribute att154 numeric
@attribute att155 numeric
@attribute att156 numeric
@attribute att157 numeric
@attribute att158 numeric
@attribute att159 numeric
@attribute att160 numeric
@attribute att161 numeric
@attribute att162 numeric
@attribute att163 numeric
@attribute att164 numeric
@attribute att165 numeric
@attribute att166 numeric
@attribute att167 numeric
@attribute att168 numeric
@attribute att169 numeric
@attribute att170 numeric
@attribute att171 numeric
@attribute att172 numeric
@attribute att173 numeric
@attribute att174 numeric
@attribute att175 numeric
@attribute att176 numeric
@attribute att177 numeric
@attribute att178 numeric
@attribute att179 numeric
@attribute att180 numeric
@attribute att181 numeric
@attribute att182 numeric
@attribute att183 numeric
@attribute att184 numeric
@attribute att185 numeric
@attribute att186 numeric
@attribute att187 numeric
@attribute att188 numeric
@attribute att189 numeric
@attribute att190 numeric
@attribute att191 numeric
@attribute att192 numeric
@attribute att193 numeric
@attribute att194 numeric
@attribute att195 numeric
@attribute att196 numeric
@attribute att197 numeric
@attribute att198 numeric
@attribute att199 numeric
@attribute att200 numeric
@attribute att201 numeric
@attribute att202 numeric
@attribute att203 numeric
@attribute att204 numeric
@attribute att205 numeric
@attribute att206 numeric
@attribute att207 numeric
@attribute att208 numeric
@attribute att209 numeric
@attribute att210 numeric
@attribute att211 numeric
@attribute att212 numeric
@attribute att213 numeric
@attribute att214 numeric
@attribute att215 numeric
@attribute att216 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
0.803571,0.586777,0.328534,0.874788,0.857513,0.174342,0.404762,0.421053,0.794872,0.588235,0.5,0.470588,0.355,0.09058,0.592476,0.882609,0.72155,0.584973,0.292683,0.214286,0.25,0.125,0.588235,0.35,0.631068,0.354528,0.46,0.758993,0.15507,0.285444,0.475,0.926829,0.232558,0.15,0.619048,0.727273,0.562376,0.224109,0.291473,0.771331,0.648794,0.461538,0.818182,0.710526,0.046512,0.434783,0.333333,0.772727,0.337596,0.252159,0.335925,0.695364,0.443694,0.315299,0.780488,0.487179,0.232558,0.291667,0.272727,0.473684,0.665823,0.281319,0.334869,0.550835,0.129699,0.26078,0.675,0.837838,0.547619,0.263158,0.631579,0.75,0.348718,0.127049,0.545176,0.803403,0.550495,0.608541,0.190476,0.384615,0,0,0.421053,0.736842,0.322581,0.157895,0.5568,0.918728,0.306985,0.536804,0.219512,0.514286,0.159091,0.291667,0.294118,0.090909,0.058201,0.093511,0.740952,0.928013,0.702997,0.54717,0.105263,0.395349,0.177778,0,0.047619,0.157895,0.671845,0.460137,0.370773,0.573561,0.374517,0.179396,0.627907,0.4,0.75,0.611111,0.727273,0.782609,0.479532,0.434859,0.371011,0.595506,0.344828,0.261194,0.571429,0.515152,0.636364,0.708333,0.666667,0.48,0.866953,0.497788,0.372289,0.95073,0.354486,0.300236,0.555556,0.588235,0.735294,0.695652,0.555556,0.772727,0.553719,0.371534,0.347633,0.928013,0.455982,0.206681,0.25,0.225806,0.714286,0.045455,0.647059,0.166667,0.359504,0.22736,0.639344,0.756708,0.549708,0.520866,0.302326,0.393939,0.333333,0.041667,0.619048,0.722222,0.747881,0.2818,0.343699,0.522282,0.307143,0.329218,0.409091,0.921053,0.409091,0.470588,0.571429,0.8,0.657851,0.533145,0.331117,0.307573,0.320847,0.124224,0.571429,0.44186,0.909091,0.470588,0.583333,0.791667,0.114754,0.279762,0.750343,0.862969,0.846774,0.645683,0.456522,0.35,0.186047,0.08,0.083333,0.5,0.394872,0.407143,0.351175,0.943782,0.680751,0.161565,0.827586,0.621622,0.6,0.642857,0.714286,0.043478,5
0.551339,0.626033,0.35733,0.522843,0.523316,0.491776,0.595238,0.657895,0.564103,0.294118,0.833333,0.647059,0.5425,0.222826,0.219436,0.465217,0.607748,0.447227,0.487805,0.190476,0.575,0.5,0.705882,0.6,0.366505,0.279383,0.433333,0.503597,0.880716,0.461248,0.425,0.707317,0.906977,0.6,0.238095,0.227273,0.49703,0.24618,0.353488,0.576792,0.839142,0.326403,0.454545,0.631579,0.674419,0.391304,0.333333,0.090909,0.554987,0.233161,0.345257,0.649007,0.864865,0.384328,0.292683,0.410256,0.906977,0.333333,0.363636,0.421053,0.091139,0.116484,0.288786,0.641882,0.887218,0.451745,0.275,0.702703,0.761905,0.736842,0.210526,0.541667,0.515385,0.268443,0.300153,0.546314,0.647525,0.346975,0.333333,0.25641,0.725,0.375,0.210526,0.263158,0.276882,0.271132,0.2816,0.473498,0.544118,0.384201,0.414634,0.257143,0.818182,0.666667,0.647059,0.772727,0.772487,0.167939,0.462857,0.517997,0.591281,0.379245,0.842105,0.465116,0.822222,0.391304,0.333333,0.842105,0.219417,0.321185,0.390097,0.535181,0.820463,0.415631,0.069767,0.3,0.025,0.222222,0.363636,0.043478,0.55848,0.267606,0.328457,0.630819,0.840996,0.363806,0.047619,0.424242,0.659091,0.5,0.555556,0.28,0.371245,0.482301,0.391566,0.461679,0.597374,0.312057,0.444444,0.794118,0.823529,0.565217,0.777778,0.090909,0.545455,0.365989,0.392012,0.517997,0.751693,0.371608,0.472222,0.451613,0.857143,0.454545,0.882353,0.625,0.584711,0.217726,0.224044,0.613596,0.684211,0.472952,0.209302,0.242424,0.977778,0.333333,0.238095,0.444444,0.110169,0.205479,0.278232,0.511586,0.785714,0.483539,0.136364,0.631579,0.886364,0.647059,0.190476,0.52,0.229752,0.4189,0.37367,0.576507,0.90228,0.451863,0.047619,0.55814,0.613636,0.294118,0.416667,0.416667,0.699454,0.400298,0.377229,0.533442,0.526882,0.255396,0.630435,0.525,0.860465,0.36,0.416667,0.777778,0.474359,0.238095,0.395561,0.453152,0.523474,0.370748,0.482759,0.486486,0.571429,0.857143,0.428571,0.782609,10
0.520089,0.311983,0.265707,0.274112,0.505181,0.383224,0.404762,0.421053,0.307692,0.764706,0.166667,0.705882,0.6975,0.512681,0,0.141304,0.571429,0.78712,0.487805,0.690476,0.475,0.333333,0.352941,0.45,0.570388,0.348748,0.264444,0.32554,0.831014,0.521739,0.525,0.487805,0.348837,0.4,0.714286,0,0.584158,0.398981,0.182946,0.162116,0.798928,0.679834,0.454545,0.447368,0.627907,0.478261,0.52381,0.409091,0.514066,0.481865,0.174184,0.220199,0.817568,0.548507,0.536585,0.487179,0.348837,0.5,0.545455,0.578947,0.38481,0.397802,0.159754,0.327769,0.840226,0.529774,0.525,0.405405,0.333333,0.315789,0.736842,0.083333,0.561538,0.362705,0.094946,0.128544,0.59802,0.80605,0.333333,0.538462,0.525,0.458333,0.736842,0.210526,0.717742,0.3126,0.0864,0.309187,0.494485,0.750449,0.414634,0.628571,0.454545,0.166667,0.411765,0.636364,0.758377,0.496183,0.097143,0.375587,0.583106,0.771698,0.842105,0.395349,0.466667,0.478261,0.619048,0.684211,0.44466,0.302961,0.315217,0.38806,0.772201,0.390764,0.302326,0.533333,0.575,0.555556,0.454545,0.086957,0.505848,0.267606,0.269947,0.279294,0.793103,0.509328,0.285714,0.69697,0.431818,0.25,0.555556,0.16,0.195279,0.10177,0.316867,0.317518,0.54267,0.591017,0.222222,0.352941,0.176471,0.217391,0.111111,0.045455,0.61157,0.225508,0.31213,0.375587,0.69526,0.484342,0.25,0.548387,0.171429,0.454545,0.294118,0.5,0.63843,0.356455,0.147541,0.150268,0.635478,0.720247,0.209302,0.636364,0.311111,0.5,0.714286,0.611111,0.440678,0.354207,0.114566,0.342246,0.747143,0.59465,0.136364,0.447368,0.204545,0.411765,0.761905,0.16,0.444628,0.416079,0.264628,0.404946,0.861564,0.321429,0.285714,0.44186,0.477273,0.764706,0.5,0.125,0.681239,0.486607,0.20439,0.280587,0.513441,0.834532,0.413043,0.35,0.395349,0.52,0.5,0.5,0.725641,0.247619,0.332898,0.321976,0.521127,0.35034,0.482759,0.621622,0.285714,0.285714,0.714286,0.652174,6
0.363839,0.427686,0.340314,0.15736,0.352332,0.305921,0.47619,0.473684,0.025641,0.235294,0.555556,0.764706,0.6475,0.588768,0.139498,0.16087,0.438257,0.495528,0.365854,0.547619,0.75,0.541667,0.411765,0.4,0.618932,0.421965,0.351111,0.384892,0.717694,0.36862,0.4,0.536585,0.465116,0.65,0.285714,0.045455,0.671287,0.415959,0.246512,0.174061,0.630027,0.573805,0.606061,0.447368,0.744186,0.434783,0.857143,0.545455,0.677749,0.519862,0.247278,0.311258,0.68018,0.393657,0.414634,0.384615,0.465116,0.458333,0.863636,0.631579,0.562025,0.494505,0.247312,0.477997,0.733083,0.227926,0.4,0.405405,0.166667,0.684211,0.578947,0.125,0.684615,0.555328,0.203675,0.179584,0.50099,0.519573,0.214286,0.333333,0.75,0.416667,0.578947,0.368421,0.819892,0.567783,0.1872,0.194346,0.411765,0.450628,0.292683,0.571429,0.568182,0.708333,0.705882,0.590909,0.793651,0.587786,0.361905,0.161189,0.400545,0.460377,0.710526,0.534884,0.577778,0.434783,0.857143,0.631579,0.495146,0.312073,0.391304,0.641791,0.669884,0.37833,0.186047,0.733333,0.4,0.166667,0.863636,0.130435,0.69883,0.352113,0.329787,0.447833,0.691571,0.19403,0.166667,0.69697,0.090909,0.458333,0.722222,0.12,0.418455,0.283186,0.392771,0.15146,0.435449,0.229314,0.305556,0.647059,0.323529,0.521739,0.5,0.090909,0.694215,0.454713,0.384615,0.161189,0.575621,0.135699,0.333333,0.548387,0.371429,0.5,0.470588,0.458333,0.559917,0.479769,0.302368,0.255814,0.54386,0.462133,0.093023,0.393939,0.422222,0.458333,0.285714,0.666667,0.478814,0.448141,0.204583,0.568627,0.682857,0.292181,0.022727,0.657895,0.318182,0.588235,0.333333,0.2,0.563636,0.4189,0.340426,0.604328,0.781759,0.304348,0.166667,0.534884,0.227273,0.235294,0.875,0.166667,0.783242,0.68006,0.323731,0.145188,0.354839,0.566547,0.521739,0.5,0.511628,0.48,0.875,0.555556,0.582051,0.328571,0.394256,0.112436,0.377934,0.389456,0.655172,0.567568,0.257143,0.785714,0.642857,0.608696,10
0.328125,0.783058,0.608639,0.038917,0.450777,0.268092,0.833333,0.605263,0.230769,0.823529,0.5,0.647059,0.3575,0.730072,0.539185,0.043478,0.491525,0.486583,0.731707,0.666667,1,0.708333,0.352941,0.3,0.444175,0.325626,0.522222,0.223022,0.502982,0.272212,0.025,0.073171,0.697674,0.35,0.238095,0.136364,0.726733,0.351443,0.59845,0.075085,0.292225,0.434511,0.818182,0.315789,0.930233,0.434783,0.809524,0.636364,0.672634,0.381693,0.600311,0.225166,0.400901,0.287313,0.390244,0.512821,0.697674,0.458333,0.818182,0.526316,0.450633,0.507692,0.552995,0.38695,0.545113,0.172485,0.425,0.054054,0.404762,0.263158,0.526316,0.208333,0.474359,0.846311,0.523737,0.077505,0.615842,0.510676,0.571429,0.461538,1,0.916667,0.526316,0.578947,0.486559,0.870813,0.5568,0.045936,0.5625,0.438061,0.658537,0.2,0.75,0.541667,0.647059,0.5,0.64903,0.782443,0.558095,0.035994,0.247956,0.443396,0.368421,0.651163,0.711111,0.434783,0.809524,0.526316,0.499029,0.439636,0.631643,0.535181,0.546332,0.294849,0.488372,0.633333,0.65,0.611111,0.818182,0.217391,0.365497,0.401408,0.605053,0.325843,0.572797,0.251866,0.428571,0.30303,0.272727,0.291667,0.666667,0.2,0.461373,0.681416,0.63253,0.031022,0.619256,0.22695,0.722222,0.676471,0.323529,0.26087,0.444444,0.181818,0.561983,0.842884,0.599112,0.032864,0.553047,0.196242,0.75,0.903226,0.428571,0.5,0.411765,0.375,0.407025,0.77264,0.544627,0.177102,0.586745,0.435858,0.44186,0.545455,0.555556,0.875,0.238095,0.555556,0.377119,0.745597,0.543372,0.43672,0.685714,0.228395,0.363636,0.157895,0.5,0.823529,0.285714,0.28,0.613223,0.370945,0.613032,0.474498,0.638436,0.25,0.428571,0.511628,0,0.823529,0.833333,0.25,0.637523,0.96875,0.640604,0.034258,0.397849,0.546763,0.847826,0.875,0.744186,0.72,0.833333,0.555556,0.505128,0.714286,0.60705,0.030664,0.307512,0.384354,0.62069,0.162162,0.542857,0.642857,0.714286,0.521739,2
0.803571,0.442149,0.496073,0.384095,0.401554,0.207237,0.595238,0.473684,0.230769,0.588235,0.388889,0.588235,0.32,0.467391,0.366771,0.317391,0.280872,0.338104,0.487805,0.5,0.55,0.125,0.470588,0.55,0.174757,0.477842,0.5,0.359712,0.258449,0.081285,0.275,0.390244,0.27907,0.15,0.428571,0.090909,0.79604,0.471986,0.418605,0.283276,0.246649,0.162162,0.818182,0.763158,0.511628,0.434783,0.714286,0.590909,0.762148,0.466321,0.419907,0.264901,0.191441,0.102612,0.585366,0.794872,0.27907,0.291667,0.727273,0.473684,0.402532,0.241758,0.408602,0.247344,0.287594,0.166324,0.475,0.459459,0.02381,0.263158,0.526316,0,0.292308,0.25,0.272588,0.281664,0.316832,0.330961,0.333333,0.692308,0.55,0,0.421053,0.421053,0.327957,0.295056,0.304,0.452297,0.351103,0.289048,0.414634,0.514286,0.340909,0.291667,0.529412,0.727273,0.474427,0.307252,0.325714,0.471049,0.256131,0.279245,0.315789,0.395349,0.311111,0,0.714286,0.789474,0.55534,0.268793,0.535024,0.211087,0.239382,0.136767,0.44186,0.333333,0.7,0.611111,0.727273,0,0.45614,0.213028,0.511968,0.235955,0.287356,0.328358,0.380952,0.454545,0.136364,0.708333,0.555556,0.24,0.652361,0.232301,0.536145,0.45073,0.223195,0.191489,0.444444,0.529412,0.205882,0.695652,0.333333,0.045455,0.471074,0.249538,0.528107,0.471049,0.343115,0.135699,0.472222,0.354839,0.314286,0.045455,0.411765,0.583333,0.206612,0.304432,0.398907,0.259392,0.276803,0.335394,0.209302,0.575758,0.155556,0.041667,0.428571,0.5,0.298729,0.305284,0.376432,0.329768,0.412857,0.135802,0.227273,0.5,0.090909,0.470588,0.47619,0.08,0.664463,0.267983,0.490691,0.332303,0.425081,0.198758,0.380952,0.162791,0.409091,0.470588,0.75,0.041667,0.570128,0.303571,0.434842,0.389886,0.384409,0.408273,0.630435,0.45,0.325581,0.08,0.75,0.5,0.671795,0.483333,0.528721,0.487223,0.455399,0.294218,0.551724,0.621622,0.657143,0.642857,0.571429,0.73913,5
0.627232,0.448347,0.223822,0.485618,0.518135,0.338816,0.380952,0.473684,0.512821,0.411765,0.111111,0.764706,0.6475,0.259058,0.188088,0.278261,0.578692,0.466905,0.414634,0.547619,0.375,0.583333,0.058824,0.5,0.468447,0.460501,0.233333,0.715827,0.856859,0.361059,0.65,0.634146,0.72093,0.7,0.666667,0.136364,0.726733,0.388795,0.173643,0.351536,0.806971,0.328482,0.545455,0.657895,0.72093,0.73913,0.666667,0,0.662404,0.416235,0.174184,0.400662,0.837838,0.360075,0.658537,0.487179,0.72093,0.75,0.590909,0.421053,0.318987,0.375824,0.172043,0.553869,0.864662,0.437372,0.65,0.567568,0.47619,0.631579,0.684211,0.458333,0.535897,0.223361,0.260337,0.463138,0.623762,0.451957,0.261905,0.384615,0.775,0.708333,0.684211,0.157895,0.637097,0.124402,0.2272,0.64311,0.518382,0.472172,0.341463,0.571429,0.818182,0.416667,0.352941,0.681818,0.797178,0.240458,0.367619,0.599374,0.607629,0.486792,0.815789,0.395349,0.822222,0.73913,0.380952,0.736842,0.359223,0.453303,0.271739,0.565032,0.797297,0.250444,0.418605,0.466667,0.275,0.222222,0.409091,0.043478,0.312865,0.419014,0.206117,0.52809,0.818008,0.425373,0.404762,0.454545,0.568182,0,0.5,0.2,0.139485,0.274336,0.273494,0.516423,0.571116,0.304965,0.194444,0.588235,0.411765,0.043478,0.166667,0,0.705234,0.229205,0.255917,0.599374,0.724605,0.407098,0.222222,0.419355,0.457143,0.727273,0.117647,0.541667,0.514463,0.213873,0.296903,0.434705,0.65692,0.55796,0.139535,0.393939,0.666667,0.75,0.666667,0.555556,0.377119,0.25636,0.166939,0.654189,0.765714,0.444444,0.204545,0.605263,0.568182,0.647059,0.714286,0.44,0.447934,0.523272,0.240691,0.669243,0.882736,0.298137,0.404762,0.44186,0.568182,0.529412,0.458333,0.333333,0.783242,0.302083,0.40192,0.49429,0.532258,0.523381,0.304348,0.4,0.767442,0.76,0.458333,0.777778,0.715385,0.185714,0.278068,0.534923,0.546948,0.141156,0.586207,0.621622,0.171429,0.428571,0.785714,0.695652,6
0.15625,0.132231,0.160995,0.167513,0.42228,0.425987,0.333333,0.5,0.25641,0.529412,0.833333,0.058824,0.435,0.456522,0.250784,0.073913,0.513317,0.779964,0.463415,0.380952,0.675,0.5,0.705882,0.7,0.601942,0.597303,0.206667,0.316547,0.803181,0.570888,0.85,0.658537,0.627907,0.8,0.047619,0.5,0.431683,0.658744,0.23876,0.194539,0.734584,0.779626,0.424242,0.526316,0.627907,0.391304,0.52381,0.454545,0.485934,0.670121,0.22395,0.347682,0.777027,0.597015,0.707317,0.564103,0.627907,0.5,0.545455,0.315789,0.448101,0.571429,0.132104,0.493171,0.81391,0.529774,0.7,0.540541,0.428571,0.736842,0.210526,0.375,0.45641,0.54918,0.281776,0.224953,0.570297,0.774021,0.595238,0.410256,0.675,0.375,0.210526,0.684211,0.526882,0.295056,0.2304,0.180212,0.46875,0.732496,0.536585,0.542857,0.545455,0.666667,0.529412,0.409091,0.636684,0.398855,0.489524,0.201878,0.485014,0.775472,0.5,0.418605,0.555556,0.478261,0.52381,0.421053,0.508738,0.460137,0.177536,0.560768,0.745174,0.490231,0.465116,0.5,0.325,0.444444,0.545455,0.391304,0.48538,0.315141,0.115691,0.447833,0.766284,0.438433,0.452381,0.484848,0.295455,0.666667,0.333333,0.6,0.343348,0.161504,0.179518,0.144161,0.512035,0.520095,0.472222,0.5,0.411765,0.73913,0.777778,0.454545,0.206612,0.175601,0.181953,0.201878,0.663657,0.450939,0.555556,0.322581,0.457143,0.454545,0.764706,0.458333,0.5,0.393064,0.296903,0.298748,0.604288,0.664606,0.604651,0.242424,0.577778,0.416667,0.047619,0.333333,0.493644,0.407045,0.170213,0.468806,0.727143,0.58642,0.522727,0.631579,0.522727,0.882353,0,0.36,0.519008,0.397743,0.176862,0.508501,0.838762,0.389752,0.452381,0.418605,0.295455,0.529412,0.583333,0.333333,0.500911,0.377976,0.462277,0.181077,0.422043,0.823741,0.26087,0.425,0.581395,0.44,0.583333,0.111111,0.502564,0.392857,0.181462,0.146508,0.43662,0.465986,0.241379,0.648649,0.571429,0.857143,0.571429,0.434783,9
0.660714,0.557851,0.162304,0.375635,0.414508,0.233553,0.309524,0.657895,0.538462,0.470588,0.277778,0.823529,0.66,0.355072,0.083072,0.141304,0.476998,0.280859,0.195122,0.380952,0.25,0.625,0.352941,0.65,0.485437,0.404624,0.191111,0.595324,0.77336,0.145558,0.575,0.804878,0.651163,0.75,0.904762,0.181818,0.807921,0.34635,0.11938,0.261092,0.69437,0.108108,0.818182,0.526316,0.604651,0.782609,0.809524,0.136364,0.757033,0.35924,0.119751,0.342715,0.743243,0.184701,0.585366,0.307692,0.651163,0.791667,0.727273,0.473684,0.356962,0.474725,0.075269,0.488619,0.785714,0.207392,0.575,0.702703,0.452381,0.684211,0.947368,0.416667,0.620513,0.131148,0.127106,0.374291,0.540594,0.263345,0.047619,0.410256,0.65,0.75,0.947368,0.315789,0.548387,0.180223,0.1072,0.531802,0.441176,0.267504,0.121951,0.657143,0.75,0.458333,0.647059,0.818182,0.84127,0.372137,0.23619,0.500782,0.514986,0.260377,0.684211,0.55814,0.755556,0.782609,0.428571,0.894737,0.384466,0.350797,0.21256,0.490405,0.716216,0.161634,0.348837,0.3,0.25,0.166667,0.454545,0.086957,0.467836,0.43838,0.164894,0.478331,0.737548,0.276119,0.333333,0.545455,0.545455,0.041667,0.777778,0.32,0.304721,0.307522,0.214458,0.40146,0.479212,0.167849,0.333333,0.441176,0.441176,0.086957,0.333333,0.136364,0.674931,0.397412,0.195266,0.500782,0.629797,0.202505,0.194444,0.387097,0.542857,0.772727,0.411765,0.666667,0.57438,0.157996,0.145719,0.389982,0.575049,0.394127,0.069767,0.484848,0.6,0.791667,0.904762,0.388889,0.345339,0.23092,0.07365,0.595365,0.705714,0.213992,0.136364,0.736842,0.5,0.705882,0.952381,0.4,0.456198,0.530324,0.167553,0.621329,0.814332,0.23913,0.333333,0.651163,0.681818,0.588235,0.5,0.291667,0.883424,0.383929,0.331962,0.378467,0.435484,0.321942,0.369565,0.525,0.697674,0.8,0.5,0.722222,0.625641,0.016667,0.224543,0.444634,0.481221,0.12415,0.758621,0.378378,0.257143,0.357143,0.714286,0.826087,6
0.120536,0.231405,0.140052,0.115059,0.38342,0.371711,0.166667,0.210526,0.051282,0.235294,0.166667,0.352941,0.3,0.757246,0.420063,0.045652,0.486683,0.749553,0.04878,0.404762,0.775,0.625,0.235294,0.75,0.490291,0.500963,0.18,0.303957,0.713718,0.508507,0.725,0.780488,0.581395,0.55,0.809524,0.272727,0.459406,0.587436,0.213953,0.158703,0.603217,0.623701,0.878788,0.763158,0.860465,0.347826,0.619048,0.681818,0.347826,0.618307,0.227061,0.306291,0.666667,0.535448,0.829268,0.74359,0.581395,0.375,0.636364,0.473684,0.255696,0.703297,0.178187,0.4522,0.733083,0.519507,0.725,0.72973,0.285714,0.578947,0.842105,0.25,0.225641,0.618852,0.42879,0.170132,0.544554,0.768683,0.238095,0.589744,0.775,0.5,0.842105,0.526316,0.327957,0.393939,0.4,0.10424,0.459559,0.72711,0.170732,0.685714,0.681818,0.791667,0.529412,0.545455,0.446208,0.673664,0.52,0.125196,0.400545,0.743396,0.368421,0.162791,0.688889,0.521739,0.52381,0.473684,0.372816,0.350797,0.148551,0.473348,0.685328,0.364121,0.674419,0.6,0.425,0.277778,0.363636,0.26087,0.309942,0.276408,0.139628,0.404494,0.714559,0.503731,0.619048,0.69697,0.204545,0.375,0.666667,0.4,0.381974,0.165929,0.150602,0.091241,0.496718,0.565012,0.444444,0.235294,0.294118,0.434783,0.222222,0.227273,0.338843,0.349353,0.107988,0.125196,0.607223,0.478079,0.361111,0.16129,0.342857,0.590909,0.294118,0.583333,0.355372,0.427746,0.504554,0.257603,0.586745,0.712519,0.348837,0.454545,0.533333,0.458333,0.809524,0.611111,0.404661,0.446184,0.229133,0.470588,0.714286,0.584362,0.454545,0.763158,0.431818,0.470588,0.857143,0.32,0.466116,0.228491,0.139628,0.516229,0.80456,0.310559,0.619048,0.255814,0.204545,0.235294,0.416667,0.291667,0.406193,0.473214,0.610425,0.120718,0.38172,0.829137,0.23913,0.1,0.627907,0.4,0.416667,0.166667,0.205128,0.497619,0.097911,0.056218,0.335681,0.294218,0.482759,0.837838,0.285714,0.642857,0.714286,0.478261,1
