@relation mozilla4-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute id numeric
@attribute start numeric
@attribute end numeric
@attribute event numeric
@attribute size numeric
@attribute state {0,1}

@data
0.991928,0,0.083301,0,0.000647,0
0.389188,0.296765,0.361713,0,0.033085,1
0.863992,0.161928,0.198314,0,0.018525,1
0.378669,0.002714,0.021193,0,0.00631,1
0.267368,0.373065,0.511199,1,0.060104,1
0.443493,0.243979,0.257176,1,0.346869,1
0.647505,0.934029,0.939404,0,0.21016,1
0.259785,0.019652,0.023968,1,0.035755,1
0.531067,0.474408,0.547518,0,0.000404,1
0.70499,0.002838,0.129412,1,0.004854,1
0.521037,0.019141,0.361033,1,0.002265,1
0.647016,0.330893,0.381455,1,0.020061,1
0.715998,0.414658,0.46385,1,0.018767,1
0.772994,0.16536,0.164559,0,0.031467,1
0.71135,0.126511,0.130157,1,0.014642,1
0.507583,0,0.076494,0,0.000728,0
0.43273,0,0.036229,1,0.127649,0
0.360323,0.030782,0.143696,0,0.001537,1
0.128425,0.050513,0.129729,1,0.006876,1
0.43909,0,0.286232,1,0.002669,0
0.823386,0.017034,0.062303,0,0.015612,1
0.389922,0.124043,0.173256,1,0.002589,1
0.128669,0.161671,0.165658,1,0.001213,1
0.850294,0.082138,0.105527,1,0.002427,1
0.304795,0,0.000008,1,0.009869,0
0.850049,0.13259,0.222299,1,0.002427,1
0.01272,0.049868,0.169675,1,0.009384,1
0.772016,0.140105,0.148278,1,0.047727,1
0.835127,0.851148,0.876112,1,0.209189,1
0.407534,0.002866,0.028865,0,0.024511,0
0.423924,0,0.111785,1,0.118832,0
0.269569,0.090415,0.925306,0,0.004773,1
0.882094,0.344628,0.342908,1,0.053551,1
0.048434,0.449497,0.451969,1,0.006876,1
0.871331,0.126355,0.20701,1,0.00631,0
0.560665,0.200028,0.634665,0,0.003478,1
0.790851,0.122235,0.317559,1,0.007361,1
0.14775,0,0.175958,0,0.003317,0
0.994374,0.819864,0.857639,0,0.051367,1
0.462084,0.322981,0.499623,0,0.001052,1
0.903865,0,0.91126,0,0.001699,0
0.369374,0.100951,0.114265,1,0.026452,1
0.950098,0,0.215933,1,0.004287,0
0.574364,0.508027,0.50571,1,0.041983,1
0.386497,0.735536,0.752238,1,0.381734,1
0.527153,0,0.016234,1,0.042145,0
0.121575,0.026313,0.030534,0,0.024268,1
0.091487,0.037162,0.046442,0,0.02993,0
0.641389,0,0.913363,0,0.008898,0
0.606164,0,0.001863,0,0.000081,0
0.553571,0.275779,0.307574,0,0.033409,1
0.760274,0,0.083272,1,0.002427,0
0.196673,0.036448,0.208778,1,0.003074,1
0.430773,0.359122,0.375015,1,0.061641,1
0.964286,0,0.083301,0,0.000324,0
0.994129,0,0.083301,0,0.051367,0
0.646526,0,0.451778,1,0.045057,0
0.692515,0.257664,0.27407,1,0.019172,1
0.85274,0.097256,0.102951,0,0.01359,1
0.43273,0.540781,0.586175,1,0.133474,1
0.125245,0.146515,0.14606,0,0.000485,1
0.137476,0,0.021191,1,0.044896,0
0.594667,0.053569,0.107862,0,0.031791,1
0.630382,0.89106,0.886228,1,0.011649,1
0.983611,0.511492,0.700748,1,0.002346,1
0.283268,0,0.012935,1,0.007199,0
0.587818,0.368905,0.630572,1,0.005258,1
0.835127,0.004456,0.004674,1,0.200857,1
0.896526,0.190819,0.205188,1,0.015046,1
0.302593,0.083341,0.131088,1,0.004449,1
0.7341,0,0.031602,0,0.012134,0
0.4682,0.509769,0.536646,1,0.013914,0
0.732877,0.304285,0.305554,1,0.082592,1
0.608611,0.032847,0.137486,0,0.02354,1
0.464775,0.022222,0.095597,1,0.001456,1
0.587084,0.516114,0.522182,0,0.020385,1
0.717466,0.095225,0.107363,1,0.00631,1
0.398239,0.921972,0.923214,1,0.329882,1
0.22725,0.049549,0.12626,1,0.017473,1
0.177838,0.171221,0.171778,1,0.013428,1
0.746086,0,0.016799,0,0.000971,0
0.827055,0,0.126083,0,0.001213,0
0.779354,0.726418,0.735545,1,0.121259,1
0.794521,0,0.062303,0,0.029041,0
0.122065,0.127504,0.128153,0,0.267999,1
0.792319,0.026818,0.027745,0,0.098851,1
0.152886,0.060951,0.13407,1,0.000647,0
0.691536,0.212918,0.214576,0,0.018605,1
0.409736,0.418989,0.429213,1,0.045381,1
0.543297,0,0.090396,0,0.000809,0
0.620108,0.008656,0.01371,1,0.057272,1
0.78229,0.78484,0.901119,1,0.040447,1
0.960861,0,0.461721,0,0.000728,0
0.956458,0,0.083301,0,0.00089,0
0.863503,0.06286,0.076657,1,0.004206,1
0.54183,0.702045,0.902794,1,0.002589,1
0.334149,0.002466,0.002613,1,0.009464,1
0.647505,0.721795,0.723214,1,0.21736,1
0.337084,0,0.189539,0,0.032923,0
0.703767,0.405736,0.532402,1,0.018444,1
