@relation mw1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute c {FALSE,TRUE}

@data
0.176471,0.469388,0.08,0,0.119048,0.195122,0.666667,0.551282,0.222222,0.173913,0.08,0.076923,0.37594,0.136364,0,0.372727,0.166667,0.190815,0.558114,0.189157,0.218447,0.238688,0.030769,0.189157,0.217484,0.177083,0.173913,0.166667,0.296296,0.5,0.22335,0.25102,0.438095,0.634146,0.305389,0.122588,0.366972,FALSE
0.470588,0.653061,0.56,0,0.095238,0.682927,0.592593,0.333333,0.666667,0.202609,0.4,0.615385,0.691729,0.272727,0,0.563636,0,0.51013,0.276342,0.127212,0.281553,0.307692,0.076923,0.127212,0.280269,0.385417,0.695652,0.583333,0.703704,0.279412,0.324873,0.293878,0.590476,0.268293,0.48503,0.069176,0.559633,TRUE
0.058824,0.040816,0.08,0,0.119048,0.04878,0.037037,0.205128,0.055556,0.173913,0.04,1,0.06015,0,0,0.090909,0.333333,0.038233,0.179231,0.007278,0.024272,0.032805,0.123077,0.007278,0.021933,0.479167,0.043478,0.041667,0.064815,0.132353,0.027919,0.036735,0.057143,0.219512,0.095808,0.346,0.082569,FALSE
0,0,0.04,0,0,0,0,0.24359,0,0,0,1,0.022556,0,0,0.027273,0,0.045528,0.045622,0.001025,0.009709,0.015837,0.4,0.001026,0.007879,1,0,0,0.027778,0.235294,0.017766,0.014286,0.028571,0.02439,0.011976,0,0.018349,FALSE
0.470588,0.44898,0.4,0,0.190476,0.463415,0.407407,0.294872,0.444444,0.206957,0.32,0.725275,0.421053,0.272727,0,0.427273,0.166667,0.290705,0.319357,0.097785,0.18932,0.21267,0.061538,0.097784,0.188516,0.5625,0.478261,0.395833,0.416667,0.220588,0.22335,0.204082,0.457143,0.365854,0.419162,0.165176,0.422018,FALSE
0.264706,0.44898,0.04,0,0.309524,0.536585,0.407407,0.307692,0.611111,0.173913,0.04,0.087912,0.345865,0,0,0.418182,0,0.105252,1,0.352137,0.23301,0.272624,0,0.352137,0.231652,0.041667,0.478261,0.458333,0.324074,0.235294,0.291878,0.257143,0.285714,0.560976,0.401198,0.250706,0.412844,FALSE
0.088235,0.081633,0.08,0,0,0.097561,0.074074,0.282051,0.111111,0.173913,0.08,1,0.067669,0,0,0.1,0,0.070798,0.148381,0.007937,0.029126,0.041855,0.153846,0.007936,0.028472,0.302083,0.086957,0.083333,0.064815,0.25,0.045685,0.038776,0.095238,0.170732,0.077844,0,0.091743,FALSE
0.176471,0.122449,0.12,0,0.095238,0.146341,0.111111,0.307692,0.166667,0.173913,0.04,0.450549,0.105263,0,0,0.127273,0.5,0.118479,0.126657,0.009128,0.038835,0.053167,0.184615,0.009128,0.037728,0.21875,0.130435,0.125,0.101852,0.205882,0.045685,0.059184,0.12381,0.195122,0.137725,0.235294,0.119266,FALSE
0.029412,0,0.08,0,0,0,0,0.24359,0,0,0,1,0.015038,0,0,0.027273,0,0.035289,0.021725,0.000373,0.004854,0.007919,0.584615,0.000373,0.003953,1,0,0,0.018519,0.191176,0.007614,0.008163,0.019048,0.02439,0.017964,0,0.018349,FALSE
0.147059,0.040816,0.12,0,0.071429,0.04878,0.037037,0.115385,0.055556,0.173913,0.04,1,0.045113,0,0,0.172727,0.333333,0.128192,0.188355,0.018833,0.058252,0.076923,0.123077,0.018834,0.056728,0.479167,0.043478,0.041667,0.046296,0.088235,0.088832,0.067347,0.171429,0.195122,0.155689,0.147059,0.165138,FALSE
