@relation nursery-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute parents {usual,pretentious,great_pret}
@attribute has_nurs {proper,less_proper,improper,critical,very_crit}
@attribute form {complete,completed,incomplete,foster}
@attribute children {1,2,3,more}
@attribute housing {convenient,less_conv,critical}
@attribute finance {convenient,inconv}
@attribute social {nonprob,slightly_prob,problematic}
@attribute health {recommended,priority,not_recom}
@attribute class {not_recom,recommend,very_recom,priority,spec_prior}

@data
great_pret,proper,foster,3,convenient,convenient,slightly_prob,recommended,priority
usual,critical,foster,3,critical,convenient,nonprob,recommended,priority
great_pret,less_proper,complete,2,less_conv,inconv,problematic,recommended,priority
pretentious,very_crit,foster,more,critical,inconv,nonprob,not_recom,not_recom
usual,less_proper,completed,2,convenient,inconv,problematic,not_recom,not_recom
usual,less_proper,foster,2,critical,convenient,slightly_prob,recommended,priority
pretentious,less_proper,foster,1,critical,convenient,problematic,priority,priority
pretentious,less_proper,completed,more,critical,inconv,slightly_prob,recommended,priority
usual,proper,incomplete,2,convenient,inconv,slightly_prob,priority,priority
great_pret,less_proper,foster,3,less_conv,convenient,nonprob,not_recom,not_recom
great_pret,very_crit,completed,more,less_conv,inconv,nonprob,not_recom,not_recom
usual,very_crit,completed,2,critical,inconv,slightly_prob,not_recom,not_recom
usual,less_proper,foster,3,critical,inconv,slightly_prob,not_recom,not_recom
pretentious,proper,completed,2,less_conv,convenient,slightly_prob,priority,priority
great_pret,proper,complete,1,critical,inconv,slightly_prob,not_recom,not_recom
pretentious,less_proper,foster,2,less_conv,convenient,problematic,recommended,priority
great_pret,very_crit,foster,1,convenient,convenient,problematic,recommended,spec_prior
great_pret,improper,foster,2,convenient,convenient,nonprob,priority,spec_prior
great_pret,less_proper,completed,2,convenient,inconv,problematic,recommended,priority
usual,very_crit,incomplete,2,convenient,inconv,nonprob,recommended,spec_prior
usual,very_crit,incomplete,more,critical,inconv,problematic,not_recom,not_recom
great_pret,critical,complete,2,less_conv,inconv,problematic,not_recom,not_recom
pretentious,very_crit,incomplete,1,convenient,convenient,problematic,not_recom,not_recom
usual,less_proper,complete,1,critical,convenient,problematic,priority,priority
