@relation page-blocks-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute height numeric
@attribute lenght numeric
@attribute area numeric
@attribute eccen numeric
@attribute p_black numeric
@attribute p_and numeric
@attribute mean_tr numeric
@attribute blackpix numeric
@attribute blackand numeric
@attribute wb_trans numeric
@attribute class {1,2,3,4,5}

@data
0.012453,0.425725,0.017981,0.039941,0.318565,0.789979,0.000386,0.027658,0.045029,0.0981,1
0.012453,0.15942,0.006751,0.015054,0.124473,0.686567,0.000347,0.004817,0.014829,0.018686,1
0.009963,0.065217,0.002264,0.007643,0.261603,0.673774,0.000202,0.002817,0.004856,0.01526,1
0.009963,0.416667,0.01439,0.047785,0.151899,0.613006,0.000099,0.012118,0.028552,0.08502,1
0.007472,0.061594,0.001653,0.009298,0.203586,0.791045,0.000073,0.001606,0.004119,0.013391,1
0.007472,0.005435,0.000146,0.00105,0.208861,0.847548,0.000268,0,0.000369,0.000623,1
0.006227,0.168478,0.003868,0.029162,0.24789,0.69403,0.000293,0.004696,0.008563,0.020243,1
0.007472,0.059783,0.001604,0.009032,0.233122,0.556503,0.000111,0.001757,0.002862,0.012769,1
0.008717,0.057971,0.001785,0.007669,0.320675,0.685501,0.000202,0.002636,0.003881,0.014326,1
0.006227,0.019928,0.000451,0.003711,0.091772,0.481876,0.000087,0.000091,0.00065,0.001869,5
0.004981,0.056159,0.001063,0.011905,0.373418,1,0.000083,0.001757,0.003317,0.014014,1
0.007472,0.152174,0.004084,0.0226,0.147679,0.860341,0.000061,0.003241,0.011057,0.027094,1
0.011208,0.48913,0.018773,0.050453,0.122363,0.586354,0.000059,0.013541,0.035815,0.109,1
0.009963,0.028986,0.001014,0.003505,0.097046,0.422175,0.000432,0.000454,0.001366,0.001869,5
0.011208,0.03442,0.00134,0.003711,0.588608,0.834755,0.001439,0.003484,0.003512,0.00436,1
0.004981,0.601449,0.011515,0.124011,0.339662,0.3742,0.007196,0.018661,0.014764,0.004983,2
0.008717,0.023551,0.000729,0.003246,0.397679,1,0.000283,0.001242,0.002276,0.005917,1
0.008717,0.028986,0.000896,0.003944,0.310127,1,0.000297,0.001212,0.002797,0.005606,1
0.007472,0.067029,0.001799,0.010097,0.290084,0.947761,0.000077,0.002424,0.005333,0.019309,1
0.008717,0.032609,0.001007,0.00441,0.333333,0.684435,0.000268,0.001484,0.002168,0.007163,1
0.011208,0.213768,0.008216,0.022147,0.158228,0.831557,0.000119,0.007058,0.021571,0.046714,1
0.011208,0.068841,0.00266,0.00725,0.256329,0.901919,0.00022,0.003272,0.007523,0.016817,1
0.009963,0.146739,0.005077,0.016954,0.21097,0.722814,0.000202,0.005423,0.011685,0.028652,1
0.001245,0.75,0.005716,0.386398,0.477848,0.550107,0.003181,0.012481,0.010255,0.007474,2
0.011208,0.012681,0.000507,0.001477,0.472574,1,0.000807,0.001,0.001583,0.00218,1
0.008717,0.143116,0.004396,0.018609,0.152954,0.753731,0.000097,0.003605,0.010515,0.02616,1
0.008717,0.166667,0.005119,0.021635,0.28692,0.824094,0.0002,0.007089,0.013311,0.037372,1
0.008717,0.012681,0.000396,0.001849,0.407173,1,0.000268,0.000636,0.001236,0.003426,1
0.011208,0.172101,0.006619,0.017864,0.386076,0.878465,0.000301,0.011936,0.018298,0.049829,1
0.006227,0.028986,0.00066,0.005263,0.255274,0.853945,0.00003,0.000697,0.001756,0.007786,1
0.007472,0.059783,0.001604,0.009032,0.21097,1,0.000087,0.001606,0.005008,0.012769,1
0.006227,0.027174,0.000618,0.004954,0.154008,0.744136,0.000279,0.000364,0.001431,0.00218,1
0.011208,0.224638,0.008633,0.023265,0.14557,0.49467,0.000079,0.006968,0.014092,0.052632,1
0.012453,0.155797,0.006598,0.014715,0.212025,0.639659,0.00018,0.007119,0.013593,0.039552,1
0.009963,0.105072,0.003639,0.012196,0.298523,0.809168,0.000194,0.00518,0.009301,0.028029,1
0.009963,0.199275,0.00689,0.022954,0.175105,0.797441,0.000141,0.006392,0.017387,0.039552,1
