@relation PC1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute loc numeric
@attribute v(g) numeric
@attribute ev(g) numeric
@attribute iv(G) numeric
@attribute N numeric
@attribute V numeric
@attribute L numeric
@attribute D numeric
@attribute I numeric
@attribute E numeric
@attribute B numeric
@attribute T numeric
@attribute lOCode numeric
@attribute lOComment numeric
@attribute locCodeAndComment numeric
@attribute lOBlank numeric
@attribute uniq_Op numeric
@attribute uniq_Opnd numeric
@attribute total_Op numeric
@attribute total_Opnd numeric
@attribute branchCount numeric
@attribute defects {false,true}

@data
0.011628,0.014815,0,0.016393,0.015445,0.007563,0.04,0.046553,0.026022,0.000578,0.008092,0.000578,0.011667,0,0,0,0.112245,0.018587,0.013415,0.018357,0.017021,false
0.069767,0.037037,0,0.016393,0.086566,0.053432,0.015,0.14291,0.0599,0.012527,0.053179,0.012527,0.066667,0.100629,0.041667,0.062222,0.214286,0.057621,0.080488,0.09528,0.042553,false
0.0299,0.02963,0,0.008197,0.032687,0.017569,0.035,0.052021,0.054084,0.0015,0.017341,0.0015,0.03,0,0,0.013333,0.122449,0.033457,0.031707,0.034091,0.034043,false
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0.066445,0.044444,0,0.016393,0.118175,0.077163,0.015,0.12185,0.101449,0.015426,0.077457,0.015426,0.066667,0.113208,0,0.044444,0.193878,0.087361,0.106098,0.13549,0.046809,false
0.023256,0.014815,0,0,0.013649,0.006981,0.08,0.023239,0.048151,0.000266,0.006936,0.000266,0.023333,0.006289,0,0.031111,0.102041,0.026022,0.013415,0.013986,0.017021,false
0.034884,0.02963,0,0.032787,0.054239,0.032897,0.035,0.052834,0.099728,0.002852,0.03237,0.002852,0.035,0.295597,0,0.017778,0.153061,0.061338,0.056098,0.051573,0.034043,false
0.011628,0,0,0,0.009698,0.004412,0.12,0.015518,0.045543,0.000112,0.004624,0.000112,0.011667,0.056604,0,0.026667,0.061224,0.018587,0.009146,0.01049,0,false
0.019934,0.022222,0,0.008197,0.023348,0.01223,0.025,0.076369,0.025655,0.001532,0.012717,0.001532,0.02,0,0,0,0.153061,0.022305,0.020732,0.027098,0.025532,false
0.008306,0,0,0,0.005747,0.00184,0.125,0.014779,0.019939,0.000045,0.002312,0.000045,0.008333,0,0,0,0.030612,0.005576,0.006098,0.005245,0,false
0.109635,0.2,0.172131,0.131148,0.131106,0.090897,0.01,0.170879,0.085204,0.025487,0.091329,0.025487,0.11,0.044025,0,0.035556,0.316327,0.10223,0.12561,0.138986,0.217021,false
0.04485,0.014815,0,0.016393,0.039152,0.021389,0.04,0.045408,0.075477,0.001593,0.020809,0.001593,0.045,0.006289,0,0.017778,0.112245,0.039033,0.040244,0.037587,0.017021,false
0.026578,0.044444,0.04918,0.016393,0.034483,0.016423,0.025,0.081283,0.032373,0.00219,0.016185,0.00219,0.026667,0.012579,0,0.035556,0.102041,0.018587,0.034146,0.034965,0.051064,false
0.023256,0.014815,0.016393,0.008197,0.013649,0.006981,0.06,0.032033,0.034931,0.000367,0.006936,0.000367,0.023333,0,0,0.013333,0.122449,0.022305,0.013415,0.013986,0.017021,false
0.009967,0,0,0,0.009698,0.004217,0.09,0.021023,0.032139,0.000145,0.004624,0.000145,0.006667,0,0.041667,0.013333,0.061224,0.01487,0.008537,0.011364,0,false
0.066445,0.059259,0,0.032787,0.088362,0.058159,0.015,0.115459,0.080691,0.011017,0.057803,0.011017,0.066667,0.018868,0,0.075556,0.244898,0.081784,0.082927,0.096154,0.068085,false
0.028239,0.014815,0,0,0.014009,0.006975,0.055,0.032254,0.034646,0.000369,0.006936,0.000369,0.028333,0.044025,0,0.022222,0.112245,0.020446,0.014024,0.013986,0.017021,false
0.043189,0.02963,0,0.032787,0.030532,0.01776,0.045,0.039422,0.072151,0.001149,0.017341,0.001149,0.043333,0.113208,0,0.062222,0.142857,0.048327,0.029268,0.032343,0.034043,false
0.031561,0.022222,0,0.02459,0.032328,0.017992,0.04,0.048031,0.06,0.001418,0.018497,0.001418,0.031667,0,0,0.048889,0.132653,0.039033,0.031098,0.034091,0.025532,false
0.028239,0.044444,0,0.016393,0.039511,0.01987,0.015,0.146863,0.021677,0.004788,0.019653,0.004788,0.028333,0.006289,0,0.004444,0.142857,0.018587,0.034756,0.046329,0.051064,false
0.011628,0.007407,0,0,0.011494,0.005403,0.06,0.030777,0.028112,0.000273,0.00578,0.000273,0.011667,0.006289,0,0,0.091837,0.016729,0.010366,0.013112,0.008511,false
0.83887,0.777778,0.327869,0.663934,0.839799,0.797794,0.005,0.280536,0.455568,0.367206,0.797688,0.367206,0.761667,0.446541,1,0.217778,0.642857,0.737918,0.85122,0.823427,0.753191,true
0.016611,0.007407,0,0,0.014368,0.00646,0.055,0.032846,0.031504,0.000348,0.006936,0.000348,0.015,0.018868,0.020833,0.017778,0.071429,0.016729,0.012195,0.017483,0.008511,false
0.006645,0,0,0,0.00431,0.001589,0.21,0.008867,0.028697,0.000023,0.001156,0.000023,0.006667,0.012579,0,0.004444,0.030612,0.009294,0.003659,0.005245,0,false
0.038206,0.044444,0.04918,0.02459,0.025144,0.013295,0.04,0.043523,0.048936,0.00095,0.012717,0.000949,0.038333,0.075472,0,0.022222,0.122449,0.02974,0.025,0.02535,0.051064,false
0.016611,0.02963,0.032787,0.032787,0.015805,0.008055,0.03,0.059115,0.021827,0.000781,0.008092,0.000781,0.016667,0.012579,0,0.004444,0.153061,0.016729,0.015854,0.015734,0.034043,false
0.013289,0,0,0,0.019756,0.009626,0.05,0.036947,0.041733,0.000584,0.009249,0.000584,0.013333,0.012579,0,0.008889,0.091837,0.022305,0.018902,0.020979,0,false
0.016611,0.044444,0,0.016393,0.02227,0.011415,0.025,0.079805,0.022914,0.001495,0.011561,0.001495,0.016667,0,0,0.004444,0.153061,0.018587,0.021341,0.023601,0.051064,false
0.004983,0,0,0,0.002874,0.001041,0.15,0.012303,0.013538,0.000021,0.001156,0.000021,0.005,0,0,0,0.040816,0.005576,0.002439,0.003497,0,false
