@relation pc2-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute c {FALSE,TRUE}

@data
0,0,0.001792,0,0.007018,0,0.246231,0.007042,0.285714,0,1,0,0,0,0.009524,0.153846,0.009569,0.016866,0.000048,0.001812,0.00392,0.165,0.000048,0.00145,1,0.006993,0.007018,0,0.083333,0.002372,0.005008,0.008163,0.068182,0.003871,0.504643,0.003017,FALSE
0.013986,0.054054,0.016129,0.009009,0.014035,0.013986,0.120603,0.014085,0.285714,0.017544,1,0.021157,0,0,0.028571,0.076923,0.015981,0.10086,0.002856,0.014493,0.024988,0.03,0.002856,0.014485,0.316327,0.013986,0.014035,0.022968,0.066667,0.022539,0.026711,0.036735,0.193182,0.018065,0.776342,0.0181,FALSE
0,0.013514,0.001792,0,0,0,0.246231,0,0,0,1,0.00141,0,0,0.009524,0.307692,0.021519,0.014055,0.000075,0.001812,0.006369,0.2,0.000075,0.002717,1,0,0,0.001767,0.056667,0.007117,0.005843,0.02449,0.056818,0.006452,0.504643,0.003017,FALSE
0,0,0.001792,0,0,0,0.246231,0,0,0,1,0,0,0,0.009524,0,0.006376,0.008433,0.000008,0,0.00196,0.335,0.000008,0.000483,1,0,0,0,0.083333,0.001186,0.002504,0.004082,0.034091,0.003871,0.504643,0.003017,FALSE
0,0.013514,0.001792,0,0,0,0.246231,0,0,0,1,0.00141,0,0,0.009524,0.153846,0.009402,0.014055,0.000033,0.001812,0.00343,0.2,0.000033,0.001187,1,0,0,0.001767,0.083333,0.002372,0.004174,0.008163,0.056818,0.003871,0.504643,0.003017,FALSE
0,0.013514,0.003584,0,0,0,0.160804,0,0,0,1,0.00141,0,0,0.009524,0.076923,0.010837,0.019677,0.000074,0.001812,0.0049,0.145,0.000074,0.001915,1,0,0,0.001767,0.066667,0.002372,0.006678,0.008163,0.079545,0.005161,0.672891,0.004525,FALSE
0,0.013514,0.001792,0,0,0,0.246231,0,0,0,1,0.00141,0,0,0.009524,0,0.009402,0.014055,0.000033,0.001812,0.00343,0.2,0.000033,0.001187,1,0,0,0.001767,0.083333,0.002372,0.004174,0.008163,0.056818,0.003871,0.504643,0.003017,FALSE
0,0,0.001792,0,0,0,0.246231,0,0,0,1,0,0,0,0.009524,0,0.006938,0.011244,0.000015,0,0.00245,0.25,0.000015,0.000702,1,0,0,0,0.083333,0.001186,0.003339,0.004082,0.045455,0.003871,0.504643,0.003017,FALSE
0,0,0.001792,0,0,0,0.246231,0,0,0,1,0,0,0,0.009524,0.076923,0.009258,0.008433,0.000012,0,0.00245,0.335,0.000012,0.000702,1,0,0,0,0.083333,0.002372,0.002504,0.008163,0.034091,0.003871,0.504643,0.003017,FALSE
0.006993,0.027027,0.003584,0,0.007018,0.006993,0.331658,0.007042,0.285714,0.008772,1,0.009873,0,0,0.009524,0,0.007369,0.059988,0.000465,0.003623,0.009309,0.045,0.000465,0.003972,0.489796,0.006993,0.007018,0.010601,0.133333,0.00949,0.009182,0.012245,0.090909,0.005161,0.672891,0.004525,FALSE
0,0,0,0,0,0,0.497487,0,0,0,1,0,0,0,0,0.153846,0,0,0,0,0.00098,0,0,0.000121,1,0,0,0,0.333333,0.002372,0,0.008163,0,0,0,0,FALSE
0,0.013514,0,0,0,0,0.497487,0,0,0,1,0.00141,0,0,0,0.153846,0.011483,0.014055,0.00004,0.001812,0.00392,0.2,0.00004,0.00145,1,0,0,0.001767,0.333333,0.003559,0.004174,0.012245,0.056818,0,0,0,FALSE
0,0.081081,0.014337,0,0,0,0.050251,0,0,0,1,0.008463,0,0,0.009524,0,0.042776,0.05459,0.002236,0.021739,0.035767,0.05,0.002237,0.020974,1,0,0,0.010601,0.03,0.039146,0.033389,0.069388,0.113636,0.012903,0.897154,0.013575,FALSE
0,0.013514,0,0,0,0,0.497487,0,0,0,1,0.00141,0,0,0.009524,0.153846,0,0,0,0,0.00098,0,0,0.000121,1,0,0,0.001767,0.166667,0.002372,0,0.008163,0,0.00129,0,0.001508,FALSE
0,0.013514,0.001792,0,0,0,0.246231,0,0,0,1,0.00141,0,0,0.009524,0.076923,0.009402,0.014055,0.000033,0.001812,0.00343,0.2,0.000033,0.001187,1,0,0,0.001767,0.083333,0.002372,0.004174,0.008163,0.056818,0.003871,0.504643,0.003017,FALSE
0.027972,0.013514,0.02509,0.027027,0.02807,0.027972,0.140704,0.028169,0.285714,0.026316,0.784946,0.023977,0,0,0.028571,0,0.028804,0.046832,0.00111,0.012681,0.022048,0.06,0.00111,0.012125,0.183673,0.027972,0.02807,0.022968,0.076667,0.023725,0.020868,0.04898,0.113636,0.027097,0.857893,0.025641,TRUE
0.013986,0.013514,0.012545,0,0.014035,0.013986,0.160804,0.014085,0.285714,0,0.27957,0.015515,0,0,0.019048,0.153846,0.015395,0.049193,0.000654,0.007246,0.013229,0.055,0.000654,0.006803,0.316327,0.013986,0.014035,0.015901,0.09,0.016607,0.010851,0.032653,0.113636,0.012903,0.785022,0.013575,FALSE
0,0.013514,0.003584,0,0,0,0.160804,0,0,0,1,0.00141,0,0,0.009524,0.076923,0.009402,0.014055,0.000033,0.001812,0.00343,0.2,0.000033,0.001187,1,0,0,0.001767,0.083333,0.002372,0.004174,0.008163,0.056818,0.003871,0.672891,0.004525,FALSE
0,0,0.001792,0,0,0,0.246231,0,0,0,1,0,0,0,0.009524,0.076923,0.009258,0.008433,0.000012,0,0.00245,0.335,0.000012,0.000702,1,0,0,0,0.083333,0.002372,0.002504,0.008163,0.034091,0.003871,0.504643,0.003017,FALSE
0.020979,0,0.073477,0.045045,0.021053,0.020979,0.040201,0.021127,0.285714,0,0.193548,0.021157,0,0,0.028571,0.153846,0.032177,0.6751,0.257473,0.195652,0.349829,0.005,0.257473,0.195161,0.234694,0.020979,0.021053,0.021201,0.026667,0.310795,0.377295,0.04898,0.125,0.064516,0.947517,0.066365,FALSE
0,0.013514,0.003584,0,0,0,0.120603,0,0,0,1,0.00141,0,0,0.019048,0,0.008613,0.014055,0.00003,0.001812,0.00441,0.2,0.00003,0.001088,1,0,0,0.001767,0.056667,0.005931,0.003339,0.008163,0.022727,0.006452,0.504643,0.006033,FALSE
0,0.027027,0.001792,0,0,0,0.246231,0,0,0,1,0.002821,0,0,0.009524,0.076923,0.013433,0.011244,0.00003,0.001812,0.00392,0.25,0.00003,0.001357,1,0,0,0.003534,0.083333,0.003559,0.004174,0.012245,0.045455,0.003871,0.504643,0.003017,FALSE
0,0,0.001792,0.009009,0,0,0.246231,0,0,0,1,0,0,0,0.009524,0,0.007416,0.014055,0.000026,0.001812,0.00294,0.2,0.000026,0.000937,1,0,0,0,0.066667,0.001186,0.004174,0.004082,0.056818,0.005161,0.672891,0.003017,FALSE
0.006993,0.027027,0.007168,0,0.007018,0.006993,0.19598,0.007042,0.285714,0.008772,1,0.008463,0,0,0.009524,0.153846,0.016591,0.026255,0.000201,0.003623,0.008329,0.105,0.000201,0.003911,0.489796,0.006993,0.007018,0.008834,0.096667,0.008304,0.008347,0.02449,0.090909,0.007742,0.807428,0.007541,FALSE
0.013986,0.094595,0.019713,0,0.014035,0.013986,0.095477,0.014085,0.285714,0.017544,1,0.018336,0.01626,1,0.038095,0.153846,0.016125,0.09372,0.002486,0.012681,0.024008,0.03,0.002486,0.013575,1,0.013986,0.014035,0.019435,0.06,0.023725,0.024207,0.036735,0.170455,0.020645,0.740109,0.022624,FALSE
0,0.013514,0,0,0,0,0.497487,0,0,0,1,0.00141,0,0,0,0.076923,0.004785,0.002811,0.000001,0,0.00098,1,0.000001,0.000121,1,0,0,0.001767,0.333333,0.001186,0.000835,0.004082,0.011364,0,0,0,FALSE
0,0.027027,0,0,0,0,0.497487,0,0,0,1,0.002821,0,0,0,0,0.013433,0.011244,0.00003,0.001812,0.00392,0.25,0.00003,0.001357,1,0,0,0.003534,0.333333,0.003559,0.004174,0.012245,0.045455,0,0,0,FALSE
0,0,0.001792,0,0,0,0.246231,0,0,0,1,0,0,0,0.009524,0,0.006376,0.008433,0.000008,0,0.00196,0.335,0.000008,0.000483,1,0,0,0,0.083333,0.001186,0.002504,0.004082,0.034091,0.003871,0.504643,0.003017,FALSE
0.006993,0.013514,0,0,0.007018,0.006993,0.497487,0.007042,0.285714,0,0.462366,0.008463,0,0,0,0.153846,0.011806,0.04329,0.000388,0.005435,0.009309,0.065,0.000388,0.004592,0.489796,0.006993,0.007018,0.008834,0.666667,0.008304,0.010017,0.020408,0.125,0,0,0,FALSE
0,0,0,0,0,0,0.497487,0,0,0,1,0,0,0,0,0,0.006376,0.008433,0.000008,0,0.00196,0.335,0.000008,0.000483,1,0,0,0,0.333333,0.001186,0.002504,0.004082,0.034091,0,0,0,FALSE
0,0.027027,0.001792,0,0,0,0.246231,0,0,0,1,0.002821,0,0,0.009524,0,0.010718,0.033733,0.000214,0.003623,0.007349,0.085,0.000214,0.003249,1,0,0,0.003534,0.083333,0.004745,0.009182,0.012245,0.102273,0.003871,0.504643,0.003017,FALSE
0.006993,0.013514,0,0,0.007018,0.006993,0.497487,0.007042,0.285714,0.008772,1,0.007052,0,0,0,0.076923,0.009306,0.029966,0.000147,0.001812,0.005879,0.095,0.000147,0.002508,0.489796,0.006993,0.007018,0.007067,0.333333,0.004745,0.006678,0.012245,0.090909,0.00129,0,0,FALSE
