@relation pc3-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute c {FALSE,TRUE}

@data
0.220779,0,0.291667,0,0.282051,0,0,0.056911,0,0,0,1,0.00556,0,0,0.015912,0,0.029111,0.017785,0.000088,0.002262,0.00479,0.1,0.000088,0.002407,1,0,0,0.007284,0.005025,0.004981,0.004652,0.022872,0.119403,0.058427,0.669151,0.015912,FALSE
0,0,0,0,0,0,0,0.260163,0,0,0,1,0,0,0,0.003672,0.142857,0.007835,0.014228,0.000015,0.000646,0.001249,0.125,0.000015,0.000518,1,0,0,0,0.120603,0.001245,0.001252,0.006353,0.104478,0.003371,0,0.003672,FALSE
0.012987,0.010204,0,0,0,0.010453,0.010067,0.113821,0.010526,0.4,0,0.234694,0.010326,0,0,0.031824,0.142857,0.030694,0.07669,0.001718,0.010985,0.019159,0.025,0.001718,0.010944,0.234694,0.010381,0.010453,0.010406,0.065327,0.014695,0.022365,0.033037,0.268657,0.030337,0,0.031824,FALSE
0.233766,0.017007,0.166667,0.142857,0.089744,0.015679,0.016779,0.162602,0.014035,0.45,0.057143,0.826531,0.017474,0.043478,0.6,0.028152,0.142857,0.028226,0.052147,0.00073,0.006785,0.01187,0.035,0.00073,0.006842,0.663265,0.017301,0.015679,0.01769,0.050251,0.012453,0.011451,0.036849,0.238806,0.060674,0.384394,0.035496,TRUE
0,0,0,0,0,0,0,0.260163,0,0,0,1,0,0,0,0.003672,0.142857,0.006402,0.007114,0.000003,0.000323,0.000625,0.25,0.000003,0.000212,1,0,0,0,0.120603,0.000747,0.000537,0.003812,0.044776,0.003371,0,0.003672,FALSE
0,0.003401,0,0,0,0.003484,0.003356,0.138211,0.003509,0.4,0,0.489796,0.003971,0,0,0.013464,0.142857,0.010817,0.010671,0.000012,0.000646,0.001458,0.165,0.000012,0.000537,0.489796,0.00346,0.003484,0.004162,0.080402,0.000996,0.001789,0.005083,0.074627,0.01236,0,0.013464,FALSE
0,0.003401,0,0,0,0.005226,0.003356,0.536585,0.003509,0.6,0,0.489796,0.003177,0,0,0.003672,0,0.006695,0.01558,0.000015,0.000323,0.001249,0.115,0.000015,0.000484,0.489796,0.00692,0.005226,0.003122,0.246231,0.001245,0.001252,0.005083,0.089552,0.003371,0,0.003672,FALSE
0.012987,0.006803,0.041667,0,0,0.006969,0.006711,0.235772,0.007018,0.4,0.028571,1,0.008737,0,0,0.01224,0.285714,0.009521,0.032618,0.000096,0.001292,0.003124,0.055,0.000096,0.001443,0.316327,0.00692,0.006969,0.009365,0.120603,0.003736,0.002684,0.011436,0.149254,0.01236,0,0.01224,FALSE
0.090909,0,0.125,0,0.205128,0,0,0.097561,0,0,0,1,0.002383,0,0,0.009792,0.285714,0.023406,0.008893,0.000018,0.000969,0.002291,0.2,0.000018,0.000968,1,0,0,0.003122,0.01005,0.002491,0.002147,0.012706,0.059701,0.034831,0.709708,0.009792,FALSE
0.012987,0.013605,0.041667,0,0,0.013937,0.013423,0.357724,0.014035,0.4,0.028571,0.591837,0.013503,0,0,0.013464,0.285714,0.010498,0.050866,0.000259,0.002585,0.005206,0.035,0.000259,0.002485,0.183673,0.013841,0.013937,0.013528,0.18593,0.005479,0.00501,0.012706,0.179104,0.013483,0,0.013464,FALSE
