@relation pendigits-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute input1 numeric
@attribute input2 numeric
@attribute input3 numeric
@attribute input4 numeric
@attribute input5 numeric
@attribute input6 numeric
@attribute input7 numeric
@attribute input8 numeric
@attribute input9 numeric
@attribute input10 numeric
@attribute input11 numeric
@attribute input12 numeric
@attribute input13 numeric
@attribute input14 numeric
@attribute input15 numeric
@attribute input16 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
0.26,0.73,0,0.48,0.18,0.07,0.67,0,1,0.3,0.87,0.73,0.48,1,0.13,0.75,0
0.35,1,0.73,1,0.19,0.87,0.1,0.53,0.73,0.47,1,0.16,0.46,0,0,0.19,5
0,0.44,0.37,0.59,0.71,0.78,1,1,0.88,0.82,0.7,0.55,0.55,0.28,0.43,0,1
1,0.72,0.77,1,0.2,0.74,0.71,0.56,0.94,0.81,0.95,0.39,0.65,0,0,0,9
0,0.89,0.5,1,0.85,0.78,0.7,0.39,0.56,0,0.3,0.13,0.43,0.35,1,0.45,7
0,0.99,0.59,1,0.72,0.82,0.47,0.42,0.49,0,0.06,0.3,0.35,0.39,1,0.45,7
0,0.89,0.36,1,0.58,0.72,0.54,0.36,0.56,0,0.28,0.11,0.48,0.27,1,0.3,7
0.19,0.93,0.66,1,0.78,0.78,0.41,0.58,0.63,0.41,1,0.23,0.53,0.09,0,0,3
0.34,0.91,0,0.72,0.05,0.22,0.45,0,0.9,0.16,1,0.63,0.69,1,0.24,0.91,0
0.39,0.83,0.58,1,1,0.9,0.8,0.63,0.94,0.37,0.8,0.09,0.35,0,0,0.17,3
0.32,1,0,0.7,0.77,0.67,0.6,0.95,0.6,0.86,0.97,0.52,1,0.13,0.19,0,9
0.13,0.95,0.71,1,0.93,0.71,0.54,0.42,0.94,0.42,1,0.12,0.43,0,0,0.2,3
1,1,0.76,0.97,0.44,0.7,0.16,0.4,0,0.06,0.34,0,0.43,0.31,0.09,0.32,6
0.17,1,0,0.81,0.02,0.62,0.42,0.46,1,0.52,0.79,0.39,0.77,0.19,0.89,0,4
0.16,0.96,0,0.59,0.34,0.22,1,0.3,0.74,0.77,0.49,1,0.46,0.5,0.4,0,4
0,0.82,0.35,1,0.58,0.85,0.42,0.57,0.21,0.29,0.15,0,0.58,0.02,1,0.11,2
0.23,0.87,0.57,1,0.66,0.72,0.56,0.6,0.98,0.4,1,0.08,0.46,0,0,0.15,3
0.55,0.83,1,1,0.88,0.92,0.4,0.78,0.24,0.43,0.68,0.31,0.48,0.05,0,0,5
0.51,1,0.07,0.78,0.57,0.64,0.87,0.92,0.86,0.7,1,0.31,0.61,0.04,0,0,9
0.62,0.95,0.12,0.76,0.74,0.39,1,0,0.21,0.06,0.3,0.57,0.65,1,0,0.66,8
0.74,1,0.72,0.59,0.16,0.57,0.45,0.95,0.96,0.84,1,0.36,0.61,0,0,0.03,9
0.78,1,0.36,0.78,0.06,0.4,0.13,0,0.71,0.01,1,0.35,0.43,0.28,0,0.03,6
0.6,0.63,1,0.84,0.55,1,0,0.78,0.4,0.68,0.98,0.6,0.73,0.28,0.32,0,9
0.96,1,0.7,1,0.35,0.8,0.57,0.6,1,0.46,0.9,0.13,0.46,0,0,0.08,5
1,1,0.6,0.87,0.3,0.59,0,0.38,0.51,0.31,0.84,0.54,0.71,0.32,0.74,0,4
1,1,0.7,0.89,0.52,0.75,0.39,0.61,0.25,0.45,0.11,0.31,0.02,0.15,0,0,1
0,0.8,0.58,1,1,0.81,0.62,0.44,0.26,0.05,0.3,0,0.08,0.35,0.75,0.34,7
0.13,0.78,0.49,1,0.65,0.76,0.38,0.48,0.04,0.23,0,0.09,0.54,0.14,1,0,2
1,0.89,0.52,1,0.25,0.71,0.45,0.34,0.38,0,0,0.17,0.34,0.47,0.76,0.71,8
0.71,0.76,0.34,1,0,0.72,0.08,0.31,0.42,0,0.86,0.15,1,0.56,0.88,0.96,0
