@relation segment-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute region-centroid-col numeric
@attribute region-centroid-row numeric
@attribute region-pixel-count numeric
@attribute short-line-density-5 numeric
@attribute short-line-density-2 numeric
@attribute vedge-mean numeric
@attribute vegde-sd numeric
@attribute hedge-mean numeric
@attribute hedge-sd numeric
@attribute intensity-mean numeric
@attribute rawred-mean numeric
@attribute rawblue-mean numeric
@attribute rawgreen-mean numeric
@attribute exred-mean numeric
@attribute exblue-mean numeric
@attribute exgreen-mean numeric
@attribute value-mean numeric
@attribute saturation-mean numeric
@attribute hue-mean numeric
@attribute class {brickface,sky,foliage,cement,window,path,grass}

@data
0.731225,0.070833,0,0,0,0.032319,0.000393,0.032298,0.000933,0.854124,0.809563,0.919,0.826966,0.253731,0.644705,0.341556,0.919,0.199513,0.11587,sky
0.26087,0.208333,0,0,0,0.036122,0.000512,0.018634,0.000281,0.165505,0.165316,0.20324,0.125487,0.779851,0.351765,0.278937,0.20324,0.415751,0.225507,brickface
0.940711,0.4625,0,0,0,0.009506,0.000063,0.007453,0.000128,0.03873,0.051054,0.044183,0.021044,0.906716,0.167058,0.447818,0.047864,0.581349,0.350993,brickface
0.98419,0.620833,0,0,0,0.072243,0.001195,0.034783,0.001977,0.298477,0.265802,0.366715,0.257209,0.51306,0.529412,0.263758,0.366715,0.347142,0.158119,path
0.980237,0.316667,0,0,0,0.492396,0.329996,0.299379,0.044736,0.221018,0.205835,0.261413,0.192517,0.658583,0.377647,0.360531,0.261413,0.312482,0.17305,cement
0.44664,0.558333,0,0.333333,0,0.074145,0.001323,0.02236,0.000504,0.426028,0.382496,0.508836,0.379578,0.397388,0.629412,0.220114,0.508836,0.31714,0.147403,cement
0.513834,0.3125,0,0,0,0.047529,0.001229,0.037267,0.001859,0.169378,0.171799,0.207658,0.126266,0.796642,0.355294,0.256167,0.207658,0.424597,0.233913,brickface
0.245059,0.870833,0,0,0,0.104563,0.01539,0.081988,0.004392,0.057062,0.047812,0.04271,0.08106,0.751866,0.07647,0.751423,0.076583,0.486717,0.862451,grass
0.833992,0.154167,0,0,0,0.019011,0.000254,0.012422,0.000053,0.853086,0.818476,0.915315,0.819173,0.322762,0.631764,0.29222,0.915315,0.187362,0.128525,sky
0.964427,0.279167,0,0.333333,0,0.064639,0.001016,0.090683,0.004085,0.210432,0.183144,0.267304,0.176149,0.578359,0.454117,0.318786,0.267304,0.392034,0.164099,cement
0.920949,0.6375,0,0,0,0.01711,0.000213,0.067081,0.005803,0.095276,0.085089,0.099411,0.100545,0.733209,0.174117,0.612903,0.111929,0.29915,0.993728,grass
0.675889,0.204167,0,0,0,0.028517,0.000392,0.023603,0.000238,0.862127,0.831443,0.916787,0.832424,0.347015,0.597647,0.322581,0.916787,0.175844,0.126042,sky
0.648221,0.366667,0,0,0,0.030418,0.000478,0.017391,0.000342,0.651177,0.576176,0.782032,0.583786,0.10821,0.912941,0.056925,0.782032,0.330418,0.140418,sky
0.272727,0.1125,0,0,0,0.041825,0.000274,0.02236,0.000548,0.404339,0.364668,0.492636,0.348401,0.43097,0.650588,0.151803,0.492636,0.336015,0.162118,cement
0.197628,0.433333,0,0,0,0.022814,0.000493,0.031056,0.000494,0.018848,0.004052,0.037555,0.01325,0.725746,0.225882,0.537002,0.037555,0.917989,0.11513,foliage
0.565217,0.658333,0,0,0,0.038023,0.000786,0.031056,0.000536,0.119288,0.098055,0.119293,0.139516,0.649254,0.16,0.721062,0.131811,0.324965,0.986962,grass
0.490119,0.145833,0,0.333333,0,0.020912,0.000617,0.048447,0.000564,0.868325,0.822531,0.934462,0.840996,0.240673,0.654117,0.339658,0.934462,0.200124,0.115247,sky
0.110672,0.475,0,0,0,0.013308,0.000063,0.014907,0.000128,0.040795,0.052674,0.045655,0.024162,0.902985,0.164705,0.455408,0.048601,0.529762,0.352531,brickface
0.656126,0.745833,0,0,0,0.104563,0.000861,0.113044,0.002008,0.356056,0.327391,0.418998,0.316445,0.522388,0.517646,0.273245,0.418998,0.298958,0.156378,path
0.245059,0.6125,0,0.333333,0,0.034221,0.001063,0.042236,0.000933,0.154661,0.119935,0.147275,0.195635,0.544777,0.132941,0.870967,0.184831,0.411811,0.951689,grass
0.44664,0.379167,0,0,0,0.038023,0.00124,0.026087,0.000633,0.028144,0.007293,0.055965,0.018706,0.68097,0.271764,0.508539,0.055965,0.891218,0.122228,foliage
0.288538,0.491667,0,0,0,0.007605,0.00003,0.002484,0.000021,0.003615,0,0.010309,0,0.807836,0.164705,0.552182,0.010309,1,0.159448,foliage
0.802372,0.4375,0,0,0,0.036122,0.001274,0.023603,0.001039,0.015234,0.002431,0.033873,0.007794,0.740672,0.224706,0.523719,0.033873,0.96142,0.133481,foliage
0.067194,0.529167,0,0,0,0.030418,0.000568,0.018634,0.000216,0.040021,0.053485,0.043446,0.023383,0.914179,0.157647,0.455408,0.048601,0.543871,0.366325,brickface
0.55336,0.2125,0,0,0,0.064639,0.002136,0.075776,0.004598,0.190809,0.17342,0.249632,0.144973,0.652985,0.458823,0.235294,0.249632,0.450305,0.19403,brickface
0.189723,0.570833,0,0,0,0.026616,0.000254,0.149068,0.024108,0.111284,0.08752,0.111929,0.133281,0.634328,0.161176,0.734345,0.128866,0.403708,1,grass
0.102767,0.1625,0,0,0,0.036122,0.000467,0.02236,0.000353,0.160599,0.158023,0.198822,0.122369,0.764926,0.352941,0.29222,0.198822,0.418746,0.218735,brickface
0.956522,0.345833,0,0,0,0.022814,0.000314,0.004969,0.000021,0.008262,0.001621,0.021355,0.000779,0.785448,0.19647,0.523719,0.021355,0.977778,0.163337,window
0.407115,0.125,0,0,0,0.013308,0.00033,0.018634,0.000423,0.781566,0.722043,0.85714,0.757597,0.173508,0.678824,0.368122,0.85714,0.234493,0.107381,sky
0.3083,0.070833,0,0,0,0.146388,0.003793,0.018634,0.000475,0.435065,0.389789,0.5243,0.383475,0.382463,0.662353,0.182164,0.5243,0.324556,0.151036,cement
0.205534,0.070833,0,0,0,0.015209,0.000407,0.039752,0.000621,0.777955,0.703404,0.865981,0.755261,0.070897,0.737647,0.377609,0.865981,0.261838,0.101668,sky
0.964427,0.4125,0,0,0,0.167301,0.003471,0.039752,0.001305,0.237801,0.212318,0.29455,0.20187,0.58209,0.46,0.305503,0.29455,0.353548,0.163771,cement
0.885375,0.329167,0,0,0,0.013308,0.000253,0.012422,0.000329,0.045959,0.034036,0.074374,0.02728,0.73694,0.278823,0.440228,0.074374,0.651153,0.1774,window
0.106719,0.7375,0,0,0,0.04943,0.001509,0.114286,0.013711,0.208883,0.19611,0.241531,0.186282,0.679105,0.337646,0.404175,0.241531,0.275863,0.161267,path
0.031621,0.270833,0,0,0,0.043726,0.001433,0.037267,0.001343,0.017041,0.006483,0.030928,0.012471,0.755597,0.202353,0.544592,0.030928,0.872222,0.118083,foliage
0.711462,0.729167,0,0.333333,0,0.100761,0.002734,0.045963,0.001211,0.340306,0.321718,0.400589,0.293842,0.597015,0.501176,0.223909,0.400589,0.307027,0.180583,path
0.885375,0.195833,0,0,0,0.011407,0.000425,0.009938,0.000248,0.058095,0.040519,0.09352,0.037412,0.69403,0.315293,0.425047,0.09352,0.622222,0.163786,window
0.731225,0.629167,0,0,0,0.055133,0.000601,0.277019,0.048198,0.307256,0.273096,0.362297,0.281371,0.5,0.468235,0.375711,0.362297,0.301508,0.110382,path
0.256917,0.6,0,0,0,0.127376,0.021978,0.172671,0.051628,0.057578,0.04295,0.083947,0.043648,0.714552,0.271764,0.474383,0.083947,0.300624,0.150514,window
0.549407,0.383333,0,0.333333,0,0.074145,0.00344,0.040994,0.001563,0.152337,0.154781,0.185567,0.114575,0.802239,0.327058,0.296014,0.185567,0.416239,0.236673,brickface
0.608696,0.5375,0,0,0,0.015209,0.00012,0.014907,0.000064,0.034857,0.047812,0.036819,0.020265,0.912314,0.149411,0.470588,0.044183,0.564153,0.379497,brickface
0.083004,0.316667,0,0,0,0.064639,0.00127,0.026087,0.00045,0.446425,0.406808,0.5324,0.392828,0.41791,0.649412,0.166983,0.5324,0.3097,0.157657,cement
0.533597,0.141667,0,0,0,0.041825,0.001557,0.045963,0.001101,0.369999,0.350892,0.42268,0.332033,0.583955,0.471764,0.28463,0.42268,0.259367,0.167591,cement
