@relation sonar-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute attribute_1 numeric
@attribute attribute_2 numeric
@attribute attribute_3 numeric
@attribute attribute_4 numeric
@attribute attribute_5 numeric
@attribute attribute_6 numeric
@attribute attribute_7 numeric
@attribute attribute_8 numeric
@attribute attribute_9 numeric
@attribute attribute_10 numeric
@attribute attribute_11 numeric
@attribute attribute_12 numeric
@attribute attribute_13 numeric
@attribute attribute_14 numeric
@attribute attribute_15 numeric
@attribute attribute_16 numeric
@attribute attribute_17 numeric
@attribute attribute_18 numeric
@attribute attribute_19 numeric
@attribute attribute_20 numeric
@attribute attribute_21 numeric
@attribute attribute_22 numeric
@attribute attribute_23 numeric
@attribute attribute_24 numeric
@attribute attribute_25 numeric
@attribute attribute_26 numeric
@attribute attribute_27 numeric
@attribute attribute_28 numeric
@attribute attribute_29 numeric
@attribute attribute_30 numeric
@attribute attribute_31 numeric
@attribute attribute_32 numeric
@attribute attribute_33 numeric
@attribute attribute_34 numeric
@attribute attribute_35 numeric
@attribute attribute_36 numeric
@attribute attribute_37 numeric
@attribute attribute_38 numeric
@attribute attribute_39 numeric
@attribute attribute_40 numeric
@attribute attribute_41 numeric
@attribute attribute_42 numeric
@attribute attribute_43 numeric
@attribute attribute_44 numeric
@attribute attribute_45 numeric
@attribute attribute_46 numeric
@attribute attribute_47 numeric
@attribute attribute_48 numeric
@attribute attribute_49 numeric
@attribute attribute_50 numeric
@attribute attribute_51 numeric
@attribute attribute_52 numeric
@attribute attribute_53 numeric
@attribute attribute_54 numeric
@attribute attribute_55 numeric
@attribute attribute_56 numeric
@attribute attribute_57 numeric
@attribute attribute_58 numeric
@attribute attribute_59 numeric
@attribute attribute_60 numeric
@attribute Class {Rock,Mine}

@data
0.136431,0.156451,0.135677,0.035426,0.224956,0.237571,0.407468,0.340904,0.449282,0.285714,0.187154,0.197245,0.295667,0.038362,0.063096,0.214838,0.285048,0.272623,0.482222,0.443172,0.555544,0.496064,0.398962,0.544104,0.663012,0.605133,0.695766,0.802388,0.674412,0.345584,0.089918,0.247135,0.487661,0.777424,0.850363,0.849496,0.693309,0.594156,0.481973,0.286166,0.017371,0.339194,0.365317,0.548312,0.375462,0.190071,0.19033,0.402216,0.193337,0.392727,0.231076,0.027104,0.155844,0.435673,0.14966,0.417949,0.502841,0.185355,0.245179,0.060046,Rock
0.023599,0.022718,0.021353,0.117927,0.206949,0.316044,0.443994,0.290628,0.42159,0.479908,0.421948,0.443581,0.304736,0.101062,0.207744,0.227865,0.16361,0.134857,0.077214,0.026327,0.110139,0.314078,0.498569,0.666018,0.785451,0.883027,0.936443,0.947818,0.902597,0.909556,0.909646,0.862952,0.703875,0.689772,0.636596,0.685383,0.643997,0.473432,0.397744,0.449129,0.484771,0.529426,0.559033,0.633986,0.669605,0.438289,0.405831,0.540881,0.499748,0.304242,0.128486,0.124108,0.314286,0.172515,0.07483,0.164103,0.161932,0.09611,0.002755,0.053118,Mine
0.514012,0.383626,0.414258,0.34213,0.308648,0.285676,0.338745,0.359206,0.259884,0.288002,0.368921,0.549385,0.632215,0.572136,0.501154,0.179931,0.231064,0.291117,0.236798,0.591824,0.890177,0.738473,0.490092,0.263498,0.15707,0.62628,0.745351,0.497942,0.462358,0.518376,0.421253,0.097956,0.038748,0.075782,0.009205,0.09254,0.156353,0.125091,0.277251,0.227778,0.126809,0.346642,0.414199,0.18217,0.089423,0.100658,0.145781,0.18209,0.285209,0.346667,0.153386,0.208274,0.392208,0.128655,0.054422,0.112821,0.238636,0.224256,0.258953,0.143187,Mine
0.258112,0.696957,0.532523,0.324061,0.269592,0.323569,0.5625,0.487982,0.431956,0.517947,0.39033,0.022128,0.359148,0.528411,0.61922,0.722064,0.829033,0.676675,0.416158,0.349422,0.536783,0.749003,0.821024,1,0.873156,0.6797,0.685786,0.486826,0.385349,0.409396,0.391281,0.041451,0.099338,0.020032,0.345096,0.682157,0.735294,0.3342,0.025406,0.316993,0.417603,0.465446,0.307772,0.265267,0.325277,0.233681,0.287396,0.536688,0.515901,0.18303,0.222112,0.145506,0.171429,0.570175,0.358277,0.151282,0.213068,0.208238,0.300275,0.143187,Rock
0.109882,0.266181,0.237516,0.130766,0.0421,0.254233,0.353084,0.129879,0.214275,0.095381,0.212959,0.358294,0.230891,0.078994,0.195506,0.31264,0.352191,0.229714,0.335157,0.305223,0.536889,0.512422,0.519869,0.687942,0.62623,0.642802,0.842315,0.796727,0.651278,0.849899,0.672807,0.55774,0.277329,0.376365,0.26368,0.080141,0.324513,0.400749,0.150748,0.394989,0.494152,0.190232,0.322514,0.412523,0.322007,0.157159,0.086201,0.28242,0.415952,0.207273,0.243028,0.356633,0.358442,0.631579,0.410431,0.464103,0.303977,0.208238,0.212121,0.244804,Mine
0.127581,0.156022,0.308147,0.182121,0.046158,0.103736,0.376353,0.422712,0.266252,0.242099,0.2623,0.188599,0.257809,0.471383,0.72896,0.778038,0.783028,0.597091,0.389859,0.230201,0.488617,0.751457,0.851224,1,0.841906,0.647208,0.681794,0.572149,0.469562,0.488761,0.4097,0.133453,0.125066,0.039852,0.38294,0.712399,0.761863,0.325049,0.022981,0.280283,0.444702,0.466178,0.315531,0.257666,0.327978,0.25864,0.354944,0.509434,0.689551,0.482424,0.14243,0.121255,0.072727,0.30117,0.054422,0.135897,0.247159,0.12357,0.184573,0.04157,Rock
0.132743,0.058294,0.054534,0.082739,0.082171,0.039506,0.232413,0.202426,0.113283,0.154154,0.174819,0.159144,0.179934,0.100134,0.062393,0.074089,0.090871,0.152831,0.356196,0.321276,0.188132,0.244454,0.384656,0.574634,0.553586,0.498623,0.450783,0.68063,0.979403,1,0.987902,0.947091,0.754489,0.671436,0.534315,0.45494,0.473212,0.166788,0.034577,0.149891,0.156688,0.195116,0.336221,0.495491,0.533693,0.331048,0.195038,0.067086,0.078243,0.226667,0.124502,0.028531,0.161039,0.321637,0.013605,0.046154,0.15625,0.089245,0.181818,0.013857,Rock
0.140855,0.054008,0.170171,0.121493,0.147096,0.357431,0.354708,0.437927,0.221531,0.20878,0.288955,0.226993,0.190442,0.169434,0.203631,0.218298,0.208372,0.096,0.349043,0.556721,0.420004,0.476127,1,0.864256,0.458811,0.486838,0.600483,0.705949,0.554079,0.331842,0.217875,0.170411,0.095453,0.329942,0.272067,0.317339,0.246665,0.172299,0.213472,0.130937,0.037406,0.033944,0.09259,0.125741,0.111885,0.071585,0.090547,0.069182,0.11156,0.174545,0.305777,0.53923,0.368831,0.023392,0.213152,0.235897,0.210227,0.405034,0.297521,0.147806,Rock
0.015487,0.030862,0.025296,0.078222,0.117423,0.294276,0.327381,0.214112,0.172368,0.110825,0.091876,0.14786,0.203685,0.130865,0.182064,0.15978,0.116879,0.142649,0.101094,0.09878,0.183917,0.179532,0.297234,0.572585,0.846824,1,0.837903,0.652532,0.549919,0.352828,0.299837,0.185352,0.151528,0.213567,0.299069,0.220565,0.048546,0.037954,0.083808,0.201743,0.26161,0.299267,0.256433,0.122133,0.132357,0.132337,0.068997,0.130279,0.169611,0.066667,0.078685,0.158345,0.12987,0.073099,0.068027,0,0.042614,0.105263,0.063361,0.023095,Rock
0.162242,0.091727,0.049934,0.108892,0.172204,0.273851,0.331439,0.366483,0.444099,0.441298,0.376719,0.329426,0.334821,0.15809,0.13863,0.290759,0.340483,0.364883,0.261519,0.167273,0.117201,0.114917,0.157147,0.363897,0.566701,0.729596,0.832545,0.850453,0.902192,1,0.998801,0.843406,0.623228,0.611977,0.676281,0.775302,0.845506,0.732349,0.624499,0.609041,0.471685,0.403541,0.490754,0.637722,0.621695,0.329676,0.204274,0.495358,0.470974,0.272727,0.213147,0.303852,0.381818,0.21345,0.117914,0.048718,0.153409,0.112128,0.071625,0.034642,Mine
0.15708,0.363052,0.323587,0.08797,0.266295,0.416286,0.42316,0.454465,0.476825,0.486772,0.431164,0.499267,0.552181,0.45973,0.518106,0.652453,0.836908,0.841662,0.825794,0.834439,0.789102,0.850424,0.962064,1,0.934119,0.934905,0.902301,0.701935,0.626623,0.538404,0.329046,0.229499,0.128216,0.326232,0.352971,0.226915,0.225454,0.225954,0.160342,0.198584,0.314302,0.333211,0.039829,0.159495,0.263577,0.2404,0.1954,0.218029,0.122161,0.231515,0.158367,0.233951,0.483117,0.730994,0.303855,0.310256,0.321023,0.20595,0.030303,0.069284,Mine
0.371681,0.232319,0.271682,0.062054,0.276693,0.220371,0.268939,0.123043,0.205834,0.389675,0.356302,0.417644,0.355981,0.363824,0.56124,0.428862,0.235002,0.08561,0.650326,0.936002,0.771501,0.524793,0.661863,0.915378,0.75543,0.803943,0.8815,0.597674,0.286425,0.0522,0.091117,0.024714,0.05387,0.40212,0.352153,0.097782,0.171004,0.368826,0.412924,0.264597,0.091604,0.261294,0.242985,0.185133,0.30509,0.323642,0.203731,0.076071,0.143867,0.215758,0.051793,0.104137,0.298701,0.102339,0.260771,0.238462,0.232955,0.100686,0.129477,0.108545,Rock
0.157817,0.155594,0.008213,0.075369,0.098402,0.362806,0.589286,0.249835,0.099956,0.217074,0.343116,0.457503,0.562401,0.425596,0.547096,0.717586,0.806963,0.915325,1,0.937714,0.90683,0.933442,0.73339,0.502715,0.396107,0.277784,0.682845,0.867538,0.899858,0.788431,0.42485,0.102786,0.129371,0.240806,0.288534,0.225,0.107916,0.173963,0.221695,0.291176,0.14476,0,0.04539,0.1479,0.189224,0.03785,0.138175,0.188979,0.155982,0.290909,0.114542,0.079886,0.044156,0.327485,0.328798,0.133333,0.065341,0.059497,0.283747,0.362587,Rock
0.054572,0.114874,0.076544,0.042558,0.039817,0.199678,0.393669,0.257773,0.221235,0.286858,0.384801,0.418816,0.36836,0.234506,0.184472,0.131284,0.114807,0.213403,0.290869,0.323523,0.299642,0.294551,0.355092,0.516443,0.63207,0.747439,0.869104,1,0.980317,0.677107,0.489482,0.518535,0.512654,0.384738,0.166206,0.107762,0.133282,0.096496,0.127767,0.273856,0.317661,0.544078,0.489461,0.163489,0.207421,0.149753,0.268924,0.414795,0.361434,0.213333,0.198207,0.125535,0.254545,0.24269,0.043084,0.102564,0.051136,0.15103,0.162534,0.027714,Mine
0.233038,0.17874,0.150788,0.180694,0.194776,0.175759,0.092262,0.199779,0.070043,0.01144,0.086204,0.219519,0.252195,0.260905,0.329221,0.494403,0.622837,0.698286,0.824637,0.864084,0.796901,0.745118,0.73784,0.723184,0.608299,0.443331,0.425465,0.392651,0.446023,0.374028,0.289591,0.313413,0.337604,0.377742,0.434285,0.473488,0.477258,0.445149,0.371284,0.450763,0.428952,0.446398,0.499547,0.360989,0.1824,0.153182,0.235965,0.235699,0.220091,0.271515,0.13247,0.099857,0.438961,0.48538,0.072562,0.320513,0.178977,0.093822,0.366391,0.198614,Mine
