@relation spambase-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute word_freq_make numeric
@attribute word_freq_address numeric
@attribute word_freq_all numeric
@attribute word_freq_3d numeric
@attribute word_freq_our numeric
@attribute word_freq_over numeric
@attribute word_freq_remove numeric
@attribute word_freq_internet numeric
@attribute word_freq_order numeric
@attribute word_freq_mail numeric
@attribute word_freq_receive numeric
@attribute word_freq_will numeric
@attribute word_freq_people numeric
@attribute word_freq_report numeric
@attribute word_freq_addresses numeric
@attribute word_freq_free numeric
@attribute word_freq_business numeric
@attribute word_freq_email numeric
@attribute word_freq_you numeric
@attribute word_freq_credit numeric
@attribute word_freq_your numeric
@attribute word_freq_font numeric
@attribute word_freq_000 numeric
@attribute word_freq_money numeric
@attribute word_freq_hp numeric
@attribute word_freq_hpl numeric
@attribute word_freq_george numeric
@attribute word_freq_650 numeric
@attribute word_freq_lab numeric
@attribute word_freq_labs numeric
@attribute word_freq_telnet numeric
@attribute word_freq_857 numeric
@attribute word_freq_data numeric
@attribute word_freq_415 numeric
@attribute word_freq_85 numeric
@attribute word_freq_technology numeric
@attribute word_freq_1999 numeric
@attribute word_freq_parts numeric
@attribute word_freq_pm numeric
@attribute word_freq_direct numeric
@attribute word_freq_cs numeric
@attribute word_freq_meeting numeric
@attribute word_freq_original numeric
@attribute word_freq_project numeric
@attribute word_freq_re numeric
@attribute word_freq_edu numeric
@attribute word_freq_table numeric
@attribute word_freq_conference numeric
@attribute char_freq_; numeric
@attribute char_freq_( numeric
@attribute char_freq_[ numeric
@attribute char_freq_! numeric
@attribute char_freq_$ numeric
@attribute char_freq_# numeric
@attribute capital_run_length_average numeric
@attribute capital_run_length_longest numeric
@attribute capital_run_length_total numeric
@attribute class {0,1}

@data
0.035242,0.011204,0.031373,0,0.083,0.027211,0,0.014401,0,0,0,0.051706,0.028829,0,0,0,0,0,0.1248,0,0.060306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.015406,0.007256,0,0,0.01984,0.005947,0,0,0,0,0.000818,0.001502,0.00846,0
0,0,0,0,0,0,0,0,0,0.020352,0,0.077559,0,0,0,0,0,0,0.140267,0,0.067507,0,0,0,0,0,0.011101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006768,0,0,0,0,0.000393,0.0004,0.005366,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108911,0,0,0.084734,0,0,0,0,0,0,0,0,0,0,0,0,0.000151,0.0001,0.001263,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2608,0,0.035754,0,0,0,0,0,0.117012,0,0,0,0,0.2285,0,0,0,0,0,0,0,0,0,0.033133,0.001853,0.001302,0.013763,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000389,0.0003,0.000568,0
0.154185,0,0.137255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065826,0.063946,0,0,0,0,0,0.003233,0,0,0.001218,0.004606,0.005556,0
0,0,0,0,0.232,0,0,0,0,0,0,0,0,0,0,0.0385,0,0,0,0,0,0,0,0,0.074412,0.046218,0.023102,0.084708,0.053922,0.130952,0.0616,0.161765,0,0.161765,0.0385,0.10013,0,0,0,0.161765,0,0,0,0,0,0,0,0,0,0.038556,0.03063,0,0,0,0.001271,0.001001,0.002967,0
0,0,0,0,0,0,0,0,0,0.083058,0,0.156153,0,0,0,0,0,0,0.403733,0,0.135914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001606,0.001402,0.00221,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15395,0,0,0,0,0.000063,1
0,0,0.256863,0,0,0,0,0,0,0,0,0.271975,0,0,0,0,0,0,0.280533,0,0.117912,0,0,0,0.06289,0,0,0,0,0.222789,0,0,0,0,0,0,0,0,0,0,0,0.091737,0,0,0,0,0,0,0,0.024815,0,0,0,0,0.000241,0.0002,0.001136,0
0,0,0,0,0,0,0,0,0,0,0,0.04757,0.082883,0,0,0,0,0,0.0736,0,0.041404,0,0,0,0.022084,0,0,0,0,0,0,0,0,0,0,0,0.133527,0,0.124212,0,0.128852,0.032213,0.386555,0,0.064426,0.041723,0,0,0.033979,0.007588,0.036511,0,0,0,0.00069,0.001101,0.00827,0
0,0,0.029412,0,0.013,0.005102,0,0.007201,0,0.0033,0.011494,0.066184,0.014414,0.001,0,0.0025,0.030812,0.0011,0.008,0.00165,0.029703,0,0,0,0,0,0.0003,0,0.002101,0.001701,0,0,0.073157,0,0,0.013004,0.110305,0,0.0009,0.010504,0.008403,0.002101,0,0.0025,0,0.004535,0,0.037,0.005473,0.026046,0.00049,0.000062,0.001166,0,0.001024,0.003504,0.218813,0
0,0,0.058824,0,0.061,0,0,0,0,0,0,0,0,0,0,0,0.042017,0,0.048533,0,0.027003,0,0,0,0.117139,0.036615,0,0,0,0,0,0,0,0,0,0,0.043541,0.182473,0,0,0,0,0.170868,0.061,0,0,0,0,0.068643,0.004409,0.010537,0,0.014326,0,0.001054,0.001802,0.014268,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.877081,0,0,0,0,0,0.004842,0.001602,0.001136,0
0,0,0,0,0,0,0,0,0,0,0,0.294726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014779,0,0,0.000908,0.000601,0.001578,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000126,0
0,0,0,0,0,0,0,0,0,0.049505,0,0.187177,0,0,0,0,0,0,0,0,0,0,0,0,0.043207,0.054022,0,0.19912,0,0,0,0,0,0,0,0.117035,0,0,0.081008,0,0,0,0,0,0,0,0,0,0,0.123872,0,0,0,0,0.003732,0.005707,0.008649,0
0,0,0.111765,0,0.028,0,0,0.051305,0,0,0,0.028956,0,0,0,0.0285,0.161064,0,0.045867,0.127063,0.181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00482,0,0.035316,0.031817,0.009632,0.009746,0.048859,0.039205,1
0,0,0.064706,0,0.099,0.168367,0.045392,0.029703,0,0,0,0.034126,0.059459,0,0,0.0165,0.046218,0,0.1056,0,0.29703,0,0,0.0264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015406,0,0,0,0,0.010972,0,0,0.02682,0.002673,0.001085,0.004906,0.012689,1
0,0,0,0,0.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126933,0,0.214221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000454,0.0003,0.000884,0
0.022026,0.014006,0.198039,0,0.08,0.136054,0.068776,0,0.152091,0.005501,0.114943,0.072389,0.054054,0,0.365079,0.005,0,0.122112,0.069867,0.011001,0.063006,0,0.110092,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056022,0,0.004669,0.004535,0,0,0,0.01128,0,0.015087,0.02632,0.000756,0.006854,0.06688,0.085227,1
0,0,0,0,0,0,0,0,0,0,0,0.207859,0,0,0,0,0,0,0.035733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097242,0,0,0,0,0,0,0,0.031279,0,0,0,0,0,0,0,0.043312,0,0.000537,0.0004,0.002652,0
0.063877,0,0.086275,0,0.073,0,0,0,0,0,0,0.059979,0,0,0,0.007,0,0,0.038933,0.007701,0.026103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04209,0,0,0,0,0.009804,0,0.007,0,0,0,0.132,0.004561,0.032916,0.044107,0.004311,0,0,0.000809,0.002303,0.032891,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000253,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136541,0,0,0,0,0,0,0,0,0.04902,0,0,0,0,0.01815,0,0,0.058971,0,0.002766,0.002803,0.005303,1
0,0,0,0,0.344,0,0,0,0,0,0,0.355739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05886,0,0,0,0,0.000648,0.0003,0.000694,0
0,0,0,0,0,0,0.0674,0.089109,0,0.136414,0,0.050672,0,0,0,0,0,0,0,0,0,0,0,0,0.167067,0.14886,0.014701,0,0,0,0,0,0,0,0,0,0.288824,0,0,0,0,0,0,0,0,0,0,0,0.076625,0.060295,0.041166,0,0,0,0.004185,0.004105,0.020833,0
0,0,0.107843,0,0.111,0,0,0,0,0,0,0,0.165766,0,0.040816,0,0.051821,0.040704,0.168,0,0.082808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01897,0,0.014287,0,0,0.000356,0.0003,0.004861,1
0.039648,0,0.035294,0,0.157,0.061224,0.008253,0.005401,0.011407,0.0033,0.022989,0.055843,0.054054,0.006,0,0,0.10084,0.006601,0.2352,0.013201,0.09721,0,0.154128,0.0048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016807,0,0,0,0,0,0.002281,0.005332,0,0.000308,0.028153,0,0.000695,0.001101,0.028157,1
0,0.056723,0.288235,0,0.13,0,0.134801,0.088209,0.060837,0.09846,0,0.083764,0,0,0.072562,0.0245,0.091036,0,0.052267,0.008801,0.117012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020806,0,0,0,0.033613,0,0,0,0,0,0,0,0,0,0.025328,0,0.005511,0.112277,0,0.001745,0.011213,0.040341,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000908,0.0004,0.000442,0
0,0,0,0,0,0,0.121045,0,0,0,0,0.091003,0,0,0,0,0,0,0.046933,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013638,0,0,0,0,0.000571,0.000801,0.002715,0
0,0,0,0,0.096,0,0.13205,0,0,0,0,0,0,0,0,0.048,0,0,0,0,0.172817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0.025371,0,0,0.001838,0.006608,0.007386,1
0,0,0,0,0,0.585034,0,0,0,0,0,0,0,0.344,0,0,0,0,0,0,0.620162,0,0,0,0,0,0.10321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053322,0,0,0,0,0,0,0.000379,0
0.096916,0,0.172549,0,0.044,0.22449,0,0,0,0,0,0,0,0,0,0,0,0.048405,0.093867,0,0.19802,0,0.40367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050627,0,0,0.013671,0.061636,0,0.001283,0.001502,0.008775,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000253,0
0,0.027311,0,0,0,0,0,0,0.074144,0,0,0.203723,0.142342,0,0,0,0.165266,0,0.042133,0.021452,0,0,0,0,0.018723,0,0,0,0,0,0,0,0,0,0,0.256177,0,0,0,0,0,0,0,0,0,0,0.179724,0,0,0.019688,0,0.003941,0,0,0.000208,0.000501,0.004672,0
0,0,0,0,0,0,0,0,0,0,0,0.107549,0,0,0,0,0,0,0.277333,0,0,0,0,0,0,0,0.031203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019996,0,0,0,0,0.000064,0.0001,0.000884,0
0.118943,0,0.105882,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234133,0,0.147615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0,0.049433,0,0,0,0,0.023769,0,0,0,0.000465,0.001001,0.003662,0
0,0,0.070588,0,0.012,0.040816,0,0,0,0.013201,0,0,0.043243,0,0,0,0,0,0.084267,0,0.010801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033613,0,0.005602,0.010884,0,0,0,0.00687,0.005391,0,0,0,0.000393,0.001101,0.004735,0
