@relation tae-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute Whether_of_not_the_TA_is_a_native_English_speaker {1,2}
@attribute Course_instructor numeric
@attribute Course numeric
@attribute Summer_or_regular_semester {1,2}
@attribute Class_size numeric
@attribute Class_attribute {1,2,3}

@data
2,0.75,0.12,2,0.111111,1
2,0.333333,0.04,2,0.174603,2
2,0.375,0.08,2,0.142857,1
1,0.708333,0.24,2,0.714286,1
2,0.541667,0.56,2,0.555556,1
2,0.25,0.4,2,0.111111,2
2,0.25,0.4,2,0.825397,3
2,0.5,0.08,1,0.111111,2
1,0.875,0.48,2,0.380952,2
1,0.916667,0.08,2,0.555556,3
2,0.25,0.4,2,0.111111,2
2,0,0.28,2,0.238095,2
2,0.583333,0.08,1,0.269841,3
2,0.5,0.08,1,0.111111,2
2,0.5,0,2,0.428571,3
2,0,0.56,1,0.301587,2
2,0.375,0.08,2,0.380952,3
2,0.208333,0.64,2,0.634921,2
2,0.291667,0.24,2,0.31746,1
2,0.541667,0.56,2,0.555556,1
1,0.208333,0.64,2,0.507937,2
1,0.666667,0.64,2,0.444444,3
2,0.875,0,2,0.126984,2
2,0.208333,0.64,2,0.619048,2
2,0.708333,0.44,2,0.206349,2
2,0.333333,0.16,2,0.253968,3
2,0.208333,0.64,2,0.634921,2
2,0.333333,0.2,2,0.031746,2
2,0.041667,0.32,2,0.444444,2
2,0.375,0.08,2,0.253968,1
2,0.583333,0.08,1,0.222222,3
1,0.541667,0.56,2,0.460317,1
1,0.291667,0.08,2,0.412698,3
2,0.5,0,2,0.444444,1
2,0.25,0.96,2,0.619048,2
2,0.791667,0.04,2,0.666667,3
1,0.666667,0.68,2,0.650794,2
1,0.5,0.08,1,0.222222,3
1,0.875,0.08,2,0.873016,3
2,1,0.24,2,0.380952,2
2,0.875,0.08,2,0.68254,2
2,0.208333,0.64,2,0.571429,3
2,0.916667,0.08,2,0.333333,1
2,0.875,0.08,2,0.396825,1
2,0.791667,0.04,2,0,1
2,0.208333,0.64,2,0.539683,2
1,0.375,0.08,2,0.285714,3
2,0.916667,0.08,2,0.126984,1
2,0,0.56,1,0.301587,2
2,0.5,0,2,0.269841,2
2,0.916667,0.08,2,0.111111,2
2,0.333333,0.2,2,0.063492,3
2,0.041667,0.36,2,0.380952,1
2,1,0.24,2,0.380952,2
2,0.708333,0.16,2,0.253968,1
2,0.875,0.08,2,0.396825,1
2,0.916667,0.08,1,0.269841,2
2,0.916667,0.08,1,0.269841,3
2,0.125,0.6,2,0.285714,1
2,0.875,0.08,2,0.68254,2
2,0.916667,0.08,2,0.142857,1
2,0.791667,0.56,2,0.238095,2
2,0.25,0.4,1,0.269841,3
1,0.166667,0.04,2,0.47619,3
1,0.916667,0.08,2,0.730159,3
2,0.916667,0.08,1,0.269841,3
2,0.5,0.52,2,0.222222,3
2,0.208333,0.64,2,0.619048,2
2,0.5,0.08,1,0.126984,3
2,0.333333,0.16,2,0.253968,3
2,0.916667,0.08,1,0.269841,3
2,0.583333,0,2,0.253968,1
1,0.875,0.08,2,0.190476,2
2,0.708333,0.8,2,0.412698,3
1,0.916667,0.08,1,0.269841,3
2,0.333333,0.92,2,0.269841,2
2,0.833333,0.04,2,0.619048,1
2,0.166667,0.04,2,0.714286,1
2,0.375,0.08,2,0.380952,3
2,0.625,0.28,2,0.52381,1
1,0.916667,0.08,1,0.349206,3
1,0.916667,0.08,1,0.253968,3
2,0.541667,0.84,2,0.222222,3
2,1,0.24,2,0.31746,2
2,0.041667,0.32,2,0.444444,2
2,0.625,0.28,2,0.52381,1
2,0.541667,0.56,2,0.555556,2
2,0.583333,0.08,1,0.222222,3
2,0.666667,0.68,2,0.412698,1
2,0.708333,0.8,2,0.412698,3
2,0.583333,0.08,1,0.269841,3
2,0.25,0.96,2,0.619048,2
2,0.25,0.4,2,0.428571,1
2,0.5,0,2,0.412698,1
2,0.708333,0.96,2,0.349206,3
1,0.416667,0.6,2,0.301587,2
2,0.208333,0.64,2,0.571429,3
2,0.041667,0.32,2,0.412698,1
2,0.083333,0.04,2,0.365079,1
2,0.833333,0.04,2,0.619048,1
