@relation vehicle-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute COMPACTNESS numeric
@attribute CIRCULARITY numeric
@attribute 'DISTANCE CIRCULARITY' numeric
@attribute 'RADIUS RATIO' numeric
@attribute 'PR.AXIS ASPECT RATIO' numeric
@attribute 'MAX.LENGTH ASPECT RATIO' numeric
@attribute 'SCATTER RATIO' numeric
@attribute ELONGATEDNESS numeric
@attribute 'PR.AXIS RECTANGULARITY' numeric
@attribute 'MAX.LENGTH RECTANGULARITY' numeric
@attribute 'SCALED VARIANCE_MAJOR' numeric
@attribute 'SCALED VARIANCE_MINOR' numeric
@attribute 'SCALED RADIUS OF GYRATION' numeric
@attribute 'SKEWNESS ABOUT_MAJOR' numeric
@attribute 'SKEWNESS ABOUT_MINOR' numeric
@attribute 'KURTOSIS ABOUT_MAJOR' numeric
@attribute 'KURTOSIS ABOUT_MINOR' numeric
@attribute 'HOLLOWS RATIO' numeric
@attribute Class {opel,saab,bus,van}

@data
0.934783,0.769231,0.972222,0.554585,0.21978,0.188679,0.686275,0.142857,0.583333,0.671429,0.531579,0.609113,0.710692,0.105263,0.727273,0.682927,0.533333,0.833333,saab
0.195652,0.307692,0.416667,0.222707,0.186813,0.09434,0.235294,0.542857,0.166667,0.285714,0.221053,0.172662,0.27044,0.171053,0.227273,0.414634,0.366667,0.466667,bus
0.586957,0.307692,0.486111,0.441048,0.263736,0.056604,0.418301,0.285714,0.333333,0.285714,0.389474,0.353717,0.264151,0.171053,0.318182,0.463415,0.7,0.533333,bus
0.369565,0.307692,0.527778,0.179039,0.087912,0.09434,0.169935,0.628571,0.083333,0.285714,0.163158,0.119904,0.308176,0.105263,0,0.02439,0.533333,0.533333,opel
0.391304,0.115385,0.444444,0.253275,0.142857,0.113208,0.248366,0.514286,0.166667,0.214286,0.189474,0.179856,0.075472,0.052632,0.090909,0.536585,0.666667,0.8,saab
0.26087,0.192308,0.444444,0.113537,0.065934,0.132075,0.143791,0.714286,0.083333,0.2,0.078947,0.092326,0.08805,0.078947,0.045455,0.585366,0.4,0.566667,opel
0.413043,0.153846,0.555556,0.331878,0.21978,0.113208,0.27451,0.485714,0.166667,0.157143,0.263158,0.202638,0.220126,0.131579,0.272727,0.219512,0.466667,0.466667,saab
0.73913,0.923077,0.916667,0.296943,0.032967,0.075472,0.934641,0,0.916667,0.728571,0.789474,0.926859,0.974843,0.342105,0.227273,0.219512,0.166667,0.066667,bus
0.23913,0.192308,0.472222,0.148472,0.10989,0.113208,0.176471,0.657143,0.083333,0.128571,0.157895,0.117506,0.113208,0.171053,0.409091,0.487805,0.233333,0.333333,opel
0.652174,0.615385,0.833333,0.393013,0.142857,0.150943,0.477124,0.257143,0.416667,0.6,0.378947,0.40048,0.433962,0.039474,0.590909,0.195122,0.733333,0.9,saab
0.869565,0.576923,0.805556,0.454148,0.164835,0.132075,0.594771,0.2,0.5,0.471429,0.452632,0.514388,0.465409,0.065789,0.772727,0.707317,0.566667,0.766667,saab
0.456522,0.461538,0.625,0.244541,0.175824,0.150943,0.300654,0.485714,0.25,0.557143,0.231579,0.219424,0.333333,0.118421,0.045455,0.146341,0.433333,0.6,van
0.76087,0.923077,0.916667,0.318777,0.043956,0.056604,0.941176,0,0.916667,0.742857,0.815789,0.93765,0.955975,0.368421,0.5,0.04878,0.2,0,bus
