@relation vowel-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute 'Train or Test' {Train,Test}
@attribute 'Speaker Number' {Andrew,Bill,David,Mark,Jo,Kate,Penny,Rose,Mike,Nick,Rich,Tim,Sarah,Sue,Wendy}
@attribute Sex {Male,Female}
@attribute 'Feature 0' numeric
@attribute 'Feature 1' numeric
@attribute 'Feature 2' numeric
@attribute 'Feature 3' numeric
@attribute 'Feature 4' numeric
@attribute 'Feature 5' numeric
@attribute 'Feature 6' numeric
@attribute 'Feature 7' numeric
@attribute 'Feature 8' numeric
@attribute 'Feature 9' numeric
@attribute Class {hid,hId,hEd,hAd,hYd,had,hOd,hod,hUd,hud,hed}

@data
Test,Mike,Male,0.543794,0.424071,0.739153,0.533281,0.280192,0.577932,0.52449,0.543517,0.542779,0.440182,had
Test,Sarah,Female,0.193208,0.681947,0.653905,0.367406,0.427236,0.44325,0.42483,0.668968,0.354552,0.217815,hud
Test,Mike,Male,0.106557,0.35271,0.87953,0.976228,0.404245,0.407841,0.383333,0.279412,0.257016,0.89987,hud
Train,Penny,Female,0.287354,0.561437,0.608474,0.18542,0.612431,0.364527,0.814286,0.809124,0.123203,0.449285,hUd
Train,Mark,Male,0.651054,0.495747,0.687851,0.404649,0.377211,0.320582,0.536395,0.571729,0.704654,0.363459,had
Test,Wendy,Female,0.327869,0.535129,0.705717,0.782092,0.727893,0.419855,0.32415,0.258103,0.213895,0.758127,hId
Test,Nick,Male,0.345667,0.530876,0.425983,0.494453,0.481556,0.625988,0.530612,0.455282,0.297057,0.440507,hed
Train,Andrew,Male,0.295082,0.555135,0.667177,0.840201,0.055836,0.443566,0.37585,0.701681,0.756674,0.45091,hod
Test,Tim,Male,0.274473,0.752993,0.388719,0.38299,0.436331,0.572874,0.743878,0.585834,0.478097,0.439857,hUd
Train,Mark,Male,0.745902,0.476371,0.50051,0.337559,0.604598,0.246917,0.551361,0.406963,0.568104,0.321521,hAd
Test,Nick,Male,0.769555,0.439666,0.379786,0.53962,0.216523,0.32975,0.653741,0.389256,0.503765,0.343303,hAd
Test,Wendy,Female,0.449649,0.566793,0.46146,0.447438,0.648813,0.440405,0.445578,0.422569,0.194045,0.772757,hed
Test,Sarah,Female,0.545199,0.76402,0.328994,0.223719,0.496463,0.572242,0.782653,0.379052,0.201916,0.658648,hOd
Test,Sarah,Female,0.449415,0.609483,0.487238,0.483096,0.478525,0.387923,0.440816,0.519208,0.366872,0.539337,hed
Train,Bill,Male,0.832319,0.209515,0.3683,0.287639,0.457554,0.681948,0.739796,0.628151,0.654004,0.494473,hId
Test,Nick,Male,0.75363,0.472432,0.34635,0.519017,0.228398,0.417641,0.594558,0.37605,0.451403,0.36801,hAd
Train,Mark,Male,0.191335,0.383743,0.674834,0.532752,0.434058,0.691748,0.440136,0.615546,0.704997,0.577373,hud
Test,Rich,Male,0.315691,0.711878,0.380551,0.500528,0.449469,0.324376,0.712585,0.790816,0.612252,0.442783,hUd
Train,Mark,Male,0.671663,0.324827,0.729964,0.502113,0.368873,0.352513,0.441156,0.636255,0.753593,0.459363,had
Train,David,Male,0.866276,0.435728,0.366003,0.705494,0.332996,0.561808,0.481293,0.630252,0.48152,0.593303,hAd
Train,Mark,Male,0.731148,0.467706,0.5,0.310882,0.634664,0.220993,0.534014,0.409364,0.563313,0.304291,hAd
Test,Tim,Male,0.67096,0.453371,0.562532,0.475964,0.432289,0.349036,0.365306,0.504202,0.638604,0.382315,had
Test,Rich,Male,0.512178,0.714241,0.724094,0.219757,0.238504,0.539994,0.711905,0.616747,0.687201,0.329974,hOd
Train,Penny,Female,0.561827,0.508507,0.466054,0.400951,0.534613,0.299083,0.586395,0.416867,0.025667,0.738622,hed
Train,Mark,Male,0.734192,0.423283,0.485707,0.422345,0.448964,0.428075,0.384694,0.481993,0.561259,0.310793,hAd
Train,Bill,Male,0.899063,0.195967,0.378765,0.269678,0.418393,0.62504,0.745238,0.635054,0.742984,0.560143,hId
Train,Mark,Male,0.556674,0.303718,0.821848,0.750924,0.356493,0.255454,0.236735,0.459784,0.866872,0.833875,hOd
Test,Nick,Male,0.524122,0.206364,0.309852,0.773376,0.58666,0.890294,0.567347,0.637755,0.156057,0.368336,hid
Train,Jo,Female,0.509836,0,0.701889,0.773904,0.704144,0.77711,0.4,0.247599,0.298768,0.714239,hid
Test,Mike,Male,0.632787,0.409578,0.725115,0.547279,0.354472,0.396459,0.354082,0.602041,0.770363,0.479844,had
Test,Rich,Male,0.308431,0.219124,0.530883,0.893291,0.548257,0.862156,0.662585,0.359544,0.402806,0.21619,hid
Test,Sue,Female,0.283372,0.560491,0.541603,0.92842,0.791561,0.255454,0.242177,0.271008,0.244695,0.578349,hud
Test,Rich,Male,0.312178,0.801827,0.595202,0.195721,0.232441,0.435346,0.530272,0.979892,0.542094,0.451886,hod
Train,Mark,Male,0.79555,0.346093,0.397141,0.403856,0.64477,0.439456,0.603401,0.515906,0.489049,0.309818,hEd
Test,Nick,Male,0.572834,0.644455,0.119193,0.42842,0.342345,0.533671,0.608503,0.330132,0.482888,0.51593,hYd
Train,Andrew,Male,0.316393,0.534026,0.3951,0.553883,0.366852,0.795131,0.348639,0.666567,0.494867,0.405072,hUd
Train,Kate,Female,0.418033,0.292691,0.515059,0.841257,0.680394,0.797344,0.546599,0.412365,0.04449,0.500325,hId
Train,Rose,Female,0.147775,0.849086,0.442573,0.147913,0.667761,0.421752,0.562585,0.442377,0.122177,0.507477,hUd
Train,Kate,Female,0.087822,0.810491,0.460184,0.420232,0.625568,0.208663,0.630612,0.405762,0.543806,0.178804,hud
Test,Wendy,Female,0.476581,0.67281,0.354518,0.274168,0.431784,0.680999,0.686054,0.529712,0.273443,0.580624,hOd
Test,Nick,Male,0.56815,0.640517,0.143696,0.43159,0.28853,0.604489,0.546599,0.366747,0.464066,0.502276,hYd
Test,Wendy,Female,0.351756,0.46298,0.669985,0.781828,0.783729,0.556118,0.388095,0.317827,0.157084,0.785436,hId
Train,Kate,Female,0.076347,0.825614,0.392802,0.470681,0.601819,0.226051,0.669048,0.384154,0.558179,0.052666,hud
Test,Nick,Male,0.490398,0.223693,0.321337,0.804015,0.593734,0.904837,0.535034,0.558824,0.158453,0.296814,hid
Test,Tim,Male,0.167916,0.442502,0.508423,0.825145,0.548509,0.862472,0.397959,0.496699,0.352498,0.45156,hud
Train,Penny,Female,0.70281,0.30482,0.486473,0.673006,0.597524,0.287702,0.310204,0.278211,0.440452,0.727243,hEd
Test,Rich,Male,0.362998,0.404222,0.524247,0.461965,0.562153,0.379071,0.606463,0.661465,0.409993,0.381339,hed
Train,Andrew,Male,0.507026,0.261657,0.337417,0.620444,0.439869,0.889662,0.459524,0.631453,0.41718,0.481795,hId
Train,David,Male,0.920609,0.326402,0.214395,0.627839,0.431784,0.773,0.512245,0.755402,0.424025,0.560468,hEd
Train,Mark,Male,0.533489,0.313642,0.84635,0.77047,0.406771,0.286121,0.127211,0.394358,0.848392,0.892718,hOd
Train,Mark,Male,0.767681,0.315375,0.375702,0.443476,0.587671,0.510907,0.588095,0.59994,0.399384,0.352731,hEd
Test,Rich,Male,0.646604,0.51465,0.359112,0.348389,0.630116,0.36674,0.467007,0.593337,0.490075,0.21684,hAd
Train,Jo,Female,0.156206,0.680529,0.897141,0.367934,0.650328,0.543788,0.490816,0.653661,0.394935,0.188882,hud
Test,Sue,Female,0.525527,0.638784,0.308831,0.465663,0.30091,0.74012,0.521429,0.262605,0.36037,0.78186,hYd
Test,Mike,Male,0.321311,0.39729,0.846605,0.631537,0.256948,0.459374,0.267347,0.413265,0.657769,0.911899,hUd
Train,Rose,Female,0.338642,0.511027,0.391016,0.452456,0.351693,0.39393,0.652041,0.431873,0.368583,0.786086,had
Train,Bill,Male,0.292272,0.821046,0.753701,0.223191,0.274128,0.244072,0.604762,0.654562,0.541068,0.805592,hod
Train,Penny,Female,0.596253,0.45794,0.536753,0.342842,0.53714,0.338286,0.534014,0.531513,0.018823,0.61736,hed
Test,Nick,Male,0.380328,0.388626,0.477284,0.726096,0.531834,0.613026,0.498299,0.498499,0.259754,0.296814,hId
Test,Sue,Female,0.269087,0.572149,0.555641,0.872689,0.814047,0.279798,0.226871,0.230792,0.216632,0.525033,hud
Test,Sue,Female,0.516862,0.372401,0.551046,0.808505,0.365841,0.355043,0.421769,0.179472,0.502396,0.776983,hEd
Test,Sue,Female,0.402576,0.743541,0.19219,0.558373,0.479282,0.687638,0.554082,0.178571,0.160849,0.529909,hOd
Train,Rose,Female,0.072365,0.908003,0.490812,0.230586,0.495958,0.170092,0.809184,0.340636,0.241958,0.662549,hud
Test,Tim,Male,0.251288,0.378387,0.481368,0.782356,0.532592,0.908947,0.462925,0.466687,0.36345,0.428479,hud
Train,Mark,Male,0.483841,0.336641,0.740939,0.556788,0.189237,0.546317,0.529592,0.655162,0.627652,0.817295,hUd
Train,Kate,Female,0.591569,0.511185,0.416029,0.380877,0.3762,0.417325,0.571429,0.435774,0.477413,0.434655,had
Test,Sarah,Female,0.173302,0.703529,0.59367,0.403064,0.454775,0.392665,0.454422,0.663866,0.306982,0.242848,hud
Test,Wendy,Female,0.49555,0.649811,0.426493,0.267565,0.385043,0.608916,0.715646,0.611044,0.320329,0.563069,hOd
Train,Penny,Female,0.597658,0.184783,0.459418,0.55626,0.81051,0.594689,0.472109,0.443277,0.234771,0.652471,hId
Train,Jo,Female,0.167213,0.676118,0.790199,0.402536,0.707428,0.48846,0.512585,0.646459,0.311088,0.208713,hud
Train,Mark,Male,0.377049,0.31758,0.574017,0.459852,0.395654,0.667404,0.518027,0.641357,0.742984,0.760403,hud
Train,Kate,Female,0.544965,0.582546,0.439765,0.343634,0.28095,0.378438,0.764966,0.427971,0.546201,0.270806,hYd
Train,Rose,Female,0.173302,0.903434,0.153139,0.16112,0.71905,0.56086,0.604082,0.490696,0.197467,0.526658,hod
Train,Jo,Female,0.820375,0.349401,0.59903,0.412044,0.514149,0.112235,0.597619,0.398259,0.315195,0.607932,hAd
Train,Andrew,Male,0.733021,0.3661,0.18096,0.480718,0.406518,0.725893,0.326871,0.608643,0.255647,0.490247,hEd
Test,Wendy,Female,0.261593,0.59436,0.596733,0.640782,0.709955,0.433765,0.17483,0.34994,0.161191,0.409298,hud
Test,Wendy,Female,0.234192,0.64351,0.638846,0.583201,0.667256,0.421119,0.108163,0.316627,0.278919,0.418726,hud
Train,David,Male,0.888525,0.150441,0.059469,0.655309,0.481556,0.981347,0.669048,0.665066,0.043463,0.319246,hid
Train,Bill,Male,0.567447,0.703844,0.343287,0.289488,0.390854,0.377174,0.618367,0.412665,0.589322,0.26723,hYd
Test,Mike,Male,0.633724,0.300252,0.48341,0.452456,0.662708,0.524818,0.467687,0.442377,0.427789,0.297789,hEd
Test,Tim,Male,0.64356,0.16966,0.312149,0.675911,0.596513,0.843819,0.545238,0.609544,0.079055,0.384265,hid
Test,Rich,Male,0.095082,0.7092,0.506891,0.531167,0.402981,0.499842,0.553401,0.521609,0.810746,0.409623,hud
Test,Wendy,Female,0.425059,0.556238,0.481113,0.479662,0.588934,0.380019,0.545578,0.401261,0.089322,0.829324,hed
Test,Tim,Male,0.288993,0.781033,0.317764,0.276017,0.482567,0.452102,0.780952,0.568127,0.575633,0.464889,hod
