@relation waveform-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute x7 numeric
@attribute x8 numeric
@attribute x9 numeric
@attribute x10 numeric
@attribute x11 numeric
@attribute x12 numeric
@attribute x13 numeric
@attribute x14 numeric
@attribute x15 numeric
@attribute x16 numeric
@attribute x17 numeric
@attribute x18 numeric
@attribute x19 numeric
@attribute x20 numeric
@attribute x21 numeric
@attribute x22 numeric
@attribute x23 numeric
@attribute x24 numeric
@attribute x25 numeric
@attribute x26 numeric
@attribute x27 numeric
@attribute x28 numeric
@attribute x29 numeric
@attribute x30 numeric
@attribute x31 numeric
@attribute x32 numeric
@attribute x33 numeric
@attribute x34 numeric
@attribute x35 numeric
@attribute x36 numeric
@attribute x37 numeric
@attribute x38 numeric
@attribute x39 numeric
@attribute x40 numeric
@attribute class {0,1,2}

@data
0.603774,0.526104,0.57638,0.558659,0.748272,0.554751,0.609565,0.652386,0.562044,0.366388,0.162191,0.419624,0.383117,0.396194,0.451469,0.415879,0.388889,0.345041,0.572954,0.4489,0.473324,0.377331,0.684138,0.316474,0.576873,0.454301,0.510989,0.698087,0.314016,0.533237,0.617486,0.680303,0.612903,0.329472,0.490057,0.684672,0.746647,0.673324,0.236842,0.426207,0
0.661829,0.550201,0.602054,0.683799,0.604146,0.672398,0.713913,0.646543,0.404588,0.466597,0.485499,0.356994,0.384199,0.451557,0.37756,0.379017,0.437853,0.541322,0.565836,0.425614,0.481532,0.325681,0.293793,0.575145,0.664915,0.481183,0.388736,0.333333,0.567385,0.619942,0.506831,0.348485,0.851906,0.15444,0.552557,0.489051,0.28465,0.426534,0.479532,0.863448,0
0.474601,0.251673,0.32991,0.280447,0.356367,0.304072,0.170435,0.544304,0.308655,0.381002,0.314715,0.636743,0.8171,0.500865,0.515583,0.312854,0.565913,0.522727,0.657177,0.602846,0.601915,0.453372,0.653793,0.319364,0.337714,0.630376,0.42033,0.668033,0.299191,0.445087,0.629781,0.722727,0.507331,0.311454,0.254261,0.556204,0.76155,0.512126,0.323099,0.602759,2
0.312046,0.220884,0.489089,0.388827,0.420533,0.362896,0.496522,0.419669,0.775808,0.648225,0.769066,0.670146,0.727273,0.610727,0.461264,0.340265,0.400188,0.358471,0.43535,0.364812,0.774282,0.497848,0.456552,0.486994,0.392904,0.395161,0.65522,0.744536,0.869272,0.604046,0.397541,0.439394,0.718475,0.770914,0.588068,0.480292,0.673621,0.348074,0.403509,0.696552,1
0.558781,0.416332,0.442875,0.585475,0.502468,0.537557,0.518261,0.590068,0.44317,0.389353,0.210526,0.39666,0.693723,0.375433,0.669635,0.323251,0.509416,0.429752,0.422301,0.566624,0.560876,0.66858,0.613793,0.449422,0.352168,0.47043,0.657967,0.456284,0.443396,0.583815,0.56694,0.5,0.809384,0.513514,0.291193,0.544526,0,0.470756,0.562865,0.268966,0
0.510885,0.471218,0.261874,0.289385,0.459033,0.505882,0.664348,0.674781,0.542231,0.729645,0.628357,0.648225,0.540043,0.608131,0.237756,0.359168,0.409605,0.260331,0.428233,0.252264,0.5513,0.35868,0.262069,0.517341,0.336399,0.342742,0.526099,0.51776,0.506739,0.261561,0.618852,0.543939,0.554252,0.546976,0.580966,0.648175,0.633383,0.50214,0.633041,0.750345,1
0.429608,0.402945,0.765083,0.489385,0.372162,0.522172,0.615652,0.676728,0.776851,0.578288,0.574651,0.647182,0.52381,0.388408,0.308994,0.398866,0.306026,0.290289,0.428233,0.216041,0.326949,0.556671,0.467586,0.669075,0.528252,0.58871,0.553571,0.706284,0.483827,0.401734,0.23224,0.313636,0.630499,0.445302,0.460227,0.214599,0.605067,0.606277,0.774854,0.564138,1
0.474601,0.598394,0.725289,0.505028,0.708786,0.680543,0.630435,0.765336,0.432742,0.618998,0.203008,0.338205,0.247835,0.230969,0.194123,0.168242,0.286252,0.394628,0.23962,0.47348,0.508892,0.536585,0.532414,0.299133,0.461235,0.372312,0.307692,0.471311,0.521563,0.530347,0.73224,0.416667,0.554252,0.734878,0.333807,0.50365,0.442623,0.298146,0.612573,0.623448,1
0.354136,0.550201,0.331194,0.511732,0.600197,0.575566,0.643478,0.743914,0.690302,0.446764,0.640172,0.670146,0.602814,0.42301,0.138914,0.301512,0.33145,0.475207,0.563464,0.416559,0.618331,0.329986,0.548966,0.427746,0.56636,0.244624,0.732143,0.48224,0.247978,0.553468,0.565574,0.528788,0.582111,0.570142,0.40483,0.661314,0.548435,0.348074,0.494152,0.533793,1
0.634253,0.506024,0.456996,0.417877,0.575518,0.447059,0.61913,0.662123,0.37122,0.490605,0.604726,0.356994,0.519481,0.307093,0.33927,0.309074,0.438795,0.260331,0.432977,0.464424,0.564979,0.48637,0.303448,0.569364,0.400788,0.485215,0.574176,0.487705,0.46496,0.699422,0.409836,0.463636,0.395894,0.57529,0.612216,0.566423,0.312966,0.453638,0.54386,0.42069,0
0.333817,0.534137,0.499358,0.494972,0.755183,0.904977,0.906957,0.82668,0.636079,0.483299,0.095596,0.176409,0.073593,0.281142,0.145147,0.362004,0.323917,0.470041,0.263345,0.353169,0.47606,0.360115,0.398621,0.437861,0.363995,0.517473,0.287088,0.45082,0.354447,0.459538,0.659836,0.598485,0.306452,0.459459,0.423295,0.614599,0.52608,0.396576,0.516082,0.582069,1
0.56894,0.207497,0.419769,0.132961,0.565647,0.395475,0.429565,0.28335,0.514077,0.448852,0.510204,0.76096,0.584416,0.58564,0.575245,0.565217,0.696798,0.606405,0.56465,0.69599,0.740082,0.436155,0.412414,0.804913,0.64389,0.5,0.509615,0.655738,0.541779,0.342486,0.579235,0.365152,0.538123,0.611326,0.410511,0.420438,0.546945,0.554922,0.73538,0.376552,2
0.464441,0.247657,0.51733,0.745251,0.538993,0.661538,0.634783,0.511198,0.564129,0.406054,0.287863,0.394572,0.261905,0.393599,0.32057,0.312854,0.512241,0.392562,0.236062,0.336352,0.508892,0.411765,0.401379,0.501445,0.521682,0.548387,0.385989,0.766393,0.301887,0.328035,0.353825,0.540909,0.505865,0.517375,0.502841,0.437956,0.393443,0.25535,0.390351,0.463448,1
0.464441,0.413655,0.546855,0.456983,0.30997,0.591855,0.602609,0.583252,0.684046,0.651357,0.632653,0.544885,0.442641,0.403114,0.368655,0.363894,0.539548,0.378099,0.290629,0.239327,0.246238,0.53802,0.05931,0.645954,0.7477,0.572581,0.637363,0.442623,0.299191,0.346821,0.419399,0.819697,0.397361,0.540541,0.583807,0.582482,0.481371,0.587732,0.564327,0.347586,1
0.592163,0.544846,0.599487,0.634637,0.525173,0.6,0.813043,0.542356,0.638165,0.411273,0.457573,0.388309,0.42316,0.374567,0.431879,0.347826,0.47081,0.423554,0.664294,0.283312,0.295486,0.645624,0.478621,0.637283,0.377135,0.592742,0.537088,0.724044,0.619946,0.735549,0.381148,0.457576,0.577713,0.611326,0.47017,0.540146,0.369598,0.396576,0.362573,0.754483,0
0.687954,0.61178,0.587933,0.585475,0.374136,0.518552,0.589565,0.668939,0.633994,0.433194,0.620838,0.5,0.580087,0.288062,0.292965,0.395085,0.392655,0.428719,0.336892,0.468305,0.689466,0.533716,0.667586,0.439306,0.302234,0.49328,0.493132,0.565574,0.707547,0.484104,0.467213,0.642424,0.593842,0.554698,0.492898,0.608759,0.436662,0.452211,0.421053,0.61931,1
0.38897,0.712182,0.563543,0.360894,0.36229,0.38371,0.467826,0.373905,0.350365,0.374739,0.233083,0.58977,0.623377,0.488754,0.67943,0.697543,0.670433,0.839876,0.818505,0.626132,0.478796,0.342898,0.344828,0.310694,0.679369,0.444892,0.32967,0.530055,0.225067,0.656069,0.547814,0.565152,0.68915,0.462033,0.514205,0.629197,0.71386,0.516405,0.562865,0.673103,2
0.339623,0.394913,0.335045,0.573184,0.579467,0.582805,0.285217,0.483934,0.677789,0.338205,0.344791,0.234864,0.530303,0.568339,0.480855,0.594518,0.347458,0.455579,0.494662,0.518758,0.487004,0.304161,0.564138,0.514451,0.538765,0.475806,0.637363,0.434426,0.478437,0.358382,0.545082,0.521212,0.607038,0.584299,0.433239,0.559124,0.57079,0.529244,0.381579,0.641379,0
0.361393,0.53012,0.631579,0.793296,0.604146,0.762896,0.666957,0.401168,0.741397,0.435282,0.336198,0.282881,0.340909,0.236159,0.314337,0.386578,0.421846,0.407025,0.367734,0.319534,0.573187,0.41033,0.526897,0.589595,0.499343,0.452957,0.637363,0.375683,0.61186,0.598266,0.35929,0.228788,0.312317,0.52381,0.144886,0.40292,0.459016,0.382311,0.527778,0.245517,0
0.692308,0.362784,0.548139,0.296089,0.410661,0.228054,0.277391,0.297955,0.451512,0.372651,0.359828,0.60334,0.700216,0.634948,0.689225,0.546314,0.806026,0.873967,0.640569,0.435964,0.666211,0.473458,0.652414,0.117052,0.550591,0.568548,0.304945,0.288251,0.3531,0.715318,0.157104,0.409091,0.686217,0.696268,0.585227,0.322628,0.494784,0.363766,0.526316,0.271724,2
0.484761,0.455154,0.603338,0.711732,0.712734,0.627149,0.682609,0.552093,0.490094,0.676409,0.522019,0.477035,0.198052,0.250865,0.276046,0.092628,0.462335,0.359504,0.403321,0.419146,0.27907,0.139168,0.441379,0.501445,0.565046,0.504032,0.482143,0.663934,0.450135,0.413295,0.379781,0.456061,0.456012,0.30888,0.524148,0.512409,0.771982,0.600571,0.412281,0.390345,1
0.226415,0.618474,0.61104,0.384358,0.563672,0.438009,0.446957,0.450828,0.555787,0.555324,0.513426,0.43737,0.615801,0.559689,0.355298,0.352552,0.26742,0.315083,0.627521,0.562743,0.526676,0.447633,0.689655,0.489884,0.69251,0.66129,0.34478,0.509563,0.576819,0.598266,0.756831,0.474242,0.546921,0.323037,0.276989,0.529927,0.630402,0.336662,0.479532,0.444138,1
0.489115,0.617135,0.616175,0.830168,0.652517,0.696833,0.729565,0.898734,0.619395,0.372651,0.505908,0.241127,0.134199,0.343426,0.139804,0.187146,0.491525,0.454545,0.533808,0.538163,0.352941,0.426112,0.656552,0.687861,0.68594,0.352151,0.546703,0.622951,0.533693,0.580925,0.364754,0.577273,0.372434,0.348777,0.59375,0.354745,0.295082,0.410842,0.527778,0.4,1
