@relation wine-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute class {1,2,3}
@attribute Alcohol numeric
@attribute Malic_acid numeric
@attribute Ash numeric
@attribute Alcalinity_of_ash numeric
@attribute Magnesium numeric
@attribute Total_phenols numeric
@attribute Flavanoids numeric
@attribute Nonflavanoid_phenols numeric
@attribute Proanthocyanins numeric
@attribute Color_intensity numeric
@attribute Hue numeric
@attribute OD280/OD315_of_diluted_wines numeric
@attribute Proline numeric

@data
1,0.839474,0.642292,0.614973,0.134021,0.630435,0.696552,0.56962,0.132075,0.526814,0.325939,0.333333,0.827839,760
2,0.139474,0.258893,1,0.92268,0.532609,0.758621,1,0.641509,0.460568,0.40273,0.365854,0.886447,465
2,0.276316,0.077075,0.614973,0.690722,0.086957,0.351724,0.261603,0.509434,0.312303,0.078498,0.674797,0.531136,630
2,0.352632,0.092885,0.641711,0.386598,0.304348,0.496552,0.487342,0.45283,0.526814,0.283276,0.577236,0.377289,678
3,0.75,0.849802,0.465241,0.484536,0.108696,0,0,0.509434,0.085174,0.308874,0.081301,0.021978,415
2,0.110526,0.328063,0.566845,0.484536,0.282609,0.662069,0.516878,0.358491,0.44795,0.168089,0.260163,0.776557,625
2,0.221053,0.705534,0.550802,0.536082,0.130435,0.648276,0.567511,0.150943,0.788644,0.129693,0.219512,0.868132,380
2,0.444737,0.199605,0.491979,0.613402,0.152174,0.137931,0.299578,0.660377,0.384858,0.172355,0.325203,0.421245,488
1,0.531579,0.203557,0.395722,0.329897,0.402174,0.696552,0.561181,0.283019,0.511041,0.320819,0.325203,0.761905,885
3,0.478947,0.5,0.652406,0.587629,0.391304,0.231034,0.054852,0.886792,0.173502,0.366894,0.317073,0.307692,570
3,0.563158,0.365613,0.540107,0.484536,0.543478,0.231034,0.07173,0.754717,0.33123,0.6843,0.097561,0.128205,840
1,0.834211,0.201581,0.582888,0.237113,0.456522,0.789655,0.64346,0.396226,0.492114,0.466724,0.463415,0.578755,1450
2,0.413158,0.118577,0.28877,0.407216,0.195652,0.162069,0.21519,0.301887,0.29653,0.099829,0.455285,0.549451,562
1,0.560526,0.320158,0.700535,0.412371,0.336957,0.627586,0.611814,0.320755,0.757098,0.375427,0.447154,0.695971,1185
2,0.313158,0.108696,0.31016,0.43299,0.23913,0.475862,0.35865,0.490566,0.526814,0.12116,0.308943,0.641026,312
1,0.860526,0.233202,0.727273,0.484536,0.543478,0.627586,0.590717,0.377358,0.492114,0.419795,0.479675,0.505495,1280
3,0.413158,0.339921,0.449198,0.407216,0.26087,0.22069,0.067511,0.943396,0.167192,0.496587,0.203252,0.113553,695
1,0.744737,0.120553,0.486631,0.278351,0.304348,0.689655,0.592827,0.169811,0.454259,0.506826,0.430894,0.835165,1045
1,0.842105,0.1917,0.572193,0.257732,0.619565,0.627586,0.57384,0.283019,0.59306,0.372014,0.455285,0.970696,1065
2,0.365789,0.357708,0.486631,0.587629,0.217391,0.241379,0.316456,1,0.318612,0.12116,0.308943,0.74359,315
1,0.713158,0.183794,0.475936,0.298969,0.521739,0.558621,0.540084,0.150943,0.381703,0.389932,0.357724,0.70696,1060
2,0.331579,0.480237,0.454545,0.381443,0.195652,0.644828,0.559072,0.603774,0.757098,0.087031,0.764228,0.571429,406
3,0.705263,0.970356,0.582888,0.510309,0.271739,0.241379,0.056962,0.735849,0.205047,0.547782,0.130081,0.172161,740
3,0.373684,0.452569,0.684492,0.845361,0.293478,0.317241,0.050633,0.943396,0.230284,0.530717,0.154472,0.168498,880
2,0.352632,0.077075,0.427807,0.43299,0.184783,0.868966,0.582278,0.113208,0.460568,0.270478,0.601626,0.586081,420
1,0.736842,0.164032,0.673797,0.484536,0.48913,0.67931,0.64557,0.509434,0.413249,0.453925,0.528455,0.47619,1130
3,0.560526,0.559289,0.42246,0.536082,0.347826,0.17931,0.044304,0.566038,0.280757,0.232082,0.097561,0.150183,830
1,0.878947,0.23913,0.609626,0.319588,0.467391,0.989655,0.664557,0.207547,0.55836,0.556314,0.308943,0.798535,1480
3,0.681579,0.832016,0.529412,0.484536,0.23913,0.351724,0.097046,0.641509,0.192429,0.266212,0.349593,0.285714,550
2,0.352632,0.039526,0,0,0.195652,0.344828,0.048523,0.283019,0.003155,0.057167,0.463415,0.201465,520
1,0.621053,0.203557,0.673797,0.283505,0.25,0.644828,0.548523,0.396226,0.328076,0.300341,0.357724,0.714286,1195
1,1,0.177866,0.433155,0.175258,0.293478,0.627586,0.556962,0.301887,0.495268,0.334471,0.487805,0.578755,1045
3,0.468421,0.310277,0.55615,0.690722,0.304348,0.058621,0.158228,0.264151,0.132492,0.377133,0.146341,0.032967,560
3,0.439474,0.555336,0.534759,0.561856,0.391304,0.248276,0.181435,0.075472,0.135647,0.317406,0.243902,0.007326,600
3,0.710526,0.715415,0.481283,0.613402,0.195652,0.103448,0.027426,0.735849,0.233438,0.455631,0.243902,0.175824,520
1,0.721053,0.229249,0.705882,0.335052,0.48913,0.696552,0.516878,0.490566,0.400631,0.428328,0.528455,0.608059,1375
2,0.2,0.274704,0.759358,0.92268,0.23913,0.396552,0.400844,0.849057,0.425868,0.146758,0.398374,0.428571,466
1,0.715789,0.195652,0.561497,0.278351,0.206522,0.558621,0.510549,0.301887,0.44164,0.368601,0.544715,0.59707,1320
