@relation zoo-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute animal {aardvark,antelope,bass,bear,boar,buffalo,calf,carp,catfish,cavy,cheetah,chicken,chub,clam,crab,crayfish,crow,deer,dogfish,dolphin,dove,duck,elephant,flamingo,flea,frog,fruitbat,giraffe,girl,gnat,goat,gorilla,gull,haddock,hamster,hare,hawk,herring,honeybee,housefly,kiwi,ladybird,lark,leopard,lion,lobster,lynx,mink,mole,mongoose,moth,newt,octopus,opossum,oryx,ostrich,parakeet,penguin,pheasant,pike,piranha,pitviper,platypus,polecat,pony,porpoise,puma,pussycat,raccoon,reindeer,rhea,scorpion,seahorse,seal,sealion,seasnake,seawasp,skimmer,skua,slowworm,slug,sole,sparrow,squirrel,starfish,stingray,swan,termite,toad,tortoise,tuatara,tuna,vampire,vole,vulture,wallaby,wasp,wolf,worm,wren}
@attribute hair {false,true}
@attribute feathers {false,true}
@attribute eggs {false,true}
@attribute milk {false,true}
@attribute airborne {false,true}
@attribute aquatic {false,true}
@attribute predator {false,true}
@attribute toothed {false,true}
@attribute backbone {false,true}
@attribute breathes {false,true}
@attribute venomous {false,true}
@attribute fins {false,true}
@attribute legs numeric
@attribute tail {false,true}
@attribute domestic {false,true}
@attribute catsize {false,true}
@attribute type {mammal,bird,reptile,fish,amphibian,insect,invertebrate}

@data
cavy,true,false,false,true,false,false,false,true,true,true,false,false,0.5,false,true,false,mammal
honeybee,true,false,true,false,true,false,false,false,false,true,true,false,0.75,false,true,false,insect
hare,true,false,false,true,false,false,false,true,true,true,false,false,0.5,true,false,false,mammal
fruitbat,true,false,false,true,true,false,false,true,true,true,false,false,0.25,true,false,false,mammal
octopus,false,false,true,false,false,true,true,false,false,false,false,false,1,false,false,true,invertebrate
seahorse,false,false,true,false,false,true,false,true,true,false,false,true,0,true,false,false,fish
tortoise,false,false,true,false,false,false,false,false,true,true,false,false,0.5,true,false,true,reptile
dogfish,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,true,fish
squirrel,true,false,false,true,false,false,false,true,true,true,false,false,0.25,true,false,false,mammal
opossum,true,false,false,true,false,false,true,true,true,true,false,false,0.5,true,false,false,mammal
sole,false,false,true,false,false,true,false,true,true,false,false,true,0,true,false,false,fish
pitviper,false,false,true,false,false,false,true,true,true,true,true,false,0,true,false,false,reptile
cheetah,true,false,false,true,false,false,true,true,true,true,false,false,0.5,true,false,true,mammal
dolphin,false,false,false,true,false,true,true,true,true,true,false,true,0,true,false,true,mammal
lark,false,true,true,false,true,false,false,false,true,true,false,false,0.25,true,false,false,bird
moth,true,false,true,false,true,false,false,false,false,true,false,false,0.75,false,false,false,insect
wolf,true,false,false,true,false,false,true,true,true,true,false,false,0.5,true,false,true,mammal
hawk,false,true,true,false,true,false,true,false,true,true,false,false,0.25,true,false,false,bird
aardvark,true,false,false,true,false,false,true,true,true,true,false,false,0.5,false,false,true,mammal
slowworm,false,false,true,false,false,false,true,true,true,true,false,false,0,true,false,false,reptile
pussycat,true,false,false,true,false,false,true,true,true,true,false,false,0.5,true,true,true,mammal
crab,false,false,true,false,false,true,true,false,false,false,false,false,0.5,false,false,false,invertebrate
piranha,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,false,fish
puma,true,false,false,true,false,false,true,true,true,true,false,false,0.5,true,false,true,mammal
