@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute dish numeric
@attribute dose numeric
@attribute day1 numeric
@attribute day2 numeric
@attribute day3 {'?'}
@attribute day4 numeric
@attribute day5 numeric
@attribute day6 numeric
@attribute day7 numeric
@attribute day8 numeric
@attribute day9 {'?'}
@attribute day10 numeric
@attribute day11 numeric
@attribute day12 numeric
@attribute day13 numeric
@attribute day14 numeric
@attribute day15 numeric

@data
0.571429,1,0,0.857143,?,0.571429,0.285714,0.238095,0.190476,0.047619,?,0,0,0,0,0,0
0.285714,0,0,1,?,0.952381,0.952381,0.952381,0.904762,0.904762,?,0.8,0.722222,0.722222,0.764706,0.764706,12
0.857143,1,0,0,?,0,0,0,0,0,?,0,0,0,0,0,0
0.714286,0,0,1,?,0.904762,0.809524,0.761905,0.714286,0.714286,?,0.75,0.722222,0.611111,0.647059,0.588235,9
0.142857,1,0,1,?,0.904762,0.809524,0.857143,0.809524,0.857143,?,0.85,0.944444,0.888889,0.882353,0.823529,13
1,1,0,0.428571,?,0.619048,0.285714,0.285714,0.285714,0.333333,?,0.25,0.222222,0.166667,0.176471,0.176471,3
0.714286,1,0,0.857143,?,0.142857,0,0,0,0.047619,?,0,0,0,0,0,0
1,0,0,1,?,0.904762,0.761905,0.761905,0.714286,0.666667,?,0.6,0.666667,0.611111,0.647059,0.647059,10
0.142857,0,0,1,?,1,0.857143,0.904762,0.761905,0.714286,?,0.75,0.833333,0.666667,0.647059,0.647059,11
0,0,0,0.857143,?,0.857143,0.714286,0.761905,0.666667,0.666667,?,0.65,0.722222,0.666667,0.647059,0.647059,11
0,1,0,0.857143,?,0.904762,0.904762,0.952381,0.857143,0.857143,?,0.9,1,1,1,1,16
0.571429,0,0,1,?,0.857143,0.761905,0.809524,0.761905,0.666667,?,0.65,0.611111,0.611111,0.470588,0.470588,5
0.857143,0,0,1,?,0.952381,0.952381,1,0.904762,0.904762,?,0.8,0.833333,0.611111,0.529412,0.411765,6
0.428571,1,0,0.857143,?,0.47619,0.333333,0.285714,0.142857,0.142857,?,0.15,0.111111,0.111111,0.117647,0.058824,0
0.428571,0,0,1,?,1,1,1,1,1,?,1,1,0.722222,0.764706,0.764706,12
0.285714,1,0,0.857143,?,0.380952,0.142857,0.190476,0.142857,0.095238,?,0.1,0.055556,0.055556,0.058824,0.058824,1
