@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute TIME numeric
@attribute WASA numeric
@attribute EMPL numeric
@attribute BDLG numeric
@attribute AUTO numeric
@attribute FURN numeric
@attribute GMER numeric

@data
0.023256,0.016909,0.091892,0.250413,0.137208,0.053109,25812
0.372093,0.294068,0.03778,0.065833,0.137862,0.104523,25891
0.953488,0.97196,0.931844,1,1,0.722474,46782
0.348837,0.276666,0.065644,0.171956,0.120004,0.227917,45471
0.813953,0.797309,0.74254,0.610783,0.598776,0.820434,60491
0.209302,0.200648,0.161215,0.304802,0.104233,0.120713,30477
0.44186,0.367831,0.197155,0.361668,0.287431,0.346278,50311
0.511628,0.441172,0.316238,0.556571,0.47284,0.354482,35418
1,1,1,0.773891,0.712958,0.899469,69966
0.651163,0.599408,0.459461,0.436409,0.539879,0.392715,31594
0.697674,0.637312,0.534123,0.87441,0.843767,0.578625,36297
0.302326,0.261096,0.104859,0.251711,0.150722,0.106383,30976
0.627907,0.577357,0.511958,0.577336,0.505986,0.617404,54369
0.093023,0.089122,0.083412,0.060111,0.020442,0.056063,21909
0.837209,0.821051,0.694216,0.428504,0.713129,0.603785,34723
0.395349,0.317176,0.08736,0.406737,0.321325,0.155336,33050
0.55814,0.485698,0.335487,0.26286,0.49431,0.340918,30325
0.069767,0.064393,0.143896,0.230592,0.024832,0.171252,38081
0.883721,0.886924,0.807197,0.848454,0.869565,0.747525,42072
0.930233,0.963365,0.827927,0.51634,0.762763,0.721763,36516
0.744186,0.683317,0.536142,0.518523,0.567,0.507575,30718
0.162791,0.153797,0.148203,0.233719,0,0.211563,40170
0.465116,0.396294,0.164401,0.244691,0.36582,0.207789,29177
0.186047,0.182049,0.089335,0.09816,0.050069,0.095772,23641
0.116279,0.099901,0.120923,0.216199,0.00576,0.065142,26615
0.674419,0.617514,0.532912,0.885323,0.76966,0.491003,37617
0.860465,0.854093,0.811101,0.89429,0.943096,0.707761,42871
0.139535,0.117514,0.08422,0.249469,0.027728,0.111743,27039
0.604651,0.55143,0.44923,0.64954,0.723,0.414538,37028
0.325581,0.272298,0.060618,0.174552,0.114244,0.128699,30579
0.27907,0.24616,0.061381,0.015691,0.044387,0.067604,24256
0.906977,0.924193,0.882622,0.770234,0.752534,1,64101
0.534884,0.46104,0.384709,0.461479,0.441018,0.540666,53126
0.046512,0.043046,0.096334,0.29495,0.080724,0.102554,26026
0,0,0,0,0.066276,0,30363
0.976744,0.981612,0.938843,0.937117,0.986938,0.712137,47006
0.72093,0.658799,0.592094,0.746225,0.67156,0.787726,52457
0.255814,0.237636,0.166824,0.170717,0.019726,0.218837,43805
0.581395,0.525926,0.434513,0.644585,0.722377,0.378166,37977
0.488372,0.422573,0.281913,0.577985,0.560088,0.295302,36855
0.790698,0.755108,0.658859,0.696791,0.797185,0.647541,40706
0.767442,0.717627,0.637726,0.78327,0.806651,0.571897,41090
0.418605,0.336762,0.112487,0.430923,0.292444,0.216704,33385
0.232558,0.224954,0.153991,0.275779,0.123492,0.147077,30065
