@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute Year numeric
@attribute Mbbl numeric

@data
0.923077,20188
0.432692,1069
0.942308,21922
1,19608
0.826923,12016
0.769231,7674
0.480769,1412
0.576923,2150
0.980769,19403
0.673077,3803
0.192308,149
0.240385,215
0.096154,77
0.384615,689
0.846154,14104
0.884615,18584
0.528846,1655
0.788462,8882
0.288462,328
0.961538,21732
0.721154,5626
0.625,2595
0.865385,16690
0,30
0.807692,10310
0.903846,20389
0.336538,432
