@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute TIME numeric
@attribute CON numeric
@attribute CITY numeric
@attribute BRINK numeric

@data
0.913043,0.608303,0.470322,0
0.652174,0.666189,0.762575,1
0.086957,0.499973,0.750503,0
0.891304,0.786006,0.964789,0
0.065217,0.576731,0.734155,0
0.130435,0.498422,0.326207,0
0.282609,0.511283,0.827465,1
0.326087,0.489849,0.801559,1
0.934783,0.802509,0.576459,0
0.23913,0.316269,0.636569,0
0.173913,0.193516,0.269618,0
0,1,0.648642,0
0.369565,0.533819,0.639839,1
0.565217,0.58906,0.845825,1
0.673913,0.623333,0.674044,1
0.956522,0.577214,0.952465,0
0.195652,0,0,0
0.304348,0.362262,0.53169,1
0.478261,0.685004,0.883803,1
0.391304,0.471912,0.413732,1
0.76087,0.539769,0.625503,1
0.5,0.600173,0.645372,1
0.521739,0.664552,0.871227,1
0.021739,0.768122,0.402666,0
0.73913,0.613554,0.636066,1
0.804348,0.797279,0.797032,0
0.456522,0.231025,0.278672,1
0.717391,0.62991,0.796781,1
0.413043,0.526416,0.743209,1
0.608696,0.546955,0.601861,1
0.695652,0.699452,0.604125,1
0.434783,0.539464,0.619467,1
0.108696,0.501245,0.453722,0
0.847826,0.656707,1,0
0.26087,0.374769,0.720825,1
0.782609,0.824267,0.946177,0
0.217391,0.565456,0.657696,0
1,0.729287,0.83501,0
0.869565,0.720817,0.839789,0
0.152174,0.507838,0.605634,0
0.586957,0.660559,0.933602,1
0.826087,0.760172,0.918763,0
0.630435,0.735842,0.680332,1
0.347826,0.413703,0.78496,1
0.043478,0.471219,0.644115,0
0.978261,0.597456,0.637575,0
0.543478,0.618211,0.880785,1
