@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute Trial numeric
@attribute Air numeric
@attribute Helium numeric

@data
0,0.5,25
0.5,0.7,24
0.894737,0.65,30
0.921053,0.5,29
0.210526,0.45,22
0.289474,0.2,28
0.157895,0.55,25
0.842105,0.65,30
0.236842,0.65,26
0.394737,0.55,29
0.578947,0.35,39
0.868421,0.85,29
0.342105,0.5,31
0.710526,0.8,27
0.052632,0.15,25
1,0.65,26
0.315789,0.6,28
0.657895,0.7,28
0.552632,0.6,34
0.105263,1,23
0.789474,0.6,26
0.184211,0.45,26
0.026316,0.4,16
0.526316,0.8,31
0.947368,0.8,29
0.447368,0.35,26
0.605263,0.7,32
0.736842,0.5,33
0.684211,0.35,30
0.263158,0.5,12
0.973684,0.65,30
0.473684,0.9,35
0.763158,0.25,11
0.078947,0.05,14
0.631579,0.65,14
0.368421,0.95,22
0.815789,0.55,32
0.131579,0,29
0.421053,0.25,23
