@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute QTR numeric
@attribute DISH numeric
@attribute DISP numeric
@attribute FRIG numeric
@attribute WASH numeric
@attribute DUR numeric
@attribute RES numeric

@data
0.064516,1,0.464981,0.87929,0.931604,0.284257,180.8
0.290323,0.210019,0.079767,0.401183,0.266509,0,124.1
0.967742,0.818882,0.867704,1,0.955189,1,175
0.774194,0.631985,0.935798,0.60355,0.962264,0.588192,170.5
0.612903,0.235067,0.496109,0.063905,0,0.219388,115.8
0.806452,0.693642,0.725681,0.923077,0.731132,0.66035,173.1
0.870968,0.905588,1,0.23432,0.660377,0.737609,169.6
0.516129,0,0.241245,0.028402,0.278302,0.11516,101.2
0.322581,0.34104,0.155642,0.589349,0.53066,0.078717,126.8
0.709677,0.668593,0.653696,0.854438,0.735849,0.412536,161.9
0.193548,0.737958,0.486381,0.852071,0.830189,0.284257,170.6
0.032258,0.919075,0.496109,0.823669,0.889151,0.29519,179.8
0.903226,0.689788,0.980545,0.382249,0.882075,0.822886,170.3
0.16129,0.714836,0.498054,0.752663,0.771226,0.225948,172.4
0.645161,0.342967,0.554475,0.216568,0.516509,0.228863,127.8
0.354839,0.421965,0.466926,0.314793,0.431604,0.12172,142.2
1,0.82659,0.819066,0.484024,0.839623,0.907434,179.4
0.83871,0.795761,0.7607,0.982249,0.893868,0.673469,170.3
0.096774,0.924855,0.536965,0.44497,0.54717,0.306122,178.6
0.548387,0.096339,0,0.302959,0.238208,0.125364,103.4
0,0.695568,0.420233,0.471006,0.832547,0.150875,172.9
0.419355,0.331407,0.406615,0.581065,0.466981,0.120262,134.1
0.935484,0.77842,0.793774,0.905325,1,0.862974,172.9
0.580645,0.148362,0.149805,0.414201,0.304245,0.145044,100.1
0.451613,0.285164,0.344358,0.589349,0.641509,0.172012,122.3
0.677419,0.518304,0.540856,0.502959,0.587264,0.350583,147.4
0.483871,0.094412,0.29572,0,0.488208,0.061953,110.4
0.129032,0.797688,0.496109,0.416568,0.875,0.269679,174.6
0.258065,0.601156,0.55642,0.423669,0.837264,0.209184,154.9
0.225806,0.766859,0.459144,0.377515,0.436321,0.229592,165.7
0.387097,0.375723,0.562257,0.327811,0.620283,0.195335,139.3
0.741935,0.728324,0.846304,0.36213,0.384434,0.5,159.9
