@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute Unseeded_Clouds numeric
@attribute Seeded_Clouds numeric

@data
0.689997,1697.8
0.003246,7.7
0.029627,198.6
0.033372,200.7
0.013565,32.7
0.022969,119
0.017227,40.6
0.286701,978
0.12217,334.1
0.20248,489.1
0.071571,274.7
0.008738,31.4
0,4.1
0.266478,703.4
0.019474,92.4
0.020889,115.3
0.066744,274.7
0.13482,430
0.309088,1656
0.056175,255
0.003246,17.5
0.038532,242.5
1,2745.6
0.078229,302.8
0.023302,129.6
0.021055,118.3
