@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute Strollers numeric
@attribute Pushmale numeric
@attribute Pushfemale numeric
@attribute Adfemale numeric
@attribute Admale numeric
@attribute Sr.female numeric
@attribute Sr.male numeric
@attribute Boys numeric
@attribute Girls numeric
@attribute Strollmale numeric
@attribute Strollfemale numeric
@attribute Total numeric
@attribute Day {Sat.,Sun.}
@attribute Time numeric
@attribute Observer numeric
@attribute Weather {'?',clear,clear/breezy,clear/sunny,overcast,sunny,'sunny warm','warm sunnu'}
@attribute Cage numeric
@attribute Comments numeric

@data
0.125,0,0.2,0.333333,0.733333,0.2,0.25,0.944444,0.75,0.25,0,0.543478,Sun.,0.236842,0.5,sunny,1,0
0.4375,0.142857,0.6,0.933333,0.266667,0.4,0.375,0.277778,0.625,0.5,0.3,0.478261,Sat.,0.368421,0,overcast,0.5,0
0.5,0.857143,0.2,0.333333,0.266667,0.3,0.375,0.166667,0.5,0.5,0.4,0.195652,Sun.,0.5,0,clear/sunny,0,0
0.4375,0.571429,0.3,1,0.533333,0.4,0.25,0.555556,0.4375,0.375,0.4,0.673913,Sat.,0.684211,0.75,sunny,0.5,1
0.375,0.571429,0.2,0.4,0.533333,0.5,0.125,0.944444,0.75,0.5,0.2,0.695652,Sat.,0.394737,0.25,'sunny warm',1,4
0.375,0.285714,0.4,0.666667,0.333333,0.1,0,0.277778,0.75,0.625,0.2,0.391304,Sun.,0.289474,0,sunny,0,4
0.4375,0.428571,0.4,0.733333,0.6,0.4,0.375,0.833333,0.25,0.5,0.3,0.521739,Sat.,0.236842,0.75,sunny,0,2
0.4375,0.142857,0.6,0.133333,0.266667,0.4,0.125,0.055556,0.75,0.375,0.4,0.26087,Sat.,0.447368,0,overcast,0.5,4
0.375,0.285714,0.4,0.6,0.266667,0.3,0.625,0.611111,1,0.625,0.1,0.695652,Sat.,1,0.25,'warm sunnu',0.5,3
0.3125,0.285714,0.3,0.2,0.333333,0.4,0.375,0.444444,0.375,0.25,0.3,0.23913,Sun.,0.289474,1,sunny,0,0
0.625,0.428571,0.7,0.4,0.6,0,0,0.555556,0.6875,0.75,0.4,0.5,Sat.,0.184211,0.5,sunny,1,0
0.5,0.714286,0.3,0.733333,0.466667,0,0,0.722222,0.4375,0.5,0.4,0.478261,Sun.,0.210526,0.75,clear/sunny,0.5,2
0.5625,0.142857,0.8,0.6,0.333333,0.2,0.125,0.666667,0.4375,0.5,0.6,0.5,Sat.,0.263158,0,clear/sunny,1,2
