@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute Company {'AH Robins',AMR,'Air Products','Allied Signal','American Electric Power','American Savings Bank FSB','Apple Computer','Armstrong World Industries','Bally Manufacturing','Bank South','Bell Atlantic','Brooklyn Union Gas','CBI Industries','California First Bank','Central Illinois Public Service',Cigna,'Cleveland Electric Illuminating','Columbia Gas System','Community Psychiatric Centers','Continental Telecom','Crown Cork & Seal',Dayton-Hudson,'Digital Equipment','Dillard Department Stores',Dreyfus,Eg&G,Ex-Cell-O,'FW Woolworth','First American','First Empire State','First Tennessee National','Florida Progress',Fruehauf,'General Electric','Giant Food','Great A&P Tea','H&R Block',Halliburton,Hewlett-Packard,'Hospital Corp of America',IBM,'IU International','Idaho Power','Kansas Power & Light',Kroger,LTV,'Liz Claiborne','Marine Corp','May Department Stores','Mellon Bank','Mesa Petroleum','Montana Power',NCR,'National City','Norstar Bancorp',Norwest,'Owens-Corning Fiberglas','PPG Industries','Pan Am','Peoples Energy','Phillips Petroleum','Public Service Co of New Mexico','Republic Airlines','San Diego Gas & Electric','Shared Medical Systems','Southeast Banking','Sovran Financial','Stop & Shop Cos','Supermarkets General',TWA,Telex,Textron,Turner,'United Financial Group','United Technologies','Valero Energy','Warner Communications','Western Air Lines','Wickes Cos'}
@attribute Assets numeric
@attribute Sales numeric
@attribute Market_Value numeric
@attribute Profits numeric
@attribute Cash_Flow numeric
@attribute Employees numeric
@attribute sector {Communication,Energy,Finance,HiTech,Manufacturing,Medical,Other,Retail,Transportation}

@data
Norwest,0.404419,0.046913,0.009169,0.119989,0.07758,0.037538,Finance
Dayton-Hudson,0.08004,0.172755,0.046067,0.144011,0.105302,0.318819,Retail
'PPG Industries',0.073668,0.083601,0.031053,0.146618,0.111496,0.092342,Manufacturing
'Southeast Banking',0.206617,0.018464,0.005782,0.114161,0.071205,0.016016,Finance
'General Electric',0.500067,0.563532,0.346274,0.424145,0.400336,0.759259,HiTech
'Mellon Bank',0.63313,0.061067,0.014219,0.132833,0.08537,0.038038,Finance
'American Savings Bank FSB',0.0647,0.003829,0.000387,0.107227,0.06427,0.001251,Finance
'Warner Communications',0.039362,0.041279,0.023556,0.131959,0.082739,0.018519,Other
'Air Products',0.047013,0.033962,0.019207,0.125189,0.095393,0.044044,Other
'Idaho Power',0.027303,0.005513,0.007591,0.116877,0.074321,0.002503,Energy
'AH Robins',0.009235,0.010626,0.002321,0.113683,0.069324,0.013764,Medical
'San Diego Gas & Electric',0.054626,0.031335,0.015202,0.132969,0.093778,0.010761,Energy
'Cleveland Electric Illuminating',0.103566,0.021612,0.020378,0.14771,0.100685,0.014014,Energy
'Kansas Power & Light',0.02778,0.023617,0.006629,0.118106,0.076621,0.01001,Energy
'FW Woolworth',0.044113,0.115918,0.019531,0.129462,0.089294,0.294044,Retail
Cigna,0.849306,0.321191,0.048095,0.005323,0,0.11987,Finance
'United Financial Group',0.090935,0.006856,0,0.10488,0.061904,0.000501,Finance
'CBI Industries',0.017267,0.026864,0.003942,0.098888,0.06447,0.031532,Manufacturing
'National City',0.23434,0.022574,0.006786,0.120098,0.074416,0.021021,Finance
