@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute Treatment numeric
@attribute Begin {NV,VV}

@data
0.021645,NV
0.056277,VV
0.019481,NV
0.080087,NV
0.244589,NV
0.242424,NV
0.069264,NV
0.322511,VV
0.015152,NV
0.028139,NV
0.051948,NV
0.049784,VV
0.038961,VV
0.183983,NV
0.036797,VV
0.049784,VV
0.077922,VV
0.147186,NV
0.030303,VV
0,VV
0.127706,NV
0.015152,VV
0.419913,NV
0.030303,NV
0.188312,NV
0.170996,VV
0.188312,VV
0.021645,VV
0.201299,NV
0.045455,NV
0.329004,VV
0.296537,NV
0.108225,VV
0.268398,NV
0.080087,NV
0.004329,VV
0.017316,VV
0.012987,VV
0.25974,NV
0.11039,VV
0.164502,VV
0.138528,VV
0.008658,VV
0.028139,VV
0.114719,VV
0.015152,NV
0.02381,NV
0.354978,NV
0.062771,NV
0.041126,VV
1,NV
0.164502,VV
0.002165,VV
0.028139,NV
0.175325,NV
0.160173,NV
0.036797,NV
0.106061,VV
0.071429,NV
0.170996,NV
0.149351,NV
0.054113,VV
0.114719,NV
0.084416,VV
0.045455,NV
0.02381,NV
0.454545,NV
0.099567,NV
0.188312,NV
0.015152,VV
0.404762,NV
0.170996,NV
0.060606,VV
0.404762,VV
0.153679,NV
0.311689,VV
0.108225,VV
0.11039,NV
