@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute QTR numeric
@attribute ACC numeric
@attribute FUEL numeric

@data
0.568627,1,51.32
0.156863,0,35.898
0.980392,0.681159,55.683
0.921569,0.657005,49.38
0,0.10628,32.592
0.411765,0.57971,42.524
0.215686,0.309179,37.717
0.647059,0.695652,48.122
0.960784,0.647343,46.039
0.882353,0.560386,51.717
1,0.589372,52.263
0.803922,0.449275,50.686
0.117647,0.463768,43.139
0.764706,0.400966,48.23
0.019608,0.328502,37.25
0.254902,0.531401,42.524
0.27451,0.36715,43.965
0.686275,0.570048,44.732
0.784314,0.217391,46.459
0.431373,0.898551,51.224
0.235294,0.193237,37.861
0.039216,0.299517,40.032
0.823529,0.719807,49.681
0.588235,0.758454,50.81
0.843137,0.449275,51.029
0.862745,0.173913,47.236
0.333333,0.753623,49.789
0.529412,0.777778,53.398
0.627451,0.478261,48.664
0.313725,0.478261,42.918
0.098039,0.502415,38.711
0.54902,0.584541,50.584
0.941176,0.289855,47.961
0.058824,0.36715,35.852
0.666667,0.714976,47.483
0.392157,0.531401,49.385
0.72549,0.47343,44.129
0.705882,0.347826,46.143
0.470588,0.52657,48.167
0.137255,0.125604,40.434
0.294118,0.376812,41.976
0.509804,0.888889,54.646
0.196078,0.492754,38.944
0.352941,0.830918,48.454
0.901961,0.73913,51.824
0.078431,0.072464,38.226
0.490196,0.772947,51.362
0.45098,0.603865,48.562
0.607843,0.63285,46.272
0.372549,0.42029,45.056
0.745098,0.758454,46.258
0.176471,0.309179,37.111
