@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute date numeric
@attribute IC numeric
@attribute price numeric
@attribute income numeric
@attribute temp numeric
@attribute Lag-temp numeric
@attribute Year numeric

@data
0.689655,0.215753,1,0.45,0.416667,0.333333,1
0.586207,0.640411,0.53125,0.1,1,0.895833,1
0.034483,0.40411,0.6875,0.15,0.666667,0.8125,0
0.724138,0.174658,0.84375,0.55,0.333333,0.166667,1
0.103448,0.578767,0.625,0.2,0.916667,0.9375,0
0.241379,0.109589,0.21875,0.15,0.479167,0.166667,0
0.206897,0.243151,0.46875,0.3,0.770833,0.479167,0
0.517241,0.428082,0.84375,0.3,0.8125,1,1
0.482759,0.428082,0.53125,0.4,0.645833,0.8125,1
0.896552,0.410959,0.15625,0.9,0.354167,0.583333,2
0.758621,0.09589,0.53125,0.9,0.166667,0.0625,1
0.275862,0.044521,0.15625,0,0.166667,0,0
0.793103,0.239726,0.78125,0.8,0.0625,0.083333,2
0.62069,0.445205,0.53125,0.4,0.895833,0.75,1
0.862069,0.35274,0.15625,1,0.1875,0.354167,2
0.310345,0,0.53125,0.15,0,0.083333,0
0,0.445205,0.3125,0.1,0.354167,0.666667,0
0.137931,0.513699,0.375,0,0.9375,0.854167,0
0.931034,0.547945,0.15625,1,0.583333,0.833333,2
0.827586,0.181507,0.6875,0.95,0.083333,0.1875,2
0.37931,0.143836,0.3125,0.45,0.041667,0.166667,1
0.068966,0.469178,0.53125,0.25,0.8125,0.916667,0
0.344828,0.10274,0.6875,0.3,0.083333,0.041667,1
0.413793,0.25,0.375,0.5,0.166667,0.333333,1
0.965517,0.619863,0.25,0.75,0.833333,0.979167,2
0.448276,0.212329,0.84375,0.35,0.333333,0.645833,1
0.655172,0.294521,0.53125,0.5,0.75,0.416667,1
0.551724,0.732877,0.625,0.2,1,1,1
1,1,0,0.7,0.979167,?,2
0.172414,0.30137,0.0625,0.1,0.854167,0.770833,0
