@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute BOWL numeric
@attribute CASS numeric
@attribute DISH numeric
@attribute TRAY numeric
@attribute DIAM numeric
@attribute TIME numeric
@attribute PRICE numeric

@data
0,0,1,0,0.305,0.222781,99
0,0,0,1,1,1,260
1,0,0,0,0.12,0.04509,39
0,0,0,1,0.64,0.641537,189
0,0,0,0,0.37,0.120686,49.5
0,0,0,0,0.3,0.146159,52
0,0,0,0,0.05,0.090694,24.5
0,0,1,0,0.3,0.339975,99
0,0,0,0,0.475,0.121816,89
1,0,0,0,0.1,0.059778,45
1,0,0,0,0.15,0.234799,69
1,0,0,0,0.27,0.058032,54
0,1,0,0,0.52,0.384758,109
1,0,0,0,0.02,0,29.5
0,0,1,0,0.075,0.055875,38.5
0,0,0,0,0.25,0.20378,43.5
1,0,0,0,0.05,0.012634,31
0,0,0,1,0.125,0.090489,23
0,1,0,0,0.37,0.214462,89
1,0,0,0,0.35,0.179334,89
0,0,0,0,0.335,0.148932,65
1,0,0,0,0.2,0.110929,58
1,0,0,0,0.46,0.257703,109
1,0,0,0,0.51,0.108155,99
0,0,1,0,0,0.092646,36.5
0,1,0,0,0.4,0.764174,199
1,0,0,0,0.025,0.036873,30
1,0,0,0,0.175,0.18673,54.5
0,0,0,1,0.725,0.536976,165
0,0,0,1,0.385,0.199671,59.5
0,0,0,1,0.365,0.22463,74
1,0,0,0,0.2,0.170707,65
0,1,0,0,0.45,0.524959,215
0,1,0,0,0.275,0.319638,129
0,0,1,0,0.19,0.161668,65
0,1,0,0,0.285,0.365961,144
1,0,0,0,0.15,0.095727,42
1,0,0,0,0.45,0.211586,109
0,1,0,0,0.45,0.222679,99
1,0,0,0,0.3,0.422761,94
1,0,0,0,0.05,0.114934,42
0,0,0,1,0.025,0.149035,22
0,0,0,0,0.55,0.144515,99
1,0,0,0,0.4,0.284408,93
0,1,0,0,0.37,0.377157,89.5
0,0,0,1,0.55,0.440016,155
0,1,0,0,0.425,0.58145,179
1,0,0,0,0.2,0.338229,115
1,0,0,0,0.2,0.088024,52.5
0,0,1,0,0.25,0.446898,134
0,1,0,0,0.2,0.480074,105
0,0,0,1,0.325,0.227403,75
0,0,0,0,0,0.047658,21.5
0,0,0,1,0.5,0.32991,99
1,0,0,0,0.35,0.346754,119
0,0,0,0,0.305,0.101171,62.5
0,0,1,0,0.24,0.333094,89
1,0,0,0,0.125,0.084121,36.5
1,0,0,0,0.25,0.120378,75
