@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute Soprano numeric
@attribute Alto numeric
@attribute Tenor numeric
@attribute Bass numeric

@data
0.125,0.333333,?,68
0.125,0.25,0.833333,71
0.625,0.333333,0.5,73
0.25,0.5,0.25,75
0.375,1,0.25,71
0.75,0.833333,?,71
0,0.583333,1,73
0.625,0.083333,0.083333,68
0.75,0.083333,?,70
0.625,0.583333,0.166667,69
0.5,0.416667,0.416667,72
0.625,0.416667,?,75
0.625,0.083333,0.75,70
0.625,0.5,0.333333,70
0.25,0.5,0.666667,71
0.75,0.666667,0.583333,72
0.625,0.583333,0.583333,72
0.625,0.25,0.333333,68
?,?,?,69
0.875,0.166667,0.5,66
0.25,0.416667,?,70
0.375,0.5,0.166667,68
0.625,0.333333,?,74
0.75,0.5,0.166667,68
0.625,0.166667,0,68
0.25,0.166667,0.666667,70
0.625,0.416667,?,71
0.625,0.583333,?,70
0.75,0.75,?,75
0.25,0.5,?,72
0.625,0.666667,?,72
0.375,0.25,?,70
0.75,0.5,?,75
?,?,?,70
0.625,0.25,?,71
?,?,?,72
0.625,0.083333,?,69
0.25,?,?,66
1,0,0.333333,73
