@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute MAN numeric
@attribute AUTO numeric
@attribute LARC numeric
@attribute DIST numeric

@data
0.146444,0.453046,0.558387,1
0.058577,0.747462,0.385698,3
0.134763,0.52665,0.555725,1
1,0.286802,0,2
0.431137,0.406091,0.772537,1
0.203278,0,0.399391,2
0.32636,1,0.517687,3
0.377789,0.700508,0.419932,1
0.177127,0.673858,0.325219,1
0.299861,0.392132,0.829973,2
0.330195,0.701777,0.287181,1
?,0.634518,0.384557,3
0.121339,0.517766,0.586535,3
?,0.624365,0.464816,1
0.219491,0.494924,0.670217,1
0.159519,0.52665,1,1
0.170851,0.689086,0.86725,2
0.125349,0.993655,0.478509,3
0.038354,0.761421,0.539749,1
0.263947,0.300761,0.341575,2
0.277197,0.406091,0.746672,2
0.125,0.637056,0.496386,2
0,0.190355,0.383416,3
0.030858,0.614213,0.454165,3
0.168061,0.865482,0.51997,1
