@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute ID numeric
@attribute Lake {Alligator,Annie,Apopka,'Blue Cypress',Brick,Bryant,Cherry,Crescent,'Deer Point',Dias,Dorr,Down,'East Tohopekaliga',Eaton,Farm-13,George,Griffin,Harney,Hart,Hatchineha,Iamonia,Istokpoga,Jackson,Josephine,Kingsley,Kissimmee,Lochloosa,Louisa,Miccasukee,Minneola,Monroe,Newmans,'Ocean Pond','Ocheese Pond',Okeechobee,Orange,Panasoffkee,Parker,Placid,Puzzle,Rodman,Rousseau,Sampson,Shipp,Talquin,Tarpon,Tohopekaliga,Trafford,Trout,'Tsala Apopka',Weir,Wildcat,Yale}
@attribute Alkalinity numeric
@attribute pH numeric
@attribute Calcium numeric
@attribute Chlorophyll numeric
@attribute Avg_Mercury numeric
@attribute No.samples numeric
@attribute min numeric
@attribute max numeric
@attribute 3_yr_Standard_Mercury numeric
@attribute age_data numeric

@data
0.346154,Hart,0.041009,0.4,0.032366,0.025709,0.806202,0.15,0.681818,0.641414,0.657718,1
0.25,'East Tohopekaliga',0.04653,0.4,0.045759,0.033619,0.868217,0.975,0.522727,0.994949,0.644295,1
0.711538,Parker,0.408517,0.872727,0.496652,1,0,0,0,0,0,0
0.653846,Okeechobee,0.929811,0.781818,0.416295,0.101516,0.100775,0.2,0.034091,0.121212,0.080537,1
0,Alligator,0.037066,0.454545,0.021205,0,0.922481,0.025,0.920455,0.691919,1,1
0.461538,Kingsley,0.073344,0.345455,0.058036,0.005933,0.232558,0.15,0.238636,0.282828,0.255034,1
0.576923,Monroe,0.518927,0.763636,0.641741,0.284113,0.186047,0.15,0.136364,0.267677,0.14094,1
0.538462,Miccasukee,0.033912,0.218182,0.006696,0.092947,0.356589,0.175,0.306818,0.393939,0.308725,0
0.807692,Sampson,0.083596,0.418182,0.257812,0.005933,0.341085,0.15,0.261364,0.5,0.268456,1
0.769231,Rodman,0.88959,0.618182,0.797991,0.037574,0.093023,0.25,0,0.10101,0.09396,1
0.153846,'Deer Point',0.198738,0.4,0.090402,0.005933,0.612403,0.5,0.25,0.676768,0.456376,1
0.923077,'Tsala Apopka',0.258675,0.618182,0.133929,0.025709,0.27907,0.2,0.045455,0.424242,0.181208,1
0.826923,Shipp,0.514984,0.854545,0.277902,0.444957,0.131783,0.2,0.011364,0.212121,0.080537,1
0.076923,Brick,0.010252,0.181818,0.020089,0.007251,0.899225,0.2,0.738636,0.727273,0.865772,1
0.75,Puzzle,0.681388,0.709091,0.941964,0.127884,0.821705,0.15,0.852273,0.681818,0.57047,1
0.980769,Wildcat,0.126972,0.290909,0.021205,0.012525,0.162791,0.2,0.125,0.171717,0.161074,1
0.480769,Kissimmee,0.227129,0.6,0.142857,0.137113,0.426357,0.8,0.215909,0.535354,0.328859,1
0.961538,Tohopekaliga,0.192429,0.472727,0.128348,0.177983,0.472868,1,0.295455,0.525253,0.362416,1
0.230769,Eaton,0.190852,0.654545,0.268973,0.071852,0.348837,0.075,0.25,0.479798,0.33557,1
0.403846,Istokpoga,0.126972,0.563636,0.107143,0.058009,0.403101,0.2,0.375,0.444444,0.369128,1
0.865385,Tarpon,0.029968,0.472727,0.251116,0.058668,0.372093,0.2,0.306818,0.449495,0.342282,1
0.365385,Hatchineha,0.235016,0.563636,0.155134,0.107449,0.728682,0.05,0.715909,0.69697,0.442953,1
0.288462,George,0.650631,0.836364,0.729911,0.513514,0.085271,0.15,0.090909,0.060606,0.073826,1
0.673077,Orange,0.190852,0.636364,0.085938,0.293342,0.108527,0.225,0.056818,0.116162,0.080537,1
0.269231,Farm-13,1,0.727273,0.953125,0.464074,0.007752,0.175,0,0.025253,0.006711,0
0.038462,Apopka,0.905363,1,0.479911,0.841134,0,0.05,0,0,0,0
0.903846,Trout,0,0.127273,0.011161,0.037574,0.697674,0.15,0.625,0.59596,0.630872,1
0.942308,Weir,0.112776,0.6,0.045759,0.104153,0.302326,0.175,0.215909,0.318182,0.261745,1
0.192308,Dorr,0.042587,0.327273,0.017857,0.093606,0.51938,0.2,0.545455,0.40404,0.449664,1
0.384615,Iamonia,0.049685,0.145455,0.010045,0.058668,0.457364,0.2,0.329545,0.439394,0.275168,1
0.634615,'Ocheese Pond',0.026025,0.145455,0,0.01648,0.403101,0.225,0.238636,0.484848,0.348993,0
0.788462,Rousseau,0.759464,0.581818,0.495536,0.036256,0.046512,0.2,0.011364,0.10101,0.100671,1
0.307692,Griffin,0.846215,0.927273,0.385045,0.523401,0.116279,0.9,0.034091,0.186869,0.100671,1
0.730769,Placid,0.057571,0.618182,0.015625,0.079763,0.348837,0.2,0.306818,0.287879,0.348993,1
0.115385,Cherry,0.031546,0.327273,0.018973,0.017798,0.341085,0.15,0.295455,0.333333,0.275168,1
0.423077,Jackson,0.089905,0.454545,0.029018,0.133817,0.286822,0.2,0.238636,0.277778,0.248322,0
0.134615,Crescent,0.553628,0.818182,0.603795,0.217535,0.116279,0.2,0.045455,0.161616,0.080537,1
0.211538,Down,0.120662,0.654545,0.141741,0.021753,0.356589,0.2,0.068182,0.338384,0.315436,1
0.5,Lochloosa,0.427445,0.672727,0.165179,0.158207,0.232558,0.15,0.147727,0.232323,0.181208,1
0.057692,'Blue Cypress',0.301262,0.6,0.170759,0.018457,0.310078,0.2,0.102273,0.393939,0.268456,0
0.846154,Talquin,0.116719,0.563636,0.447545,0.154252,0.635659,0.2,0.363636,0.676768,0.422819,1
0.096154,Bryant,0.14511,0.672727,0.037946,0.286091,0.178295,0.25,0,0.212121,0.14094,1
0.326923,Harney,0.473975,0.763636,0.628348,0.087014,0.565891,0.05,0.318182,0.727273,0.302013,1
0.557692,Minneola,0.040221,0.4,0.024554,0,0.232558,0.15,0.170455,0.318182,0.288591,1
0.884615,Trafford,0.633281,0.963636,0.216518,0.058668,0.178295,0.05,0,0.171717,0.154362,0
0.615385,'Ocean Pond',0.036278,0,0.00558,0.01648,0.643411,0.2,0.306818,0.929293,0.557047,0
0.442308,Josephine,0.045741,0.6,0.058036,0.206987,0.534884,0.2,0.329545,1,0.516779,1
0.019231,Annie,0.018139,0.272727,0.008929,0.01648,1,0.075,1,0.929293,0.865772,0
0.692308,Panasoffkee,0.830442,0.581818,1,0.104153,0.116279,0.225,0.011364,0.156566,0.127517,1
0.519231,Louisa,0.021293,0.163636,0.024554,0.041529,0.620155,0.1,0.625,0.666667,0.557047,1
0.596154,Newmans,0.217666,0.690909,0.101562,0.210943,0.232558,0.15,0.136364,0.29798,0.248322,1
1,Yale,0.556782,0.781818,0.216518,0.053395,0.178295,0.2,0.125,0.227273,0.14094,1
0.173077,Dias,0.028391,0.509091,0.039062,0.143705,0.596899,0.2,0.420455,0.712121,0.516779,1
