@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute PT1 numeric
@attribute PT2 numeric
@attribute PT3 numeric
@attribute PT4 numeric
@attribute PT5 numeric

@data
0.026144,0,0.70625,0.224638,8.2
0.12854,0.194377,0.4875,0.144928,22.3
0.122004,0.245721,0.85625,0.376812,11.3
0.095861,0.342298,1,0.782609,24
0.054466,0.349633,0.5375,0.688406,8
1,0.234719,0.3,0.195652,?
0.03268,0.193154,0.84375,0.76087,16.8
0.352941,0.178484,0,0.463768,?
0.102397,0.125917,0.1125,0.550725,9.2
0.135076,0.245721,?,?,?
0.28976,0.06846,0.85,0.688406,-3.7
0.098039,0.177262,?,?,?
0.139434,0.188264,0.53125,0.586957,15.8
0,0.268949,0.46875,0.318841,3.1
0.122004,0.215159,?,?,?
0.004357,0.190709,0.875,0.427536,-9.3
0.130719,0.382641,0.19375,0.478261,?
0.076253,0.218826,0.65,0.891304,12.3
0.145969,0.251834,0.6,0.442029,16.9
0.052288,0.228606,0.5625,1,?
0.492375,0.194377,0.45625,0.326087,?
0.100218,1,0.3375,0,?
