@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute WT numeric
@attribute WT(L) numeric
@attribute WT(U) numeric
@attribute CA75 numeric
@attribute TR75 numeric
@attribute LD75 numeric
@attribute CA90 numeric
@attribute TR90 numeric
@attribute LD90 numeric

@data
0,0,0,0,0,0,0.000326,0,1
0.882353,0.878788,0.885714,0.462312,0.057786,0.407441,0.000326,0.036508,47
0.058824,0.060606,0.057143,0.058626,0,0.048232,0.035493,0,109
0.647059,0.636364,0.657143,1,0.378061,1,0.02312,0.63254,868
0.764706,0.757576,0.771429,0.840313,0.196866,0.783647,0,0.362698,457
0.176471,0.181818,0.171429,0.226689,0,0.186495,0.385217,0.026984,1217
0.117647,0.121212,0.114286,0.20938,0,0.172255,0.034842,0,107
0.529412,0.515152,0.542857,0.60804,1,0.969224,0.396288,1,2477
0.411765,0.393939,0.428571,0.574539,0.053869,0.497933,0.936828,0.622222,3662
0.235294,0.242424,0.228571,0.156896,0.199804,0.222784,0.325301,0.035714,1044
1,1,1,0,0.000979,0.000459,0,0.025397,32
0.294118,0.30303,0.314286,0.462312,0.058766,0.407901,1,0.339683,3499
