@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute residue numeric
@attribute Plot numeric
@attribute sample numeric
@attribute subsamples numeric

@data
0.211538,0,0.5,1
0.336538,1,1,1
0.471154,1,0.5,1
0.307692,1,0,1
0.201923,0.2,0.5,1
0.307692,0.7,1,1
0.5,0.6,0,1
0.25,1,0,2
0.134615,0.3,0,1
0.461538,0,0,2
0.701923,0.6,0,1
0.846154,0.7,0,1
0.057692,0.3,1,1
0.355769,0.5,1,1
0.413462,0.1,0,2
0.596154,0.4,0,1
0.326923,0.2,0.5,2
0.538462,0.4,0,2
1,0.1,1,1
0.817308,0.7,0,1
0.403846,0.9,0.5,1
0.461538,0.5,0,1
0.442308,0.6,0.5,2
0.375,0,0,1
0.846154,0.8,1,1
0.519231,0.7,0,2
0.461538,0,0,1
0.346154,0.5,0,2
0.269231,0.2,0,2
0.461538,0.9,0.5,2
0.461538,0,1,1
0.211538,0.2,0,1
0.394231,0.2,0,2
0.442308,1,0.5,2
0.538462,0.8,0,2
0.528846,0.1,0,1
0.384615,0.6,0.5,1
0.5,0.9,0,2
0.288462,0.2,0,1
0.240385,0.3,0,2
0.480769,0.7,0.5,2
0.490385,0.5,0,2
0.442308,0.1,0,2
0.442308,0.8,0,1
0.538462,0.8,0.5,1
0.384615,0.9,0,2
0.211538,0.5,0.5,2
0.461538,0.9,1,1
0.192308,0.3,0,1
0.461538,0.9,0,1
0.192308,1,0,1
0,0.1,0.5,1
0.451923,0.6,0,2
0.086538,0.3,0.5,1
0.875,0.4,0.5,1
0.596154,0.5,0,1
0.480769,0,0.5,2
0.451923,0.4,0,2
0.384615,0.6,1,1
0.471154,0.8,0,2
0.605769,0.8,0,1
0.519231,0.9,0,1
0.971154,0.4,0,1
0.259615,0.3,0,2
0.278846,0.5,0.5,1
0.576923,0.7,0.5,1
0.538462,0.6,0,2
0.201923,0.3,0.5,2
0.375,0.1,0.5,2
0.846154,0.4,1,1
0.240385,0.2,1,1
0.644231,0.8,0.5,2
0.769231,0.4,0.5,2
0.423077,1,0,2
0.682692,0.7,0,2
0.442308,0.1,0,1
0.346154,0,0,2
