@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute YR numeric
@attribute NM numeric
@attribute US numeric

@data
0.974359,0.056075,2.7
0.025641,0.962617,9.8
0.205128,0.738318,7
0.564103,0.327103,5.5
0.769231,0.186916,3.4
0.435897,0.411215,5.3
0.74359,0.17757,3.6
0.307692,0.551402,6
0.666667,0.271028,4.7
0.871795,0.17757,3.5
1,0,2.7
0.179487,0.682243,7.4
0.461538,0.280374,5.5
0.128205,0.82243,7.6
0.358974,0.514019,5.4
0.923077,0.084112,3.3
0.641026,0.35514,4.9
0.487179,0.28972,5.7
0.410256,0.28972,5.2
0.282051,0.542056,6.4
0.333333,0.476636,5.6
0.051282,0.82243,8.8
0.512821,0.420561,5.5
0,1,11.3
0.948718,0.102804,2.9
0.589744,0.336449,5.4
0.615385,0.392523,5.3
0.538462,0.317757,5.7
0.794872,0.140187,3.3
0.153846,0.859813,7.5
0.897436,0.158879,3.5
0.384615,0.392523,5.3
0.25641,0.523364,6.4
0.230769,0.607477,6.3
0.846154,0.168224,3.4
0.820513,0.214953,3.4
0.076923,0.831776,8.1
0.692308,0.261682,4.5
0.717949,0.271028,4.3
0.102564,0.850467,7.5
