@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute R numeric
@attribute Age numeric
@attribute S numeric
@attribute Ed numeric
@attribute Ex0 numeric
@attribute Ex1 numeric
@attribute LF numeric
@attribute M numeric
@attribute N numeric
@attribute NW numeric
@attribute U1 numeric
@attribute U2 numeric
@attribute W numeric
@attribute X numeric

@data
0,0.275862,0,0.628571,0.198347,0.258621,0.372671,0.226277,0.018182,0.004751,0.138889,0.052632,0.688279,139
0.271956,0.551724,1,0.114286,0.107438,0.12931,0.186335,0.116788,0.181818,0.710214,0.527778,0.552632,0.264339,261
0.195033,0.275862,0,0.857143,0.140496,0.172414,0.714286,0.379562,0.115152,0.104513,0.097222,0.184211,0.600998,190
0.416717,0.293103,0,0.971429,0.413223,0.474138,0.583851,0.569343,0.157576,0.08076,0.569444,0.447368,0.832918,162
0.490006,0.448276,1,0.485714,0.305785,0.284483,0.496894,0.343066,0.563636,0.294537,0.25,0.289474,0.498753,228
0.424591,0,0,0.571429,1,1,0.254658,0.029197,1,0.206651,0.305556,0.421053,0.870324,154
0.325863,0.5,0,1,0.22314,0.215517,0.751553,0.467153,0.036364,0.04038,0.194444,0,0.753117,144
0.188371,0.068966,0,0.428571,0.429752,0.396552,0.285714,0.10219,0.666667,0.175772,0.75,0.789474,0.708229,158
0.351908,0.12069,0,0.885714,0.429752,0.482759,0.385093,0.408759,0.090909,0.045131,0.444444,0.394737,0.750623,166
0.068443,0.344828,1,0.028571,0.008264,0,0,0.248175,0.09697,0.111639,0.902778,0.868421,0.421446,249
0.529376,0.568966,0,0.714286,0.305785,0.301724,0.565217,0.613139,0.042424,0.182898,0.458333,0.210526,0.620948,215
1,0.206897,0,0.971429,0.950413,0.87931,0.937888,1,0,0.178147,0.444444,0.552632,0.962594,152
0.355542,0.275862,1,0.485714,0.644628,0.637931,0.354037,0.321168,0.169697,0.39905,0.263889,0.368421,0.855362,165
0.442156,0.482759,1,0.485714,0.14876,0.198276,0.496894,0.277372,0.121212,0.220903,0.083333,0.105263,0.433915,233
0.307087,0.258621,0,0.6,0.247934,0.258621,0.714286,0.277372,0.266667,0.135392,0.180556,0.289474,0.72818,172
0.102362,0.155172,0,0.742857,0.181818,0.163793,0.89441,0.277372,0.151515,0.019002,0.097222,0.131579,0.546135,206
0.142944,0.396552,1,0.057143,0,0.025862,0.329193,0.255474,0.090909,0.515439,0.333333,0.342105,0.074813,250
0.376136,0.137931,1,0.685714,0.305785,0.327586,0.242236,0.350365,0.006061,0.325416,0.375,0.473684,0.82793,168
0.529376,0.224138,0,0.257143,0.347107,0.362069,0.521739,0.138686,0.242424,0.213777,0.180556,0.315789,0.561097,227
0.276196,0.568966,1,0,0.099174,0.103448,0.310559,0.379562,0.163636,0.166271,0.305556,0.605263,0.291771,264
