@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute YEAR numeric
@attribute ROLL numeric
@attribute UNEM numeric
@attribute HGRAD numeric
@attribute INC numeric

@data
0.928571,0.978733,0.704545,0.719457,3179
0.714286,0.859924,0.363636,0.933353,3100
0.821429,0.881853,0.409091,0.75644,3069
0.142857,0.303875,0.295455,0.499902,2112
0.321429,0.661909,0.454545,0.716042,2475
0.642857,0.854253,0.181818,1,3239
0.464286,0.817013,0.568182,0.850312,2863
0.25,0.441021,0.159091,0.602166,2351
1,1,0.295455,0.708821,3345
0.178571,0.365595,0.159091,0.557475,2192
0.214286,0.417675,0.181818,0.578845,2235
0.857143,0.905482,0.704545,0.702966,3151
0.071429,0.106616,0.363636,0.017467,1979
0.428571,0.78913,0.386364,0.834895,2833
0.5,0.88724,1,0.951991,2839
0.107143,0.194234,0.409091,0.206284,2030
0.607143,0.848488,0,0.971214,3195
0.678571,0.840643,0.409091,0.975215,3129
0.571429,0.882325,0.454545,0.921643,3123
0.964286,0.986484,0.477273,0.749317,3207
0.285714,0.527694,0.136364,0.678084,2411
0.75,0.894896,0.795455,0.899883,3008
0,0,0.545455,0,1923
0.392857,0.770794,0.409091,0.795765,2674
0.357143,0.779301,0.568182,0.746585,2524
0.535714,0.896975,0.795455,0.846214,2898
0.035714,0.041966,0.295455,0.01249,1961
0.892857,0.90983,0.772727,0.702283,3127
0.785714,0.90794,1,0.806109,2983
