@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute WDS numeric
@attribute SEN numeric
@attribute 3SYL numeric
@attribute MAG numeric
@attribute GROUP numeric

@data
0.40201,0.333333,0.55814,1,3
0.145729,0.52381,0.232558,0.75,3
0.090452,0.047619,0.069767,0.25,1
0.311558,0.666667,0.232558,0.25,1
0.251256,0.380952,0.302326,1,3
0.005025,0,0.023256,0.875,3
0.286432,0.380952,0.139535,0.25,1
0.236181,0.47619,0.27907,0.875,3
0.994975,0.666667,0.860465,0,1
0.542714,0.428571,0.348837,0.625,2
0.271357,0.333333,0.232558,0.75,3
0.658291,0.47619,0.372093,0.75,3
0.889447,0.666667,1,1,3
0.40201,0.380952,0.069767,0.75,3
0.331658,0.095238,0.232558,0.875,3
0.824121,0.619048,0.744186,1,3
0.39196,0.238095,0.046512,0.375,2
0.261307,0.380952,0.325581,1,3
0.944724,0.619048,0.511628,0.375,2
1,0.571429,0.55814,0,1
0.075377,0.095238,0.139535,0.25,1
0.874372,0.238095,0.790698,0,1
0.316583,0.333333,0.093023,0.5,2
0.040201,0.047619,0,0.5,2
0.286432,0.285714,0.069767,0.5,2
0.864322,0.619048,0.55814,0.625,2
0.80402,1,0.302326,0.375,2
0.065327,0.238095,0.116279,0.625,2
0.256281,0.285714,0.209302,0.5,2
0.18593,0.238095,0.116279,0.625,2
0.924623,0.571429,0.906977,0.125,1
0.577889,0.238095,0.232558,0,1
0.040201,0.047619,0.139535,0.25,1
0.18593,0.333333,0.302326,0.875,3
0,0.095238,0.209302,0.75,3
0.20603,0.333333,0.069767,0.625,2
0.693467,0.380952,0.255814,0.875,3
0.874372,0.333333,0.395349,0.125,1
0.286432,0.333333,0.27907,0.75,3
0.015075,0.095238,0.116279,0.25,1
0.095477,0.238095,0.209302,0.875,3
0.613065,0.238095,0.232558,0.125,1
0.180905,0.142857,0.186047,0.625,2
0.889447,0.571429,0.72093,0,1
0.874372,0.904762,0.581395,0.375,2
0.889447,0.761905,0.348837,1,3
0.291457,0.571429,0.395349,0.125,1
0.879397,0.666667,0.674419,0.5,2
0.371859,0.285714,0.116279,0.375,2
0.834171,0.666667,0.604651,0.5,2
0.864322,0.761905,0.488372,0,1
0.889447,0.857143,0.744186,0.125,1
0.130653,0.142857,0.069767,0.375,2
0.246231,0.428571,0.418605,0.125,1
