@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute Cost numeric
@attribute MWatts numeric
@attribute Date numeric

@data
0.37049,0.542348,68.42
0.595624,0.540862,70.08
0.108129,0.637444,67.83
0.534754,0.677563,68.75
0.427575,0.881129,68.92
0.68051,0.551263,70.92
0.66022,0.903418,68
0.162825,0,68.42
0.716429,0.497771,68.33
0.420599,0.881129,68.92
0.645244,0.903418,68
0.749202,0.576523,69.5
0.726745,1,71.08
0.36436,0.903418,67.33
0.289552,0.494799,68.75
0.39501,0.120357,70.42
0.204652,0.084695,67.92
0.303786,0.10847,68.42
0.120182,0.540862,67.17
0.277337,0.583952,68.92
0.349858,0.903418,67.33
0.374839,0.341753,68.58
1,0.940565,69.17
0.212429,0.153046,68.58
0.01465,0.427935,67.25
0.09627,0.542348,68.17
0.114838,0.637444,67.83
0.093806,0.637444,67.83
0.6144,0.488856,69.67
0,0.427935,67.25
0.320321,0.476969,68.42
0.121933,0.10847,68.42
