@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute MB numeric
@attribute BH numeric
@attribute BL numeric
@attribute NH numeric
@attribute Year numeric

@data
0.758621,0.44,0.484848,0.5625,-200
0.344828,0.72,0.424242,0.375,-4000
0.551724,0.6,0.545455,0.375,-200
0.482759,0.2,0.333333,0.375,150
0.344828,0.88,0.69697,0.1875,-1850
0.37931,0.56,0.333333,0.5,150
0.62069,0.2,0.121212,0.8125,150
0.482759,0.64,0.424242,0.5,-200
0.517241,0.68,0.363636,0.5,-200
0.655172,0.72,0.424242,0.1875,-1850
0.482759,0.44,0.454545,0.3125,-1850
0.310345,0.48,0.363636,0.5625,-4000
0.37931,0.4,0.69697,0.3125,-4000
0.413793,0.76,0.515152,0.4375,-3300
0.137931,0.44,0.606061,0.4375,-3300
0.62069,0.52,0.272727,0.3125,-1850
0.517241,0.2,0.272727,1,-1850
0.586207,0.52,0.30303,0.3125,-1850
0.655172,0.68,0.393939,0.4375,-1850
0.482759,0.4,0.636364,0.25,-3300
0.517241,0.76,0.606061,0.3125,-3300
0.965517,0.36,0.181818,0.25,150
0.758621,0.64,0.606061,0.625,150
0.37931,0.32,0.606061,0.4375,-3300
0.655172,0.68,0.242424,0.75,-4000
0.241379,0.36,0.848485,0.4375,-4000
0.586207,0.44,0.424242,0.3125,150
0.586207,0.72,0.484848,0.875,150
0.551724,0.68,0.666667,0.375,-4000
0.655172,0.56,0.515152,0.3125,-3300
0.586207,0.32,0.363636,0.625,-200
0.413793,0.48,0.545455,0.375,-4000
0.448276,0.52,0.363636,0.5625,-4000
0.827586,0,0.424242,0.4375,150
0.551724,0.48,0.515152,0.625,-3300
0.413793,0.84,0.545455,0.6875,-200
0.517241,0.56,0.545455,0.4375,-4000
0.551724,0.4,0.575758,0.4375,-200
0.37931,0.44,0.515152,0.5625,-200
0.413793,0.6,0.272727,0.375,-200
0.482759,0,0.30303,0.125,-200
0.448276,0.28,0.484848,0.5,150
0.655172,0.2,0.545455,0.4375,150
0.482759,0.32,0.333333,0.4375,-200
0.517241,0.16,0.363636,0.5625,-4000
0.482759,0.64,0.666667,0.5625,-3300
0.517241,0.56,0.454545,0.0625,-1850
0.586207,0.52,0.484848,0.4375,150
0.413793,0.72,0.242424,0.3125,-4000
0.655172,0.36,0.787879,0.5625,-3300
0.344828,0.52,0.363636,0.1875,-1850
0.310345,0.24,0.30303,0.8125,150
0.758621,0.4,0.181818,0.3125,-200
0.586207,0.92,0.575758,0.625,-4000
0.413793,0.32,0.515152,0.0625,-3300
0.689655,0.4,0.272727,0.25,-200
0.758621,0.32,0.424242,0.5625,-200
0.862069,0.16,0.151515,0.375,-200
0,0.48,0.454545,0,-4000
0.551724,0.64,0.484848,0.5,-3300
0.62069,0.12,0.30303,0.375,150
0.482759,0.2,0.393939,0.125,-3300
0.62069,0.64,0.757576,0.3125,-3300
0.655172,0.52,0.30303,0.125,-1850
0.586207,0.4,0.545455,0.6875,-200
0.689655,0.4,0.393939,0.5625,-200
0.172414,0.72,0.606061,0.25,-3300
0.827586,0.24,0.212121,0.625,150
0.206897,0.44,0.333333,0.25,-4000
0.517241,0.04,0.424242,0.5625,-4000
0.448276,0.64,0.333333,0.5,-200
0.413793,0.64,1,0.625,-4000
0.482759,0.56,0.484848,0.25,-3300
0.551724,0.64,0.515152,0.5,-3300
0.448276,0.64,0.575758,0.375,-4000
0.689655,0.6,0.333333,0.625,150
0.241379,0.44,0.575758,0.25,-3300
0.448276,0.4,0.69697,0.375,-3300
0.551724,0.6,0.424242,0.75,150
0.448276,0.72,0.181818,0.25,-1850
0.655172,0.6,0.575758,0.6875,-4000
0.62069,0.36,0.575758,0.5625,-1850
0.37931,0.28,0.545455,0.0625,-1850
0.37931,0.48,0.363636,0.5,-3300
0.586207,0.44,0.333333,0.125,-1850
0.655172,0.56,0.454545,0.4375,-1850
0.413793,0.56,0.636364,0.4375,-4000
0.448276,1,0.575758,0.625,-3300
0.413793,0.36,0.484848,0,150
0.517241,0.4,0.363636,0.625,-3300
0.586207,0.72,0.393939,0.6875,-200
0.413793,0.56,0.454545,0.375,-3300
0.655172,0.64,0.333333,0.125,150
0.586207,0.24,0.606061,0.375,-1850
0.62069,0.56,0.787879,0.625,-200
0.655172,0.8,0.575758,0.5,-200
0.62069,0.76,0.484848,0.375,-1850
0.241379,0.64,0.424242,0.75,-1850
0.37931,0.36,0.727273,0.1875,-3300
1,0.36,0.69697,0.4375,-3300
