@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute high_jump numeric
@attribute Discus_Throw numeric
@attribute long_jump numeric
@attribute year numeric

@data
0.804598,1,0.781638,76
0.678161,0.830519,0.674938,64
0.011494,0,0,-4
0.41092,0.556245,0.670596,36
0.304598,0.530747,0.506203,32
0.988506,0.976555,0.858561,84
0.247126,0.473872,0.545906,28
0.563218,0.709318,0.580645,56
0.321839,0.44349,0.430521,24
0.770115,0.918935,0.741935,72
0.183908,0.306312,0.444169,8
0.321839,0.616266,0.578164,48
0.428506,0.675111,0.478908,52
0.241379,0.405159,0.315136,20
0.793103,0.929201,1,68
0.643678,0.783164,0.694789,60
0.229885,0.418902,0.491315,12
1,0.977879,0.858561,80
0.174713,0.179747,0.328784,0
0,0.264256,0.389578,4
