@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute YEAR numeric
@attribute DISH numeric
@attribute DISP numeric
@attribute FRIG numeric
@attribute WASH numeric
@attribute DUR numeric
@attribute RES numeric

@data
0.04,0.020655,0.011951,0.001516,0.032735,0,34.3
0.56,0.878615,0.535704,0.759927,0.750673,0.439331,48.2
0.28,0.327614,0.17807,0.375265,0.470404,0.2106,37.1
0.16,0.157293,0.161339,0.324341,0.410762,0.108089,43.1
0.96,0.932952,0.994024,0.763565,0.795964,0.896792,60.3
0,0,0,0,0,0.014644,34.2
0.12,0.103273,0.098596,0.197029,0.302691,0.072524,42.5
0.6,0.682237,0.394383,0.334041,0.427803,0.44212,42.2
0.4,0.496028,0.36331,0.548954,0.367265,0.277545,41
0.88,0.513187,0.603526,0.269476,0.334081,0.631102,37.8
0.36,0.496663,0.353451,0.551985,0.495067,0.296374,43.6
1,0.947251,1,0.77084,0.877578,1,61.4
0.32,0.446457,0.314311,0.50773,0.541704,0.271967,43.1
0.84,0.612965,0.722737,0.445286,0.489238,0.640865,44.7
0.64,0.821417,0.52435,0.40679,0.546188,0.539052,51.2
0.76,0.931999,0.763968,0.67475,0.758296,0.682706,59.1
0.08,0.052431,0.038841,0.090937,0.175785,0.037657,37.7
0.2,0.233556,0.177771,0.422855,0.481166,0.162483,42.7
0.68,0.890054,0.651628,0.676569,0.743946,0.61855,60.7
0.92,0.806165,0.867045,0.556835,0.601345,0.745467,52.7
0.24,0.309183,0.194204,0.45438,0.507623,0.202929,38.2
0.44,0.61074,0.457723,0.671719,0.598206,0.341004,53.7
0.8,0.693677,0.657305,0.499848,0.572197,0.615063,47.1
0.48,0.840165,0.600837,0.860867,0.821973,0.430962,63.8
0.52,1,0.661488,1,1,0.502092,62.3
0.72,0.954242,0.762474,0.73204,0.791031,0.679916,62.4
